keyword,doc_freq,total_freq,tfidf
util,7,1421,0.01
activity,6,502,0.01
color,6,765,0.04
test,6,850,0.01
renderer,5,650,0.04
image,5,636,0.02
model,5,1897,0.02
basic,4,302,0.01
utils,4,187,0.0
main,4,358,0.01
shape,4,733,0.06
view,4,197,0.0
example,4,56,0.0
instrumented,4,47,0.0
factory,4,247,0.0
line,4,482,0.03
scene,3,1029,0.11
frame,3,987,0.06
texture,3,461,0.04
math,3,221,0.02
surface,3,502,0.05
base,3,457,0.01
config,3,62,0.0
matrix,3,447,0.04
set,3,297,0.01
creator,3,189,0.02
canvas,3,669,0.09
function,3,1396,0.05
stroke,3,64,0.01
path,3,138,0.01
cache,3,504,0.02
simple,3,356,0.01
sample,3,223,0.01
listener,3,134,0.0
render,2,521,0.05
input,2,193,0.01
controller,2,118,0.0
buffer,2,70,0.0
kernel,2,3484,0.48
material,2,148,0.02
application,2,124,0.0
curve,2,213,0.03
loader,2,74,0.0
observer,2,122,0.01
bounding,2,126,0.02
triangle,2,69,0.01
chart,2,5579,0.49
charts,2,565,0.08
demo,2,547,0.03
android,2,13,0.0
marker,2,70,0.01
linear,2,689,0.06
type,2,457,0.01
calc,2,16,0.0
lighting,2,75,0.02
vertex,2,88,0.01
shader,2,124,0.02
fragment,2,358,0.02
world,2,110,0.01
scale,2,84,0.01
generator,2,173,0.01
projection,2,148,0.02
with,2,195,0.01
tools,2,1114,0.07
layer,2,741,0.06
attributes,2,109,0.01
scrollable,2,70,0.01
array,2,311,0.01
simplifier,2,54,0.01
geom,2,465,0.08
state,2,51,0.0
string,2,140,0.0
zoom,2,96,0.01
custom,2,62,0.0
value,2,262,0.01
registry,2,60,0.0
renderable,2,116,0.02
constants,2,43,0.0
spectrum,1,8,0.0
wave,1,69,0.01
waves,1,2,0.0
rainbow,1,2,0.0
common,1,36,0.0
chlast,1,2,0.0
sound,1,2,0.0
fft,1,51,0.01
origin,1,2,0.0
remix,1,2,0.0
enhanced,1,2,0.0
visualizer,1,4,0.0
form,1,2,0.0
circ,1,2,0.0
compiler,1,123,0.01
scenes,1,25,0.01
spectral,1,85,0.02
camera,1,140,0.01
bvh,1,47,0.01
compiled,1,46,0.01
normal,1,136,0.02
volume,1,35,0.0
hierarchy,1,42,0.01
space,1,34,0.0
spectralcurve,1,30,0.01
constant,1,123,0.01
checkerboard,1,25,0.01
fps,1,25,0.01
plane,1,48,0.01
mesh,1,254,0.04
sky,1,25,0.01
strings,1,25,0.0
ranges,1,25,0.0
counter,1,36,0.0
sphere,1,32,0.01
dayflower,1,23,0.01
java,1,21,0.0
dynamic,1,26,0.0
wavefront,1,20,0.0
primitive,1,26,0.0
intersection,1,18,0.0
