keyword,doc_freq,total_freq,tfidf
learning,1,12,0.49
utils,1,10,0.02
selection,1,7,0.17
strategy,1,7,0.09
action,1,7,0.06
learner,1,7,0.33
actionselection,1,7,0.47
sarsa,1,6,0.4
agent,1,4,0.08
actorcritic,1,3,0.2
actor,1,3,0.09
qlearn,1,3,0.2
rlearn,1,3,0.2
models,1,3,0.05
critic,1,3,0.19
lambda,1,3,0.1
model,1,2,0.01
max,1,2,0.06
matrix,1,2,0.04
greedy,1,2,0.12
soft,1,2,0.07
utility,1,1,0.02
epsilon,1,1,0.07
vec,1,1,0.03
factory,1,1,0.0
index,1,1,0.01
value,1,1,0.01
vector,1,1,0.02
tuple,1,1,0.03
two,1,1,0.03
eligibility,1,1,0.07
trace,1,1,0.03
update,1,1,0.01
mode,1,1,0.02
gibbs,1,1,0.06
