keyword,doc_freq,total_freq,tfidf
core,2,9768,0.01
util,2,15122,0.01
filter,2,10144,0.01
read,2,6236,0.02
utils,2,4262,0.0
reads,2,2728,0.03
reader,2,6019,0.01
input,2,3311,0.01
output,2,2974,0.01
writer,2,6518,0.01
sam,2,10098,0.09
file,2,6300,0.0
fastq,2,3147,0.03
stream,2,5351,0.01
eoulsan,1,63145,0.83
genomique,1,39994,0.52
bio,1,12855,0.09
data,1,11765,0.01
modules,1,6801,0.02
hadoop,1,7720,0.06
steps,1,4751,0.03
module,1,3929,0.01
design,1,5351,0.04
workflow,1,5287,0.03
step,1,3822,0.01
expression,1,4243,0.01
mapping,1,3790,0.02
protocols,1,2648,0.02
mapper,1,3200,0.01
protocol,1,2429,0.01
local,1,2704,0.01
readsfilters,1,2207,0.03
task,1,2146,0.0
format,1,2682,0.01
actions,1,1725,0.01
action,1,1647,0.0
schedulers,1,1575,0.01
readsmappers,1,1839,0.02
scheduler,1,1513,0.01
locker,1,1692,0.02
galaxytools,1,1641,0.02
alignmentsfilters,1,1605,0.02
executor,1,1751,0.0
translators,1,1320,0.02
alignments,1,1501,0.01
mgmt,1,1514,0.02
metadata,1,1483,0.0
upload,1,1294,0.01
tool,1,1235,0.0
genome,1,1361,0.01
encoding,1,7444,0.05
test,1,7277,0.01
codec,1,3836,0.01
vcf,1,3582,0.03
line,1,3733,0.01
iterator,1,3383,0.01
index,1,4053,0.01
parser,1,3716,0.0
illumina,1,4158,0.04
header,1,3041,0.01
sequence,1,4015,0.01
record,1,3146,0.01
reference,1,2695,0.01
interval,1,2621,0.01
factory,1,2341,0.0
context,1,2354,0.0
variant,1,1714,0.01
metrics,1,1771,0.01
bam,1,2246,0.02
huffman,1,1710,0.02
structure,1,1671,0.01
block,1,1644,0.0
cram,1,1603,0.02
seekable,1,1426,0.01
external,1,1416,0.01
quality,1,1595,0.01
readers,1,698,0.01
ftp,1,1478,0.01
integer,1,1361,0.0
exception,1,1850,0.0
tabix,1,1148,0.01
fasta,1,1828,0.02
genotype,1,1013,0.01
map,1,2139,0.0
analysis,1,1079,0.0
compression,1,1265,0.01
