keyword,doc_freq,total_freq,tfidf
rdf,6,4106,0.06
exception,5,7703,0.01
handler,5,6374,0.01
utils,5,30374,0.02
map,4,14177,0.04
query,4,37274,0.17
factory,4,4509,0.01
index,3,8222,0.04
stream,3,1189,0.0
owl,3,2221,0.05
impl,3,49637,0.09
model,3,4121,0.01
sparql,3,1707,0.03
jena,3,3185,0.06
data,3,4000,0.01
graph,3,2663,0.02
configuration,3,2415,0.01
range,2,321,0.0
semantic,2,78,0.0
websocket,2,729,0.01
set,2,5906,0.02
json,2,733,0.0
base,2,1673,0.0
manager,2,3701,0.01
transform,2,213,0.0
web,2,1720,0.01
topic,2,24402,0.26
sql,2,12563,0.07
core,2,11387,0.03
actions,2,7119,0.04
schema,2,7841,0.06
action,2,4711,0.02
xml,2,5210,0.02
context,2,5068,0.01
object,2,4898,0.01
parser,2,4372,0.01
value,2,3651,0.01
occurrence,2,5624,0.1
generator,2,4378,0.02
reader,2,5602,0.02
source,2,3748,0.01
store,2,3297,0.02
processor,2,2392,0.01
api,2,759,0.0
response,2,1609,0.01
http,2,1347,0.0
update,2,972,0.01
internal,2,2142,0.01
client,2,1202,0.0
properties,2,854,0.0
server,2,2096,0.01
printer,2,4471,0.05
util,2,1575,0.0
tree,2,3240,0.01
builder,2,1892,0.01
config,2,2375,0.0
type,2,4153,0.01
vocabulary,2,680,0.01
ontology,2,514,0.01
filter,2,3070,0.01
datatype,2,530,0.01
distance,1,466,0.0
feature,1,316,0.0
centroid,1,193,0.0
cluster,1,428,0.0
spatial,1,147,0.0
nurbs,1,130,0.0
wave,1,120,0.0
track,1,100,0.0
geodesic,1,101,0.0
unsupervised,1,100,0.0
waves,1,77,0.0
temporal,1,80,0.0
kml,1,81,0.0
string,1,1109,0.0
interpolation,1,75,0.0
tracks,1,72,0.0
gossip,1,62,0.0
numeric,1,50,0.0
bagofwords,1,52,0.0
vector,1,113,0.0
curve,1,48,0.0
geo,1,684,0.01
external,1,436,0.0
intersector,1,42,0.0
sine,1,36,0.0
clusterer,1,40,0.0
integer,1,157,0.0
noise,1,38,0.0
delaunay,1,36,0.0
biased,1,36,0.0
position,1,30,0.0
point,1,151,0.0
triangle,1,31,0.0
array,1,540,0.0
matrix,1,534,0.0
spime,1,31,0.0
handlers,1,478,0.0
methods,1,30,0.0
spline,1,30,0.0
spin,1,51,0.0
ontapi,1,16,0.0
iri,1,122,0.0
managers,1,120,0.0
main,1,249,0.0
formats,1,608,0.01
args,1,7,0.0
test,1,16962,0.03
rdbms,1,15689,0.39
webed,1,14173,0.4
basic,1,13656,0.07
taglibs,1,10737,0.3
tag,1,10584,0.06
proxy,1,9416,0.05
predicate,1,9218,0.08
viz,1,8495,0.21
jdo,1,5806,0.16
classify,1,5319,0.1
association,1,6265,0.1
name,1,4689,0.02
content,1,4179,0.02
nav,1,3700,0.05
osl,1,3554,0.1
fulltext,1,3212,0.09
locator,1,3846,0.05
tolog,1,3001,0.08
role,1,2855,0.02
comparator,1,2363,0.02
grabber,1,2515,0.06
decider,1,2399,0.05
mvalue,1,2500,0.07
cmdlineutils,1,2484,0.07
csv,1,749,0.0
output,1,1931,0.01
transformer,1,15,0.0
writer,1,2197,0.01
example,1,6,0.0
sepa,1,7350,0.18
wot,1,7053,0.17
engine,1,4250,0.02
commons,1,1795,0.02
protocol,1,1087,0.01
bean,1,1634,0.01
request,1,1691,0.01
processing,1,1118,0.01
dependability,1,754,0.02
beans,1,450,0.01
scheduling,1,528,0.01
authorization,1,592,0.01
security,1,490,0.0
apps,1,460,0.01
pattern,1,681,0.01
gates,1,338,0.01
subscriptions,1,297,0.01
gate,1,494,0.01
exceptions,1,330,0.0
secure,1,271,0.0
spu,1,266,0.01
chat,1,244,0.0
mqtt,1,196,0.0
bindings,1,194,0.0
term,1,864,0.01
protocols,1,95,0.0
scheduler,1,185,0.0
subscribe,1,180,0.0
unsubscribe,1,153,0.0
atlas,1,156,0.0
acl,1,137,0.0
thread,1,258,0.0
webthings,1,120,0.0
skos,1,8023,0.23
toolkit,1,7623,0.15
sesame,1,4419,0.12
repository,1,2492,0.01
helper,1,1988,0.01
cli,1,1288,0.01
skosplay,1,1287,0.04
solr,1,1351,0.02
arguments,1,1107,0.01
get,1,1566,0.01
lang,1,960,0.01
ifc,1,915,0.02
log,1,872,0.0
operation,1,1503,0.01
lookup,1,1585,0.02
display,1,936,0.01
list,1,2044,0.0
infer,1,513,0.01
load,1,509,0.0
node,1,2814,0.01
concept,1,488,0.01
from,1,1003,0.01
uri,1,945,0.01
assembly,1,400,0.01
connection,1,1090,0.01
statistics,1,1670,0.01
mapper,1,1857,0.01
provider,1,1154,0.0
template,1,1837,0.01
resource,1,1848,0.01
application,1,909,0.0
parameter,1,1141,0.01
violation,1,422,0.01
constraint,1,1466,0.01
not,1,1691,0.01
call,1,244,0.0
skolemizing,1,95,0.0
validating,1,280,0.01
found,1,265,0.0
queried,1,75,0.0
dataset,1,85,0.0
matcher,1,510,0.0
endpoint,1,221,0.0
parse,1,923,0.01
sioc,1,67,0.0
xhv,1,67,0.0
item,1,831,0.0
skolemizer,1,67,0.0
validator,1,452,0.0
rule,1,894,0.0
skolemization,1,61,0.0
hypermedia,1,61,0.0
riot,1,52,0.0
format,1,1038,0.01
tools,1,31281,0.2
extractors,1,13604,0.24
extractor,1,9495,0.07
gui,1,9510,0.06
tool,1,2206,0.02
topicpanels,1,3668,0.09
simple,1,3923,0.01
panel,1,3229,0.02
table,1,3414,0.01
topics,1,1344,0.02
associations,1,1874,0.04
subject,1,3383,0.05
subjects,1,1608,0.04
fng,1,1990,0.05
wandora,1,1900,0.05
datum,1,1472,0.03
open,1,1638,0.01
graphpanel,1,1280,0.03
exporters,1,1193,0.02
contexts,1,960,0.02
directive,1,1151,0.02
search,1,1778,0.01
dialog,1,1295,0.01
file,1,2278,0.0
add,1,2342,0.01
palvelukartta,1,1024,0.03
service,1,1486,0.0
export,1,1409,0.01
topicnames,1,956,0.02
servlet,1,2722,0.02
delete,1,1999,0.01
crawler,1,928,0.01
make,1,883,0.01
ont,1,1900,0.05
axioms,1,1410,0.03
owlapi,1,1715,0.04
objects,1,1236,0.01
property,1,2157,0.01
translator,1,1462,0.02
