keyword,doc_freq,total_freq,tfidf
view,3,288,0.01
spring,2,1935,0.19
application,2,81,0.0
service,2,152,0.0
bean,2,147,0.01
template,2,1173,0.1
servlet,2,305,0.03
initializer,2,127,0.02
app,2,164,0.01
client,2,5780,0.28
gwt,2,567,0.15
vaadin,2,1013,0.27
element,2,232,0.02
core,2,2358,0.12
component,2,4964,0.37
context,2,271,0.01
data,2,337,0.01
skeleton,1,102,0.03
main,1,58,0.0
greet,1,95,0.03
message,1,87,0.01
example,1,49,0.0
shell,1,7,0.0
sampler,1,595,0.14
demo,1,466,0.04
sample,1,481,0.04
paper,1,362,0.1
polymer,1,186,0.06
iron,1,152,0.05
button,1,130,0.02
menu,1,35,0.0
widget,1,88,0.01
radio,1,30,0.01
panel,1,36,0.0
input,1,30,0.0
java,1,77,0.01
api,1,26,0.0
binder,1,24,0.01
tabs,1,24,0.01
highlight,1,24,0.01
webapi,1,22,0.01
icon,1,16,0.0
icons,1,16,0.0
slider,1,16,0.0
toolbar,1,16,0.0
dialog,1,16,0.0
checkbox,1,16,0.0
toast,1,16,0.0
spinner,1,16,0.0
toggle,1,16,0.0
item,1,16,0.0
dropdown,1,16,0.01
progress,1,16,0.0
selector,1,43,0.01
collapse,1,16,0.0
drawer,1,16,0.0
fab,1,14,0.0
group,1,14,0.0
ripple,1,14,0.0
material,1,14,0.0
header,1,14,0.0
list,1,76,0.0
image,1,12,0.0
grid,1,10,0.0
combo,1,8,0.0
box,1,8,0.0
ajax,1,8,0.0
scope,1,441,0.07
scopes,1,280,0.07
annotation,1,493,0.04
internal,1,272,0.02
configuration,1,264,0.01
session,1,192,0.02
boot,1,135,0.02
security,1,128,0.01
store,1,100,0.01
request,1,94,0.0
enable,1,93,0.02
access,1,91,0.01
auto,1,76,0.01
navigator,1,71,0.01
server,1,68,0.0
cache,1,68,0.0
properties,1,63,0.01
web,1,58,0.0
config,1,83,0.0
route,1,51,0.01
instantiator,1,46,0.01
websocket,1,46,0.01
endpoint,1,46,0.01
exporter,1,46,0.01
scan,1,46,0.01
registrar,1,46,0.01
mvc,1,46,0.01
root,1,46,0.01
mapped,1,46,0.01
condition,1,46,0.01
forwarding,1,42,0.01
wrapper,1,42,0.0
strategy,1,42,0.0
control,1,40,0.0
provider,1,133,0.01
retrieval,1,36,0.01
impl,1,36,0.0
display,1,33,0.0
components,1,790,0.1
examples,1,1853,0.26
vue,1,1382,0.5
processors,1,978,0.18
options,1,755,0.07
parser,1,688,0.03
testsapp,1,597,0.27
prop,1,512,0.13
test,1,408,0.01
parent,1,488,0.12
tests,1,346,0.04
observer,1,424,0.05
annotations,1,377,0.05
hooks,1,366,0.1
has,1,370,0.08
directive,1,348,0.1
basic,1,323,0.03
watch,1,291,0.07
builder,1,281,0.01
with,1,279,0.02
computed,1,276,0.13
vnode,1,248,0.11
factory,1,267,0.01
todo,1,240,0.06
compiler,1,239,0.03
tree,1,240,0.02
generator,1,182,0.01
utils,1,166,0.0
style,1,187,0.03
util,1,182,0.0
tools,1,185,0.02
jsnative,1,181,0.08
variable,1,181,0.02
child,1,180,0.04
melisandre,1,176,0.08
definition,1,168,0.02
emit,1,162,0.06
ref,1,152,0.03
node,1,157,0.01
functions,1,128,0.01
result,1,129,0.01
object,1,128,0.01
