keyword,doc_freq,total_freq,tfidf
tree,21,2697,0.06
list,21,2770,0.03
array,18,2367,0.05
node,18,1379,0.02
binary,16,1028,0.04
sort,15,2225,0.11
search,15,2117,0.05
utils,14,5831,0.02
util,13,4041,0.02
stack,13,1001,0.05
queue,13,926,0.03
graph,13,1488,0.05
string,12,1864,0.03
linked,12,1022,0.06
sum,11,854,0.06
test,10,3802,0.03
simple,10,1129,0.02
merge,10,508,0.02
number,9,1034,0.04
text,9,1421,0.02
main,8,1390,0.01
map,8,924,0.01
hash,8,813,0.03
min,8,360,0.02
find,8,387,0.02
max,8,390,0.02
model,7,1391,0.01
exception,7,1114,0.01
thread,7,2292,0.06
service,7,5045,0.05
heap,7,973,0.06
linear,7,148,0.01
algorithm,7,3927,0.15
impl,6,1866,0.02
algorithms,6,4652,0.29
quick,6,580,0.03
bst,6,392,0.04
paths,6,174,0.01
traversal,6,269,0.02
first,6,797,0.05
image,5,964,0.02
demo,5,1466,0.04
example,5,2671,0.04
user,5,993,0.02
insertion,5,215,0.02
activity,5,6669,0.09
fibonacci,5,203,0.02
unique,5,218,0.02
rank,5,399,0.03
depth,5,380,0.02
set,5,685,0.01
result,4,836,0.01
collection,4,830,0.03
dao,4,813,0.02
builder,4,455,0.01
stream,4,792,0.01
with,4,853,0.02
filter,4,455,0.01
index,4,793,0.02
data,4,808,0.01
sorting,4,348,0.03
application,4,602,0.01
trie,4,247,0.02
recursion,4,339,0.03
random,4,324,0.01
and,4,767,0.02
json,4,2821,0.04
matrix,4,362,0.01
base,4,1509,0.02
provider,4,524,0.01
request,4,1293,0.02
app,4,755,0.01
sequence,4,117,0.0
trees,4,749,0.04
longest,4,292,0.02
java,4,620,0.02
pair,4,217,0.01
union,4,138,0.01
file,3,1162,0.01
generic,3,436,0.01
annotation,3,1013,0.03
proxy,3,505,0.01
lambda,3,505,0.03
client,3,1291,0.02
time,3,494,0.01
leetcode,3,2751,0.28
solution,3,4919,0.36
event,3,1066,0.01
cache,3,2079,0.04
reverse,3,925,0.07
security,3,666,0.02
spring,3,803,0.02
multi,3,523,0.02
selection,3,257,0.01
bubble,3,144,0.01
layout,3,853,0.03
sorted,3,243,0.01
entry,3,96,0.0
comparator,3,201,0.01
remove,3,601,0.03
similarity,3,660,0.04
linkedlist,3,275,0.03
check,3,161,0.01
palindrome,3,201,0.02
delete,3,158,0.01
balanced,3,137,0.01
insert,3,82,0.01
fixed,3,124,0.01
adapter,3,1244,0.02
listener,3,997,0.01
bean,3,936,0.03
handler,3,1052,0.01
bucket,3,28,0.0
function,3,948,0.02
get,3,404,0.01
count,3,430,0.02
lists,3,243,0.01
arrays,3,229,0.02
two,3,600,0.04
edge,3,264,0.01
common,3,466,0.01
message,3,329,0.01
custom,3,949,0.02
generator,3,617,0.01
graphs,3,400,0.03
bit,3,299,0.01
factory,3,354,0.0
directed,3,242,0.02
state,2,116,0.0
found,2,56,0.0
consumer,2,650,0.03
parser,2,433,0.01
command,2,253,0.0
line,2,150,0.0
usage,2,76,0.01
frame,2,73,0.0
src,2,2690,0.31
server,2,575,0.01
object,2,433,0.01
template,2,326,0.01
lock,2,616,0.03
strategy,2,5529,0.13
lang,2,181,0.01
api,2,1159,0.02
validation,2,941,0.04
redis,2,640,0.03
nio,2,629,0.04
executor,2,647,0.02
classloader,2,706,0.07
red,2,417,0.05
black,2,433,0.03
anagram,2,56,0.01
fast,2,25,0.0
priority,2,64,0.0
circular,2,194,0.02
unsorted,2,55,0.01
card,2,198,0.01
singly,2,84,0.01
match,2,232,0.01
pairing,2,63,0.01
equation,2,12,0.0
context,2,1695,0.02
repository,2,1600,0.04
author,2,607,0.04
email,2,668,0.03
analysis,2,373,0.01
target,2,660,0.03
permutation,2,130,0.01
one,2,170,0.01
nodes,2,87,0.0
three,2,113,0.01
rotate,2,56,0.0
loop,2,351,0.02
big,2,68,0.0
testing,2,387,0.02
view,2,1589,0.02
fragment,2,1488,0.03
widget,2,1491,0.05
core,2,717,0.01
tab,2,558,0.02
helper,2,531,0.01
component,2,527,0.01
manager,2,547,0.01
