keyword,doc_freq,total_freq,tfidf
activity,4,42,0.02
helper,4,33,0.02
view,4,32,0.01
util,3,29,0.01
model,3,32,0.01
renderer,3,54,0.08
manager,3,12,0.01
shader,3,13,0.05
camera,3,14,0.02
permission,3,21,0.03
object,3,10,0.01
utils,3,57,0.01
instrumented,3,16,0.02
example,3,16,0.01
test,3,16,0.01
fragment,3,32,0.03
file,2,17,0.0
main,2,14,0.0
exception,2,6,0.0
check,2,6,0.01
point,2,11,0.01
base,2,10,0.0
display,2,10,0.02
rotation,2,17,0.06
background,2,10,0.02
rendering,2,66,0.18
detector,2,8,0.01
image,2,10,0.01
surface,2,9,0.02
location,2,100,0.16
marker,2,16,0.04
listener,2,5,0.0
geometry,2,4,0.01
cam,2,7,0.03
parser,1,8,0.0
chooser,1,4,0.01
lighting,1,4,0.02
mtl,1,4,0.02
fixed,1,4,0.01
utilities,1,4,0.01
assets,1,4,0.01
utility,1,4,0.01
card,1,4,0.01
array,1,4,0.0
iterator,1,4,0.01
viewer,1,4,0.01
simple,1,4,0.0
tokenizer,1,4,0.01
mem,1,4,0.01
parse,1,4,0.01
obj,1,4,0.01
group,1,4,0.0
material,1,4,0.01
instructions,1,4,0.02
config,1,4,0.0
color,1,3,0.0
cube,1,3,0.01
preview,1,1,0.0
reactcomponent,1,35,0.21
session,1,21,0.03
react,1,14,0.05
protocol,1,7,0.01
cloud,1,7,0.02
gesture,1,7,0.02
plane,1,7,0.03
info,1,7,0.0
module,1,7,0.01
callback,1,7,0.01
arcorelocation,1,109,0.66
device,1,32,0.05
sensor,1,30,0.08
node,1,18,0.01
orientation,1,12,0.05
scene,1,11,0.03
arcore,1,10,0.06
render,1,9,0.02
changed,1,8,0.02
kalman,1,8,0.03
lat,1,9,0.04
annotation,1,3,0.0
markerar,1,40,0.24
properties,1,12,0.01
markerdetection,1,10,0.06
browse,1,6,0.03
pictureproject,1,5,0.03
schemas,1,5,0.02
settings,1,5,0.0
property,1,5,0.01
schema,1,4,0.01
add,1,4,0.01
edit,1,4,0.01
create,1,3,0.0
picture,1,3,0.01
value,1,2,0.0
handler,1,2,0.0
frame,1,2,0.0
dialog,1,2,0.0
save,1,2,0.0
calibration,1,1,0.0
choose,1,1,0.0
portrait,1,1,0.01
checked,1,1,0.0
linear,1,1,0.0
layout,1,2,0.0
preferences,1,1,0.0
parameters,1,1,0.0
ext,1,1,0.0
param,1,1,0.0
project,1,1,0.0
loader,1,1,0.0
code,1,1,0.0
furniturego,1,59,0.36
holder,1,6,0.01
sample,1,6,0.01
architect,1,6,0.03
models,1,3,0.0
wikitude,1,3,0.02
sdk,1,3,0.01
constants,1,3,0.0
search,1,3,0.0
fire,1,3,0.01
home,1,3,0.01
item,1,3,0.0
login,1,3,0.0
profile,1,3,0.0
splashscreen,1,3,0.02
fav,1,3,0.02
network,1,54,0.05
navar,1,74,0.45
place,1,14,0.04
geocode,1,11,0.07
poi,1,11,0.06
northeast,1,5,0.03
southwest,1,5,0.03
response,1,4,0.0
beyondar,1,4,0.02
viewport,1,3,0.01
result,1,3,0.0
start,1,2,0.0
component,1,2,0.0
distance,1,2,0.0
duration,1,2,0.01
hours,1,2,0.01
end,1,2,0.0
address,1,2,0.0
bounds,1,2,0.01
photo,1,2,0.0
mod,1,2,0.01
opening,1,2,0.01
polyline,1,2,0.01
open,1,1,0.0
directions,1,1,0.0
calc,1,1,0.0
geocoded,1,1,0.0
waypoint,1,1,0.0
review,1,1,0.0
route,1,1,0.0
support,1,1,0.0
retrofit,1,1,0.0
touch,1,1,0.0
aspect,1,1,0.0
adapter,1,1,0.0
