keyword,doc_freq,total_freq,tfidf
powerauth,1,3174,0.86
crypto,1,2132,0.27
lib,1,1542,0.16
auth,1,1402,0.1
power,1,1402,0.25
http,1,820,0.04
server,1,816,0.03
model,1,776,0.01
util,1,674,0.01
client,1,718,0.03
api,1,696,0.02
encryptor,1,675,0.16
ecies,1,595,0.16
activation,1,516,0.09
service,1,500,0.01
signature,1,476,0.07
utils,1,287,0.0
provider,1,418,0.01
exception,1,368,0.01
key,1,362,0.02
token,1,337,0.02
validator,1,336,0.03
rest,1,336,0.02
app,1,332,0.01
generator,1,325,0.02
header,1,303,0.03
vault,1,293,0.06
controller,1,286,0.01
repository,1,266,0.02
configuration,1,205,0.01
application,1,202,0.01
factory,1,197,0.0
hash,1,193,0.02
request,1,188,0.01
personalized,1,181,0.05
authentication,1,176,0.02
behavior,1,171,0.03
security,1,166,0.01
entity,1,165,0.01
encrypted,1,145,0.03
response,1,141,0.01
non,1,137,0.02
encryption,1,133,0.02
message,1,132,0.01
config,1,127,0.0
status,1,122,0.01
keyfactory,1,112,0.03
spring,1,107,0.01
web,1,84,0.0
counter,1,80,0.01
alphabankui,1,10,0.0
activity,1,6,0.0
example,1,2,0.0
instrumented,1,2,0.0
test,1,2,0.0
main,1,2,0.0
