keyword,doc_freq,total_freq,tfidf
activity,26,1123,0.01
camera,25,5645,0.21
view,23,2814,0.03
test,19,280,0.0
main,19,295,0.0
image,15,1020,0.02
utils,14,1976,0.01
listener,14,761,0.01
helper,13,2632,0.03
preview,11,1172,0.06
instrumented,11,84,0.0
example,11,84,0.0
video,10,811,0.03
util,10,1657,0.01
base,10,339,0.0
manager,10,666,0.01
adapter,9,497,0.01
application,8,107,0.0
file,8,1921,0.01
bitmap,7,149,0.01
photo,7,153,0.01
surface,7,209,0.01
list,6,426,0.0
media,6,309,0.01
callback,6,191,0.0
mode,6,594,0.02
texture,6,1380,0.06
event,5,3370,0.04
text,5,405,0.01
picture,5,1420,0.09
action,5,181,0.0
screen,5,281,0.01
layout,5,173,0.01
size,5,309,0.01
detector,5,440,0.01
button,5,230,0.01
open,5,511,0.02
impl,5,651,0.01
frame,5,342,0.01
fragment,4,361,0.01
utilities,4,48,0.0
sample,4,59,0.0
splash,4,60,0.0
provider,4,107,0.0
app,4,1629,0.02
context,4,613,0.01
custom,4,172,0.0
controller,4,1043,0.01
model,4,75,0.0
orientation,4,203,0.02
auto,4,102,0.0
service,4,1264,0.01
settings,4,758,0.01
click,4,97,0.0
state,4,497,0.01
module,4,562,0.01
data,4,502,0.0
factory,4,1224,0.01
control,4,322,0.01
handler,4,849,0.01
bar,3,181,0.01
activities,3,62,0.0
menu,3,138,0.0
web,3,62,0.0
gallery,3,120,0.01
audio,3,358,0.02
full,3,252,0.01
share,3,160,0.01
dialog,3,102,0.0
thread,3,165,0.0
info,3,388,0.0
load,3,159,0.0
focus,3,90,0.01
common,3,629,0.01
layer,3,116,0.0
input,3,823,0.01
loader,3,119,0.0
point,3,330,0.01
background,3,75,0.0
rect,3,106,0.01
value,3,428,0.01
color,3,141,0.0
saver,3,15,0.0
time,3,116,0.0
compare,3,255,0.01
capture,3,79,0.0
task,3,447,0.01
fit,3,29,0.0
egl,3,217,0.02
entity,3,179,0.0
internal,3,696,0.02
option,3,350,0.01
flash,3,40,0.0
panel,3,741,0.02
change,3,67,0.0
touch,3,23,0.0
core,3,5993,0.08
crop,3,218,0.02
type,3,494,0.0
recorder,3,117,0.01
android,2,96,0.0
canvas,2,342,0.02
object,2,580,0.01
face,2,321,0.02
uri,2,23,0.0
save,2,154,0.01
preference,2,85,0.0
about,2,30,0.0
read,2,122,0.0
wizard,2,813,0.04
json,2,229,0.0
form,2,82,0.0
home,2,82,0.0
font,2,68,0.0
editor,2,300,0.01
http,2,574,0.01
request,2,178,0.0
builder,2,609,0.01
filter,2,1299,0.01
filters,2,41,0.0
store,2,99,0.0
string,2,56,0.0
rotate,2,62,0.01
draw,2,97,0.01
get,2,256,0.01
log,2,71,0.0
permissions,2,7,0.0
mat,2,386,0.02
step,2,563,0.02
engine,2,115,0.0
api,2,7106,0.09
descriptor,2,72,0.0
trees,2,56,0.0
scroll,2,82,0.0
subtractor,2,57,0.0
stereo,2,57,0.0
buttons,2,132,0.01
classifier,2,111,0.0
tonemap,2,50,0.0
converter,2,246,0.01
sizes,2,2,0.0
area,2,85,0.0
source,2,1067,0.02
gles,2,192,0.02
offscreen,2,118,0.01
matrix,2,155,0.01
item,2,109,0.0
wrapper,2,57,0.0
widgets,2,140,0.01
edit,2,55,0.0
sensor,2,111,0.01
configuration,2,57,0.0
quality,2,194,0.01
record,2,34,0.0
aspect,2,51,0.0
date,2,14,0.0
close,2,228,0.01
recycler,2,11,0.0
events,2,1328,0.03
generated,2,610,0.03
imgproc,2,283,0.03
exception,2,10567,0.06
destination,2,545,0.04
connection,2,243,0.01
changed,2,325,0.02
code,2,372,0.01
publisher,2,154,0.01
config,2,353,0.0
error,2,10536,0.16
command,2,4556,0.07
device,2,1528,0.05
delegate,2,191,0.01
options,2,180,0.0
renderer,2,143,0.0
cameraview,2,1722,0.15
encoder,2,128,0.0
window,2,111,0.0
grid,2,94,0.0
client,2,513,0.01
snapchatlikecamera,1,24,0.0
sticker,1,12,0.0
icon,1,48,0.0
drawable,1,2,0.0
delete,1,2,0.0
zoom,1,44,0.0
circle,1,28,0.0
progress,1,44,0.0
objects,1,42,0.0
functionallities,1,40,0.0
hire,1,28,0.0
magical,1,21,0.0
paths,1,14,0.0
recognition,1,14,0.0
information,1,50,0.0
page,1,12,0.0
permission,1,91,0.0
granted,1,11,0.0
fragments,1,6,0.0
convert,1,12,0.0
simple,1,97,0.0
easy,1,7,0.0
shared,1,29,0.0
first,1,2,0.0
fifth,1,2,0.0
fourth,1,2,0.0
sixth,1,2,0.0
help,1,18,0.0
third,1,2,0.0
second,1,2,0.0
mark,1,2,0.0
down,1,7,0.0
screens,1,675,0.05
views,1,238,0.01
adapters,1,234,0.01
popups,1,213,0.02
popup,1,232,0.02
models,1,221,0.01
informa,1,112,0.01
editors,1,97,0.01
note,1,97,0.01
transport,1,90,0.0
organizations,1,83,0.01
forms,1,71,0.01
seek,1,200,0.01
sucker,1,47,0.0
spinner,1,93,0.01
region,1,49,0.0
notifications,1,47,0.0
range,1,98,0.0
suckers,1,39,0.0
cookie,1,70,0.0
post,1,30,0.0
https,1,10,0.0
call,1,55,0.0
update,1,44,0.0
system,1,12,0.0
bean,1,80,0.0
access,1,99,0.0
token,1,10,0.0
back,1,10,0.0
other,1,10,0.0
xml,1,20,0.0
param,1,53,0.0
has,1,39,0.0
crossfade,1,10,0.0
widget,1,47,0.0
demo,1,42,0.0
toast,1,13,0.0
take,1,65,0.0
accessibility,1,135,0.01
gamepad,1,101,0.01
slave,1,98,0.01
preferences,1,118,0.0
method,1,170,0.0
keyboard,1,125,0.01
slavemode,1,72,0.01
params,1,66,0.0
debug,1,72,0.0
pointer,1,128,0.01
node,1,57,0.0
mouse,1,66,0.0
slider,1,42,0.0
sliders,1,8,0.0
exposure,1,45,0.0
fullscreen,1,2,0.0
converters,1,21,0.0
compensation,1,43,0.01
temperature,1,1,0.0
rounded,1,25,0.0
iso,1,43,0.0
single,1,120,0.0
timer,1,64,0.0
correction,1,1,0.0
ocr,1,3,0.0
graphic,1,2,0.0
overlay,1,56,0.0
processor,1,82,0.0
poicamera,1,19,0.0
poi,1,1,0.0
parameters,1,4,0.0
prototype,1,1,0.0
glview,1,366,0.05
glcanvas,1,275,0.04
animation,1,156,0.01
performance,1,126,0.01
off,1,112,0.01
shape,1,109,0.0
bubble,1,84,0.01
multi,1,150,0.0
bubbles,1,63,0.01
anim,1,63,0.0
basic,1,63,0.0
player,1,97,0.0
tex,1,44,0.01
blend,1,42,0.0
continuous,1,42,0.0
normal,1,61,0.0
producer,1,32,0.0
orm,1,8,0.0
lite,1,6,0.0
history,1,28,0.0
database,1,2,0.0
launch,1,20,0.0
cache,1,55,0.0
sense,1,4,0.0
send,1,2,0.0
crosshair,1,2,0.0
sandrios,1,31,0.0
bus,1,44,0.0
sphere,1,1,0.0
electric,1,1,0.0
operations,1,2218,0.09
operation,1,1578,0.04
socket,1,1196,0.03
network,1,948,0.02
pipeline,1,914,0.04
composite,1,816,0.04
opencv,1,806,0.06
enumeration,1,660,0.05
sources,1,370,0.03
sockets,1,287,0.02
ros,1,323,0.03
grip,1,323,0.03
templated,1,297,0.03
codegeneration,1,282,0.03
one,1,306,0.01
publish,1,220,0.01
serialization,1,220,0.01
cuda,1,198,0.02
project,1,182,0.01
threshold,1,178,0.01
types,1,165,0.0
croperino,1,24,0.0
alert,1,60,0.0
highlight,1,8,0.0
job,1,18,0.0
storage,1,176,0.0
content,1,11,0.0
monitored,1,8,0.0
edsdk,1,5187,0.68
eds,1,3089,0.41
constant,1,2680,0.1
logic,1,2644,0.13
ptp,1,2088,0.27
general,1,1280,0.06
property,1,1226,0.03
stream,1,1228,0.02
jna,1,840,0.1
invalid,1,728,0.03
not,1,580,0.01
canon,1,538,0.07
decorator,1,531,0.03
dir,1,440,0.03
sti,1,432,0.06
function,1,408,0.01
desc,1,331,0.03
session,1,315,0.01
evf,1,294,0.04
func,1,280,0.02
communication,1,280,0.02
register,1,287,0.01
shoot,1,206,0.02
target,1,226,0.01
found,1,200,0.01
comm,1,200,0.01
pager,1,25,0.0
managers,1,6,0.0
torch,1,4,0.0
noob,1,3,0.0
ics,1,3,0.0
marsh,1,3,0.0
mallow,1,3,0.0
lollipop,1,3,0.0
utility,1,171,0.01
emotionsample,1,32,0.0
feed,1,4,0.0
recognize,1,3,0.0
select,1,104,0.0
more,1,2,0.0
mood,1,2,0.0
flipsidecamera,1,8,0.0
customviews,1,1,0.0
swipe,1,25,0.0
license,1,1,0.0
flipside,1,1,0.0
annca,1,181,0.02
detect,1,31,0.0
gps,1,31,0.0
track,1,31,0.0
smart,1,28,0.0
firebase,1,15,0.0
rate,1,9,0.0
details,1,34,0.0
scaling,1,3,0.0
intent,1,8,0.0
flow,1,23,0.0
optical,1,23,0.0
merge,1,62,0.0
matcher,1,40,0.0
feature,1,21,0.0
calibrate,1,30,0.0
key,1,53,0.0
cascade,1,50,0.0
extractor,1,20,0.0
rotated,1,20,0.0
match,1,49,0.0
ann,1,29,0.0
mlp,1,29,0.0
meter,1,20,0.0
exposures,1,20,0.0
robertson,1,20,0.0
bow,1,2,0.0
debevec,1,20,0.0
align,1,20,0.0
java,1,102,0.0
sparse,1,13,0.0
trainer,1,2,0.0
logistic,1,10,0.0
flann,1,1,0.0
dual,1,10,0.0
boost,1,28,0.0
akaze,1,1,0.0
videoio,1,10,0.0
androidbackgroundvideorecording,1,3,0.0
tasks,1,442,0.02
rct,1,433,0.05
async,1,434,0.01
barcode,1,185,0.01
detection,1,156,0.01
scanner,1,85,0.0
detected,1,77,0.01
recognizer,1,85,0.01
constants,1,86,0.0
taken,1,71,0.01
saved,1,93,0.01
faces,1,40,0.0
finder,1,61,0.0
barcodes,1,37,0.0
mutable,1,49,0.0
scoped,1,40,0.0
mount,1,40,0.0
resolve,1,40,0.0
ready,1,112,0.01
dimensions,1,40,0.0
controls,1,407,0.02
cropper,1,170,0.02
buffer,1,142,0.0
gesture,1,102,0.01
pool,1,68,0.0
worker,1,51,0.0
output,1,193,0.0
mapper,1,34,0.0
snapshot,1,34,0.0
result,1,45,0.0
codec,1,34,0.0
buffers,1,17,0.0
selectors,1,17,0.0
selector,1,76,0.0
