keyword,doc_freq,total_freq,tfidf
util,14,1428,0.01
command,10,4195,0.13
cli,10,2997,0.22
file,9,946,0.01
test,8,1544,0.02
main,7,941,0.02
exception,7,508,0.01
type,7,564,0.01
utils,7,1390,0.01
commands,7,4420,0.24
factory,6,276,0.0
config,6,454,0.01
impl,6,411,0.01
version,5,210,0.01
location,5,92,0.01
client,5,759,0.02
group,5,312,0.01
list,5,496,0.01
with,5,263,0.01
message,5,398,0.01
data,5,267,0.0
loader,5,939,0.03
listener,4,427,0.01
log,4,142,0.01
handler,4,383,0.01
line,4,149,0.01
parser,4,178,0.01
options,4,302,0.02
model,4,845,0.01
plugin,4,264,0.01
service,4,479,0.01
server,4,577,0.02
manager,4,413,0.01
system,4,241,0.01
task,4,661,0.02
base,4,572,0.01
result,4,198,0.01
json,4,224,0.01
configuration,4,397,0.01
output,4,138,0.01
tester,3,89,0.01
device,3,100,0.01
property,3,1119,0.06
api,3,1699,0.05
core,3,1121,0.03
exit,3,100,0.01
response,3,376,0.01
executor,3,174,0.01
status,3,196,0.01
converter,3,652,0.03
context,3,444,0.01
callback,3,97,0.01
entity,3,124,0.01
launcher,3,206,0.02
arguments,3,239,0.03
processor,3,320,0.01
help,3,112,0.01
provider,3,125,0.0
text,3,181,0.01
input,3,62,0.0
string,3,138,0.0
condition,3,190,0.02
stream,3,66,0.0
builder,3,285,0.01
reader,3,43,0.0
writer,3,107,0.0
directory,3,151,0.01
resolver,3,117,0.01
session,2,211,0.01
gui,2,104,0.01
wrapper,2,100,0.0
logging,2,65,0.0
load,2,485,0.03
lambda,2,72,0.01
game,2,18,0.0
tools,2,909,0.06
devices,2,62,0.01
info,2,151,0.0
prop,2,502,0.08
mode,2,77,0.01
address,2,67,0.01
common,2,203,0.01
action,2,132,0.0
create,2,94,0.01
generate,2,45,0.0
module,2,119,0.0
definition,2,85,0.01
simple,2,77,0.0
publish,2,222,0.03
mapping,2,16,0.0
request,2,320,0.01
stats,2,171,0.01
bucket,2,99,0.01
unknown,2,102,0.01
database,2,111,0.0
item,2,114,0.0
call,2,101,0.01
entry,2,77,0.0
thread,2,81,0.0
shell,2,687,0.07
converters,2,846,0.08
export,2,439,0.04
error,2,260,0.01
run,2,174,0.01
payload,2,97,0.01
observer,2,160,0.01
commons,2,122,0.01
check,2,131,0.01
delete,2,123,0.01
args,2,97,0.01
application,2,148,0.0
home,2,61,0.01
environment,2,80,0.01
constants,2,148,0.01
compile,2,370,0.05
display,2,71,0.01
interpreter,2,46,0.01
app,2,283,0.01
state,2,126,0.0
size,2,66,0.01
holder,2,66,0.0
generator,2,172,0.01
checker,2,41,0.0
arg,2,189,0.03
postprocessing,2,264,0.06
post,2,224,0.02
android,2,81,0.01
argument,2,219,0.02
invalid,2,24,0.0
optional,2,26,0.0
