keyword,doc_freq,total_freq,tfidf
type,11,10220,0.01
exception,10,6517,0.0
file,8,3767,0.0
variable,8,4368,0.02
method,7,7815,0.02
node,7,20479,0.03
visitor,6,6866,0.03
array,6,5864,0.01
value,6,5199,0.01
impl,6,8842,0.01
table,6,17981,0.04
util,5,21007,0.01
expression,5,20138,0.07
list,5,2037,0.0
field,5,1566,0.0
context,5,20858,0.03
function,5,2788,0.01
code,5,2208,0.01
compiler,4,8671,0.04
resource,4,7066,0.02
java,4,2065,0.01
handler,4,3388,0.0
string,4,1923,0.0
annotation,4,2135,0.01
element,4,1654,0.01
constant,4,2173,0.01
output,4,6868,0.01
info,4,1100,0.0
data,4,6567,0.0
input,4,2773,0.01
call,4,928,0.0
loader,3,2773,0.01
source,3,2116,0.0
filter,3,10060,0.01
stream,3,6199,0.01
map,3,6822,0.01
module,3,1389,0.0
manager,3,2212,0.0
token,3,431,0.0
parser,3,2662,0.0
zip,3,549,0.0
operation,3,1576,0.01
object,3,5064,0.01
local,3,2160,0.01
name,3,1361,0.0
engine,3,1568,0.0
error,3,780,0.0
base,3,8108,0.01
event,3,30834,0.04
internal,3,31921,0.08
strategy,3,10004,0.02
statement,3,7950,0.03
events,3,3006,0.01
runtime,3,8475,0.03
text,3,1855,0.0
binary,3,681,0.0
compile,3,1732,0.01
instruction,3,1209,0.01
generator,3,2142,0.0
block,3,676,0.0
cfg,3,3322,0.03
var,3,282,0.0
evaluator,2,3293,0.02
samples,2,1071,0.01
factory,2,19212,0.01
body,2,477,0.0
script,2,2462,0.01
reader,2,1074,0.0
simple,2,2149,0.0
reflect,2,569,0.0
literal,2,477,0.0
writer,2,1719,0.0
,2,1208,
modifier,2,211,0.0
handle,2,720,0.0
entry,2,2444,0.01
number,2,1036,0.0
add,2,976,0.0
pattern,2,7146,0.03
result,2,5606,0.01
declaration,2,421,0.0
core,2,32754,0.05
common,2,25223,0.04
expr,2,19941,0.14
service,2,14159,0.01
property,2,10020,0.03
dot,2,7698,0.05
group,2,5684,0.01
access,2,5096,0.02
builder,2,3569,0.01
types,2,1206,0.0
test,2,5244,0.0
configuration,2,3354,0.0
cli,2,737,0.0
directive,2,760,0.01
ref,2,694,0.0
assembly,2,1366,0.01
wasm,2,14,0.0
pool,2,557,0.0
and,2,2665,0.01
operator,2,1913,0.01
line,2,1185,0.0
memory,2,377,0.0
dynamic,2,841,0.0
commands,2,6274,0.02
graphics,2,3365,0.02
listener,2,3996,0.0
provider,2,2984,0.0
mode,2,707,0.0
system,2,734,0.0
plugin,2,4073,0.01
loop,2,1237,0.01
math,2,798,0.0
dialog,2,1145,0.0
viewer,2,793,0.0
adapter,2,3610,0.01
dialogs,2,750,0.0
get,2,780,0.0
definition,2,565,0.0
arg,2,57,0.0
label,2,916,0.0
tree,2,2805,0.01
global,2,208,0.0
sub,2,695,0.0
mapping,2,618,0.0
analysis,2,424,0.0
iterator,1,4705,0.02
finder,1,1719,0.01
jdk,1,1012,0.01
multi,1,3825,0.01
demo,1,526,0.0
creator,1,837,0.0
enumerator,1,454,0.0
directory,1,599,0.0
tools,1,363,0.0
descriptor,1,1794,0.01
unescape,1,288,0.0
cookable,1,243,0.0
unicode,1,262,0.0
warning,1,278,0.0
producer,1,299,0.0
nullanalysis,1,204,0.0
lang,1,373,0.0
unit,1,1000,0.0
charstream,1,163,0.0
traverser,1,160,0.0
def,1,823,0.01
builtin,1,454,0.0
rich,1,280,0.0
signature,1,468,0.0
pre,1,113,0.0
bool,1,159,0.0
latte,1,62,0.0
anno,1,74,0.0
collection,1,3739,0.01
implicit,1,68,0.0
one,1,542,0.0
primitive,1,393,0.0
invokable,1,24,0.0
maven,1,24,0.0
another,1,19,0.0
start,1,2946,0.01
layer,1,55,0.0
indentation,1,19,0.0
constructor,1,97,0.0
unary,1,287,0.0
two,1,258,0.0
presentable,1,19,0.0
atomic,1,49,0.0
haxe,1,7,0.0
reference,1,754,0.0
charset,1,5,0.0
retention,1,50,0.0
media,1,2,0.0
target,1,643,0.0
invocation,1,225,0.0
character,1,80,0.0
coding,1,2,0.0
coder,1,2,0.0
digest,1,162,0.0
render,1,151,0.0
handles,1,1,0.0
predicate,1,400,0.0
consumer,1,597,0.0
concurrent,1,97,0.0
timeout,1,36,0.0
parameterized,1,157,0.0
policy,1,246,0.0
annotated,1,43,0.0
generic,1,169,0.0
proxy,1,700,0.0
accessible,1,351,0.0
remove,1,490,0.0
wildcard,1,1586,0.02
epl,1,70435,0.91
eval,1,20138,0.12
client,1,18697,0.03
view,1,18208,0.02
join,1,11013,0.06
agg,1,10306,0.1
bean,1,9515,0.03
spec,1,7914,0.04
soda,1,7409,0.11
forge,1,7395,0.07
index,1,7363,0.02
lookup,1,6924,0.04
regressionlib,1,6189,0.09
metrics,1,5572,0.02
window,1,6456,0.02
support,1,5913,0.02
enummethod,1,5725,0.08
getter,1,5794,0.05
aggregation,1,5405,0.03
dataflow,1,5357,0.05
state,1,5664,0.01
velocity,1,3370,0.02
forks,1,3152,0.05
dom,1,3287,0.02
fxg,1,2788,0.04
rep,1,904,0.01
ast,1,1921,0.01
binding,1,1245,0.01
define,1,637,0.01
concrete,1,504,0.0
swc,1,432,0.01
extension,1,1004,0.0
style,1,517,0.0
log,1,958,0.0
graph,1,2320,0.01
thread,1,1704,0.0
web,1,77,0.0
opcodes,1,38,0.0
numeric,1,101,0.0
external,1,488,0.0
kind,1,19,0.0
annotations,1,260,0.0
export,1,211,0.0
convertion,1,1,0.0
attributes,1,61,0.0
section,1,1,0.0
exceptions,1,6,0.0
standard,1,25,0.0
extended,1,382,0.0
compiled,1,639,0.01
compilation,1,85,0.0
generators,1,6210,0.04
mnemonics,1,3691,0.05
functions,1,2178,0.01
javascript,1,2149,0.02
powerscript,1,1901,0.02
command,1,774,0.0
logic,1,676,0.0
mnemonic,1,180,0.0
template,1,669,0.0
shape,1,629,0.0
systemvars,1,421,0.01
console,1,830,0.0
crossoptimizer,1,361,0.0
shell,1,658,0.0
term,1,684,0.0
optimizer,1,420,0.0
device,1,437,0.0
basic,1,585,0.0
print,1,469,0.0
channel,1,764,0.0
