keyword,doc_freq,total_freq,tfidf
config,8,3131,0.02
factory,5,1653,0.01
query,5,1184,0.02
utils,4,585,0.0
client,4,839,0.01
runner,4,354,0.01
log,4,392,0.0
handler,4,2295,0.02
data,4,6668,0.03
file,4,601,0.0
builder,4,899,0.01
exception,4,2677,0.01
http,4,2500,0.03
repository,4,2031,0.03
test,4,708,0.0
command,4,212,0.0
not,4,338,0.0
request,3,844,0.01
benchmark,3,114,0.0
converter,3,422,0.01
service,3,3987,0.02
method,3,3154,0.05
type,3,2154,0.01
dao,3,1757,0.03
configuration,3,2161,0.02
exceptions,3,691,0.01
found,3,254,0.01
source,3,507,0.01
api,3,466,0.0
task,2,170,0.0
rate,2,282,0.01
set,2,226,0.0
failure,2,63,0.0
main,2,55,0.0
generation,2,127,0.01
flow,2,120,0.0
result,2,345,0.0
zip,2,12,0.0
impl,2,8769,0.04
all,2,3645,0.08
input,2,2880,0.03
provider,2,2897,0.02
property,2,2604,0.04
controller,2,1388,0.01
model,2,1217,0.0
validator,2,1182,0.02
definition,2,949,0.02
run,2,233,0.01
manager,2,1003,0.01
line,2,128,0.0
level,2,108,0.0
jvm,2,748,0.03
response,2,284,0.0
formatter,2,654,0.01
writer,2,326,0.0
bench,2,282,0.01
commands,2,102,0.0
status,2,430,0.01
info,2,761,0.0
submit,2,34,0.0
metric,2,145,0.0
get,2,70,0.0
allocation,2,584,0.03
with,2,433,0.01
time,2,417,0.0
extractor,2,467,0.01
execution,2,432,0.01
insert,2,174,0.01
sql,2,1526,0.03
helper,2,429,0.0
stats,1,142,0.0
message,1,261,0.0
ratelimit,1,51,0.0
limiter,1,54,0.0
runtime,1,195,0.0
rpc,1,34,0.0
taskset,1,34,0.0
locust,1,22,0.0
map,1,145,0.0
visitor,1,106,0.0
success,1,22,0.0
zeromq,1,22,0.0
examples,1,20,0.0
state,1,170,0.0
entry,1,35,0.0
error,1,316,0.0
stable,1,17,0.0
weighing,1,17,0.0
ramp,1,35,0.0
taskfactory,1,12,0.0
always,1,10,0.0
thread,1,296,0.0
local,1,214,0.0
queues,1,5,0.0
fail,1,49,0.0
updater,1,1,0.0
clusterer,1,32,0.0
comparator,1,914,0.02
clustering,1,28,0.0
testcases,1,24,0.0
testcase,1,24,0.0
triple,1,18,0.0
random,1,56,0.0
