keyword,doc_freq,total_freq,tfidf
image,6,368,0.03
merge,6,110,0.02
camera,6,204,0.04
detector,6,90,0.01
background,5,80,0.02
rect,5,37,0.01
point,5,106,0.01
view,5,445,0.02
classifier,5,118,0.02
util,4,765,0.01
mat,4,224,0.06
flow,4,30,0.01
optical,4,28,0.01
loader,4,58,0.0
matcher,4,24,0.0
tonemap,4,39,0.01
base,4,35,0.0
open,4,67,0.01
callback,4,24,0.0
subtractor,4,24,0.01
stereo,4,24,0.01
video,4,93,0.02
descriptor,4,27,0.0
renderer,4,24,0.0
calibrate,4,24,0.01
match,4,32,0.01
cascade,4,37,0.01
key,4,16,0.0
helper,4,58,0.0
exposures,4,16,0.01
trees,4,16,0.0
align,4,16,0.0
detection,3,79,0.02
utils,3,31,0.0
data,3,201,0.01
feature,3,15,0.0
meter,3,13,0.0
robertson,3,16,0.01
debevec,3,16,0.01
activity,3,41,0.0
main,3,117,0.0
color,2,260,0.04
edge,2,75,0.02
segmentation,2,78,0.03
test,2,53,0.0
blur,2,79,0.03
skin,2,49,0.02
gaussian,2,33,0.01
exception,2,275,0.01
face,2,32,0.01
processor,2,43,0.0
example,2,39,0.0
hough,2,24,0.02
code,2,155,0.02
controller,2,908,0.06
line,2,77,0.01
template,2,70,0.01
trainer,2,8,0.0
bow,2,8,0.0
java,2,69,0.01
sparse,2,19,0.01
imgproc,2,272,0.13
flann,2,4,0.0
activities,2,36,0.01
fragments,2,20,0.0
fragment,2,17,0.0
socket,2,1200,0.15
extractor,2,14,0.0
source,2,1025,0.09
preview,2,673,0.17
capture,2,9,0.0
core,2,5952,0.41
opencv,2,808,0.31
settings,2,645,0.06
service,2,407,0.02
ann,2,9,0.0
mlp,2,9,0.0
dual,2,7,0.0
gray,1,90,0.04
pattern,1,86,0.01
histogram,1,79,0.02
render,1,106,0.02
difference,1,63,0.03
combine,1,63,0.03
determine,1,55,0.03
scale,1,54,0.01
marvin,1,63,0.03
quantization,1,54,0.03
boundary,1,48,0.02
find,1,146,0.04
morphological,1,53,0.02
transform,1,98,0.02
and,1,36,0.0
lindenmayer,1,36,0.02
harris,1,36,0.02
plugin,1,38,0.0
halftone,1,36,0.02
statistical,1,36,0.02
regions,1,32,0.01
thresholding,1,30,0.02
corner,1,31,0.01
photos,1,27,0.01
fill,1,38,0.01
texture,1,27,0.01
moravec,1,27,0.02
equalization,1,27,0.02
text,1,117,0.01
closing,1,21,0.01
fixed,1,19,0.0
error,1,31,0.0
mask,1,51,0.02
tile,1,18,0.0
scene,1,18,0.0
floodfill,1,18,0.01
julia,1,18,0.01
life,1,51,0.02
objective,1,17,0.01
grid,1,35,0.01
largest,1,7,0.0
rule,1,16,0.0
config,1,6,0.0
genetic,1,6,0.0
function,1,15,0.0
stats,1,6,0.0
algorithm,1,16,0.0
genome,1,6,0.0
visualize,1,6,0.0
calculate,1,6,0.0
basic,1,5,0.0
reportable,1,5,0.0
evaluate,1,5,0.0
filter,1,268,0.01
filters,1,168,0.03
datamodel,1,136,0.05
lut,1,131,0.08
binary,1,110,0.02
conv,1,60,0.02
spatial,1,57,0.01
hist,1,62,0.03
pixels,1,25,0.02
fast,1,29,0.01
morph,1,37,0.02
noise,1,28,0.01
area,1,71,0.02
back,1,10,0.0
gradient,1,28,0.01
dilate,1,10,0.01
erode,1,10,0.01
projection,1,10,0.0
hat,1,10,0.01
operator,1,9,0.0
pixel,1,5,0.0
cluster,1,6,0.0
model,1,16,0.0
rotate,1,24,0.01
lines,1,133,0.04
medima,1,5,0.0
connected,1,50,0.02
con,1,5,0.0
bri,1,5,0.0
convolution,1,23,0.01
top,1,5,0.0
generalized,1,3,0.0
opencvandroid,1,3,0.0
rotated,1,9,0.0
moments,1,13,0.01
regression,1,8,0.0
tick,1,4,0.0
param,1,37,0.01
params,1,4,0.0
kalman,1,8,0.0
handlers,1,24,0.0
game,1,18,0.0
handler,1,141,0.01
classes,1,21,0.01
dependence,1,10,0.0
collection,1,52,0.01
demo,1,8,0.0
server,1,56,0.0
device,1,4,0.0
setting,1,34,0.01
ocr,1,3,0.0
utilities,1,2,0.0
graphic,1,2,0.0
overlay,1,1,0.0
operations,1,2218,0.46
operation,1,1496,0.21
events,1,886,0.11
event,1,889,0.05
network,1,943,0.1
pipeline,1,889,0.18
composite,1,821,0.19
input,1,671,0.06
enumeration,1,660,0.26
sources,1,370,0.14
generated,1,605,0.17
sockets,1,287,0.11
http,1,365,0.03
ros,1,323,0.17
grip,1,323,0.17
file,1,317,0.01
templated,1,297,0.13
codegeneration,1,282,0.14
one,1,280,0.06
step,1,275,0.05
destination,1,245,0.08
converter,1,255,0.03
publish,1,220,0.06
serialization,1,220,0.04
factory,1,205,0.01
connection,1,201,0.02
cuda,1,198,0.09
value,1,188,0.01
project,1,187,0.03
threshold,1,183,0.06
types,1,165,0.02
changed,1,175,0.04
manager,1,158,0.01
module,1,150,0.01
publisher,1,140,0.04
lib,1,2,0.0
layer,1,4,0.0
durand,1,7,0.0
boost,1,8,0.0
bowk,1,4,0.0
term,1,19,0.0
numtrans,1,31,0.01
sgbm,1,8,0.0
imgcodecs,1,8,0.0
reinhard,1,8,0.0
svm,1,8,0.0
converters,1,8,0.0
mantiuk,1,8,0.0
criteria,1,19,0.01
segment,1,21,0.01
grpc,1,46,0.01
result,1,28,0.0
completion,1,16,0.01
categories,1,14,0.0
deep,1,9,0.0
net,1,12,0.0
size,1,87,0.02
category,1,18,0.0
coco,1,8,0.0
pascal,1,7,0.0
constants,1,10,0.0
info,1,77,0.0
simple,1,43,0.0
vision,1,7,0.0
problem,1,5,0.0
classification,1,5,0.0
gimp,1,4,0.0
vgg,1,2,0.0
company,1,6,0.0
listener,1,64,0.0
storage,1,26,0.0
models,1,5,0.0
adapters,1,4,0.0
adapter,1,5,0.0
home,1,3,0.0
interaction,1,3,0.0
instrumented,1,7,0.0
templates,1,115,0.04
divider,1,2,0.0
item,1,2,0.0
decorator,1,25,0.01
recycler,1,2,0.0
touch,1,2,0.0
preferences,1,2,0.0
welcome,1,1,0.0
