keyword,doc_freq,total_freq,tfidf
data,8,28508,0.01
filter,5,17929,0.01
util,5,15091,0.0
utils,5,7961,0.0
model,4,20854,0.01
factory,4,9395,0.0
utilities,3,32533,0.04
database,3,27197,0.02
function,3,17001,0.01
query,3,13733,0.01
row,3,9952,0.02
csv,3,2613,0.0
value,3,6284,0.0
column,3,10584,0.02
exception,3,7752,0.0
service,3,12258,0.0
impl,3,9125,0.0
file,3,9172,0.0
xml,3,4963,0.0
json,3,4491,0.0
index,2,36583,0.04
tree,2,36235,0.03
math,2,26745,0.04
clustering,2,21166,0.06
result,2,25147,0.01
datasource,2,9749,0.02
parser,2,7921,0.0
jdbc,2,2678,0.0
statement,2,2976,0.0
frame,2,1703,0.0
builder,2,9075,0.01
loader,2,1693,0.0
metadata,2,6397,0.01
map,2,3343,0.0
base,2,1456,0.0
array,2,6608,0.01
printer,2,598,0.0
table,2,5741,0.0
sql,2,2336,0.0
window,2,2010,0.0
resource,2,3582,0.0
connection,2,5841,0.01
component,2,6065,0.01
source,2,2827,0.0
dao,2,7231,0.01
cache,2,3494,0.0
chart,2,2506,0.0
manager,2,5223,0.0
operation,2,6145,0.01
report,2,1067,0.0
tools,2,9683,0.01
services,2,5247,0.01
action,2,6890,0.0
common,2,2705,0.0
config,2,2670,0.0
get,2,3881,0.0
stats,2,1227,0.0
functions,2,17474,0.02
task,2,2603,0.0
rows,2,2298,0.01
job,2,15617,0.02
server,2,9455,0.01
command,2,14656,0.01
configuration,2,5482,0.0
string,2,4855,0.0
dbs,1,209499,0.68
elki,1,197670,0.69
distance,1,38102,0.07
algorithm,1,30245,0.05
visualization,1,28779,0.06
outlier,1,19125,0.07
spatial,1,18845,0.04
distribution,1,14909,0.03
metrical,1,12720,0.04
estimator,1,12016,0.03
statistics,1,11593,0.02
distancefunction,1,11208,0.04
mtreevariants,1,11060,0.04
rstarvariants,1,10825,0.04
knn,1,9786,0.03
integer,1,9166,0.01
optionhandling,1,8831,0.03
visualizers,1,8187,0.03
evaluation,1,7557,0.02
linearalgebra,1,7497,0.03
datastructures,1,8129,0.03
parameter,1,6696,0.01
histogram,1,6709,0.02
pca,1,6663,0.02
vector,1,6672,0.01
ids,1,6154,0.02
scaling,1,6071,0.02
dbid,1,6066,0.02
mktrees,1,5966,0.02
gui,1,7076,0.01
heap,1,6037,0.01
parallel,1,5845,0.01
entry,1,7022,0.01
split,1,6971,0.01
similarity,1,5482,0.01
series,1,2173,0.0
connector,1,1677,0.0
exp,1,1419,0.01
accumulator,1,666,0.0
benchmark,1,1042,0.0
print,1,482,0.0
avro,1,396,0.0
aggregate,1,509,0.0
join,1,1541,0.0
aggregator,1,361,0.0
worker,1,477,0.0
mapper,1,1085,0.0
saver,1,267,0.0
speed,1,241,0.0
concat,1,321,0.0
num,1,207,0.0
sort,1,1574,0.0
types,1,498,0.0
memory,1,3084,0.0
agg,1,191,0.0
predicate,1,1625,0.0
converter,1,1656,0.0
conversion,1,738,0.0
save,1,1741,0.0
binder,1,297,0.0
update,1,1792,0.0
flavor,1,121,0.0
params,1,192,0.0
flavors,1,114,0.0
jupyter,1,131,0.0
managed,1,717,0.0
utility,1,899,0.0
exceptions,1,1757,0.0
framework,1,555,0.0
components,1,683,0.0
jaxb,1,2257,0.01
handler,1,3619,0.0
rule,1,758,0.0
rules,1,251,0.0
management,1,513,0.0
reader,1,2760,0.0
controller,1,2590,0.0
provider,1,2219,0.0
delete,1,975,0.0
efwd,1,266,0.0
resourceloader,1,262,0.0
efw,1,243,0.0
authentication,1,459,0.0
security,1,1822,0.0
global,1,1759,0.0
core,1,1303,0.0
cas,1,373,0.0
user,1,2572,0.0
rest,1,1086,0.0
role,1,390,0.0
hwf,1,135,0.0
application,1,3447,0.0
engines,1,9676,0.03
engine,1,4623,0.0
dataset,1,5443,0.01
commons,1,3865,0.01
serializer,1,4039,0.0
kpi,1,3259,0.01
sbi,1,3151,0.01
qbe,1,2998,0.01
sdk,1,2694,0.01
stub,1,3319,0.01
document,1,3169,0.0
analiticalmodel,1,2420,0.01
worksheet,1,1885,0.01
set,1,4454,0.0
list,1,8797,0.0
scheduler,1,2576,0.0
presentation,1,1366,0.0
behaviouralmodel,1,1297,0.01
template,1,1698,0.0
api,1,2204,0.0
meta,1,3625,0.0
soap,1,1058,0.0
binding,1,1045,0.0
execution,1,2238,0.0
module,1,1476,0.0
proxy,1,1370,0.0
spago,1,941,0.0
reference,1,3368,0.0
text,1,5622,0.0
dense,1,330,0.0
coding,1,171,0.0
range,1,5441,0.01
sparse,1,1923,0.0
mapped,1,824,0.0
http,1,2252,0.0
sink,1,303,0.0
date,1,2886,0.0
with,1,1678,0.0
jama,1,81,0.0
options,1,1035,0.0
algebra,1,63,0.0
times,1,54,0.0
regress,1,54,0.0
local,1,675,0.0
time,1,1598,0.0
stat,1,61,0.0
tasks,1,509,0.0
zoned,1,45,0.0
decomposition,1,965,0.0
axis,1,1474,0.0
zone,1,36,0.0
read,1,345,0.0
mean,1,1805,0.0
objects,1,1078,0.0
object,1,4805,0.0
constructor,1,29,0.0
grouping,1,18,0.0
beans,1,4569,0.01
bean,1,1850,0.0
hadoop,1,2146,0.01
adapter,1,6203,0.0
apache,1,1460,0.0
instrumentation,1,1409,0.0
rumen,1,1274,0.01
info,1,2170,0.0
log,1,5353,0.0
yarn,1,921,0.0
validation,1,2078,0.0
cluster,1,6323,0.01
processing,1,1596,0.0
node,1,5625,0.0
constants,1,1113,0.0
profiling,1,877,0.0
writable,1,1073,0.0
jmx,1,455,0.0
conf,1,477,0.0
