keyword,doc_freq,total_freq,tfidf
application,5,72,0.0
model,5,10671,0.02
user,4,1694,0.01
data,4,7606,0.02
utils,4,3181,0.0
activity,4,69,0.0
main,4,324,0.0
config,3,1349,0.0
service,3,2582,0.01
string,3,3844,0.02
test,3,7020,0.02
configuration,3,4292,0.02
util,3,6153,0.01
repository,2,1359,0.01
security,2,740,0.01
role,2,4,0.0
handler,2,2094,0.01
web,2,175,0.0
custom,2,419,0.0
details,2,381,0.0
text,2,2958,0.01
type,2,2500,0.01
processor,2,248,0.0
property,2,6506,0.06
tests,2,18727,0.25
profile,2,305,0.0
manager,2,3866,0.02
extension,2,5224,0.06
object,2,728,0.0
tree,2,3101,0.02
file,2,4680,0.01
expr,2,21470,0.51
impl,2,5357,0.02
factory,2,3006,0.01
context,2,2549,0.01
result,2,11483,0.06
server,2,8610,0.04
base,2,820,0.0
component,2,5677,0.05
presenter,2,4276,0.07
widgets,2,9533,0.17
provider,2,1644,0.01
column,2,10147,0.16
row,2,9291,0.14
database,2,7174,0.06
listener,2,6979,0.03
shared,2,3077,0.05
filter,2,5500,0.02
controller,1,2250,0.01
domain,1,2,0.0
login,1,227,0.0
springboot,1,1,0.0
mongodb,1,1,0.0
page,1,1503,0.01
customize,1,461,0.02
authentication,1,169,0.0
success,1,4,0.0
generator,1,560,0.0
generators,1,276,0.01
location,1,471,0.01
person,1,88,0.0
basics,1,68,0.0
money,1,63,0.0
mapper,1,73,0.0
annotation,1,1165,0.01
card,1,35,0.0
asset,1,29,0.0
processing,1,994,0.02
street,1,21,0.0
prefix,1,30,0.0
country,1,241,0.01
city,1,18,0.0
time,1,1250,0.01
facade,1,18,0.0
date,1,2736,0.03
gender,1,14,0.0
suffix,1,14,0.0
range,1,1102,0.01
rand,1,13,0.0
random,1,147,0.0
character,1,465,0.01
bool,1,15,0.0
constants,1,43,0.0
natural,1,8,0.0
birthday,1,8,0.0
paragraph,1,8,0.0
age,1,67,0.0
sentence,1,8,0.0
word,1,80,0.0
syllable,1,8,0.0
decimal,1,14,0.0
charset,1,8,0.0
loader,1,215,0.0
tuple,1,136,0.0
assets,1,6,0.0
firstname,1,7,0.0
issue,1,7,0.0
expiry,1,7,0.0
cvv,1,7,0.0
exampleapp,1,116,0.01
rating,1,18,0.0
feed,1,12,0.0
register,1,15,0.0
finish,1,6,0.0
contract,1,6,0.0
information,1,874,0.02
variables,1,6,0.0
stars,1,6,0.0
helper,1,878,0.0
help,1,116,0.0
send,1,5,0.0
gps,1,4,0.0
gson,1,6,0.0
