keyword,doc_freq,total_freq,tfidf
data,53,69397,0.04
util,51,40865,0.02
exception,48,32036,0.02
type,48,62982,0.04
factory,44,36611,0.02
utils,37,16779,0.01
model,37,63740,0.04
impl,34,72084,0.06
database,33,40902,0.08
table,32,28093,0.05
query,31,24722,0.05
sql,31,51328,0.13
connection,27,12693,0.03
config,27,19146,0.01
manager,27,23352,0.02
handler,27,25924,0.03
column,26,22710,0.09
service,25,51483,0.04
server,23,31917,0.04
main,23,1954,0.0
file,21,20170,0.01
result,21,20736,0.03
activity,20,1190,0.0
client,19,13041,0.02
list,19,15191,0.01
view,19,17647,0.02
provider,19,12667,0.02
request,18,8550,0.01
index,18,19006,0.04
api,18,9217,0.01
test,17,13979,0.01
entity,17,17969,0.04
metadata,16,22285,0.07
builder,16,18103,0.02
info,15,7742,0.01
configuration,15,12535,0.02
application,15,2544,0.0
filter,15,26156,0.03
node,15,22874,0.03
simple,15,9442,0.01
controller,15,29644,0.04
function,15,23253,0.04
base,15,10676,0.01
source,15,14494,0.02
common,14,95633,0.14
reader,14,16527,0.03
processor,14,6184,0.01
value,14,16598,0.02
object,14,19933,0.02
search,14,9440,0.02
statement,14,6813,0.02
message,13,7228,0.01
response,13,6184,0.01
transaction,13,8225,0.03
cache,13,19140,0.03
key,13,12131,0.02
dao,13,5346,0.01
string,13,13746,0.02
field,13,11045,0.02
set,13,12720,0.02
user,13,6375,0.01
parser,12,6481,0.01
example,12,11628,0.01
schema,12,20268,0.07
writer,12,18989,0.04
core,12,15949,0.02
time,12,6083,0.01
helper,11,6463,0.01
operation,11,11090,0.03
event,11,10955,0.01
jdbc,11,17477,0.07
date,11,7866,0.02
storage,10,7016,0.02
internal,10,38178,0.08
store,10,9416,0.02
session,10,4623,0.01
properties,10,15222,0.03
command,10,57416,0.08
auth,10,3735,0.01
listener,10,17839,0.02
row,10,10124,0.04
types,10,8523,0.02
adapter,10,6997,0.01
stream,10,11629,0.02
mapper,10,10276,0.02
repository,10,10199,0.02
map,10,15598,0.02
array,10,7152,0.01
update,10,12892,0.03
security,9,8985,0.02
collection,9,5940,0.02
memory,9,4994,0.01
bean,9,10192,0.03
converter,9,7228,0.01
meta,9,6265,0.02
oracle,9,10174,0.06
functions,9,20018,0.06
generator,9,15139,0.03
constants,9,7907,0.01
record,8,4405,0.01
logger,8,2628,0.01
context,8,11682,0.02
authentication,8,1909,0.01
property,8,16706,0.04
single,8,6164,0.02
app,8,1922,0.0
version,8,2765,0.01
module,8,5642,0.01
log,8,10325,0.02
not,8,6670,0.01
name,8,5461,0.01
tree,8,15863,0.03
web,8,10087,0.02
serializer,7,10908,0.03
mongo,7,2142,0.01
cursor,7,3667,0.02
state,7,7823,0.01
error,7,4238,0.01
task,7,10112,0.01
pool,7,2591,0.01
json,7,9444,0.01
output,7,9843,0.02
open,7,2951,0.01
resource,7,7328,0.01
rest,7,4371,0.01
editor,7,16487,0.05
expression,7,20507,0.06
dialect,7,19379,0.14
content,6,11731,0.03
delete,6,4305,0.01
create,6,4149,0.01
instrumented,6,212,0.0
cluster,6,5178,0.02
register,6,2793,0.01
strategy,6,7363,0.02
system,6,3811,0.01
plugin,6,6541,0.01
token,6,3835,0.01
action,6,8489,0.01
tables,6,2295,0.01
migration,6,3360,0.02
async,6,2792,0.01
thread,6,3357,0.01
proxy,6,2790,0.01
models,6,2431,0.01
range,6,2943,0.01
status,6,4042,0.01
holder,6,1376,0.0
prepared,6,1337,0.01
input,6,7171,0.01
binary,6,4191,0.01
tuple,6,3249,0.02
parameter,6,5708,0.02
batch,6,9408,0.04
mapping,6,6898,0.03
page,6,11389,0.03
java,6,3429,0.01
ext,6,15831,0.07
xml,6,10652,0.02
operations,6,2743,0.01
definition,6,11682,0.04
template,6,10365,0.03
extension,6,11148,0.03
demo,5,2067,0.0
network,5,2141,0.0
codec,5,2176,0.01
spring,5,2182,0.01
protocol,5,3489,0.01
buffer,5,1715,0.01
handlers,5,5463,0.02
document,5,10348,0.03
get,5,4575,0.01
graph,5,7510,0.02
job,5,23077,0.07
component,5,8300,0.02
dialog,5,8741,0.02
runner,5,5379,0.02
views,5,13426,0.04
with,5,6721,0.01
change,5,7770,0.02
integer,5,3416,0.01
validation,5,2745,0.01
domain,5,2663,0.01
order,5,2188,0.01
login,5,1627,0.0
out,5,2843,0.01
attribute,5,20143,0.07
expr,5,9110,0.05
fragment,5,794,0.0
utilities,5,689,0.0
image,5,1598,0.0
,5,4555,
plan,5,7295,0.04
results,5,3059,0.01
engine,5,3209,0.01
write,5,7052,0.03
http,5,5733,0.01
postgres,5,2848,0.02
postgre,5,2013,0.02
executor,5,5175,0.01
custom,5,2331,0.0
feature,5,5589,0.02
password,5,1908,0.01
runtime,5,2891,0.01
loader,5,6670,0.01
lite,5,1403,0.01
project,5,14083,0.04
persistence,5,1928,0.01
commands,5,1194,0.0
add,5,4566,0.01
tools,4,3708,0.01
metrics,4,2898,0.01
check,4,2534,0.01
auto,4,1526,0.0
entry,4,4033,0.01
net,4,1641,0.01
wizard,4,15289,0.08
analyzer,4,9422,0.04
analysis,4,8178,0.03
sequence,4,2929,0.01
primary,4,4343,0.03
pojo,4,2454,0.01
modules,4,10844,0.04
instance,4,10377,0.03
path,4,3939,0.01
exceptions,4,5071,0.01
messages,4,3516,0.01
preferences,4,9862,0.04
firebase,4,324,0.0
callback,4,1916,0.0
wrapper,4,5618,0.01
settings,4,5199,0.01
format,4,2691,0.01
connector,4,4543,0.02
block,4,4173,0.01
math,4,1639,0.01
than,4,2665,0.02
lock,4,1469,0.01
access,4,3323,0.01
hash,4,7040,0.02
operator,4,13353,0.05
logging,4,1329,0.0
details,4,1445,0.0
iterator,4,5467,0.02
annotation,4,3144,0.01
local,4,1859,0.0
execution,4,7531,0.02
mode,4,3294,0.01
permission,4,2424,0.01
relation,4,3839,0.02
mssql,4,4181,0.04
export,4,8038,0.03
point,4,4140,0.01
options,4,6809,0.02
validator,4,4285,0.01
events,4,3052,0.01
transformation,4,9531,0.05
generic,4,6258,0.02
rule,4,2831,0.01
process,4,5303,0.01
book,4,397,0.0
metric,4,3932,0.02
load,4,5540,0.01
creator,4,1522,0.01
orm,4,210,0.0
annotations,4,696,0.0
admin,3,3949,0.02
cli,3,2348,0.01
mock,3,1806,0.01
health,3,474,0.0
disk,3,684,0.0
last,3,751,0.0
post,3,2023,0.01
sample,3,2095,0.0
snapshot,3,1397,0.01
member,3,466,0.0
descriptor,3,6697,0.02
join,3,2689,0.01
plugins,3,2527,0.01
transformer,3,9134,0.03
aggregation,3,6034,0.03
checker,3,3462,0.02
services,3,2087,0.01
singleton,3,574,0.0
monitor,3,12570,0.05
panel,3,11420,0.03
non,3,2910,0.01
group,3,6459,0.01
extra,3,1446,0.01
tests,3,1023,0.0
android,3,5760,0.02
sync,3,3888,0.02
fields,3,500,0.0
importer,3,12371,0.06
doc,3,1069,0.01
operators,3,862,0.0
item,3,3091,0.0
code,3,5535,0.01
constraint,3,7934,0.03
layout,3,4880,0.01
btree,3,4218,0.03
random,3,2620,0.01
decorator,3,3004,0.02
components,3,4273,0.01
profile,3,767,0.0
sign,3,73,0.0
person,3,456,0.0
values,3,3770,0.02
nodes,3,1350,0.01
planner,3,4581,0.03
procedure,3,2040,0.02
blob,3,1306,0.01
aggregate,3,4585,0.03
lang,3,1389,0.01
symbol,3,1043,0.0
support,3,3419,0.01
foreign,3,2341,0.02
closeable,3,897,0.01
codecs,3,98,0.0
entities,3,2222,0.01
queries,3,250,0.0
execute,3,1566,0.01
supplier,3,3141,0.02
aggregator,3,4461,0.03
compiler,3,1924,0.01
method,3,1965,0.0
reflection,3,672,0.0
params,3,1309,0.0
edit,3,4620,0.02
copy,3,1001,0.01
processing,3,4286,0.02
lifecycle,3,526,0.0
retry,3,1404,0.01
external,3,797,0.0
init,3,533,0.0
denied,3,113,0.0
invalid,3,1191,0.0
cell,3,5872,0.02
hsqldb,3,2061,0.02
spi,3,4557,0.02
flow,3,1413,0.0
handle,3,13120,0.07
driver,3,4955,0.02
pack,3,748,0.0
tag,3,996,0.0
worker,3,2417,0.01
calculator,3,5680,0.03
read,3,6312,0.02
geometry,3,7082,0.04
report,3,6027,0.02
mysql,3,3825,0.02
pagination,3,932,0.01
stored,3,293,0.0
benchmark,3,5253,0.02
student,3,117,0.0
resolver,3,4670,0.01
url,3,2439,0.01
gml,3,7250,0.05
library,3,1079,0.0
dev,3,150,0.0
environment,3,2309,0.01
timeout,3,422,0.0
jmx,3,1876,0.01
transform,3,10699,0.03
email,3,3206,0.01
servlet,3,2920,0.01
resources,3,1550,0.0
average,3,429,0.0
step,3,631,0.0
hibernate,3,790,0.0
channel,3,1920,0.01
constant,3,1303,0.0
registration,3,2218,0.01
alter,3,3053,0.03
account,3,381,0.0
mail,3,801,0.0
migrator,3,605,0.0
ignore,3,496,0.0
partition,2,1947,0.01
rpc,2,436,0.0
callbacks,2,208,0.0
segment,2,780,0.0
boot,2,576,0.0
autoconfigure,2,417,0.0
insert,2,1523,0.01
compaction,2,604,0.01
unregister,2,630,0.01
connect,2,209,0.0
