keyword,doc_freq,total_freq,tfidf
item,7,5536,0.1
order,7,2317,0.11
service,7,11090,0.11
list,7,2316,0.03
cart,7,1293,0.13
product,7,2894,0.15
adapter,5,1619,0.03
activity,5,439,0.01
view,5,1458,0.02
category,5,2658,0.13
model,5,3117,0.02
profile,4,419,0.02
services,4,2125,0.07
test,4,490,0.0
main,4,68,0.0
splash,4,30,0.0
shopping,4,346,0.03
api,4,1284,0.02
response,4,2155,0.04
products,4,2103,0.19
fragment,4,1560,0.04
detail,3,603,0.03
image,3,739,0.01
example,3,27,0.0
instrumented,3,14,0.0
history,3,476,0.02
util,3,1754,0.01
exception,3,3612,0.02
helper,3,196,0.0
search,3,355,0.01
base,3,952,0.01
utils,3,6829,0.03
user,3,509,0.01
tax,3,636,0.09
categories,3,1798,0.15
details,3,225,0.01
type,3,5313,0.04
update,3,1933,0.06
fypproject,2,614,0.09
chat,2,36,0.0
post,2,91,0.0
address,2,469,0.02
refund,2,241,0.03
review,2,1001,0.09
notification,2,62,0.0
click,2,113,0.01
firebase,2,25,0.0
checkout,2,263,0.02
setting,2,18,0.0
contact,2,36,0.0
term,2,9,0.0
screen,2,237,0.01
recycler,2,10,0.0
shop,2,2812,0.27
home,2,283,0.01
config,2,411,0.0
event,2,577,0.01
handler,2,363,0.0
data,2,663,0.01
value,2,882,0.02
transform,2,431,0.02
transaction,2,410,0.02
app,2,83,0.0
pref,2,359,0.03
constants,2,320,0.01
request,2,2535,0.04
register,2,73,0.0
login,2,402,0.01
info,2,268,0.0
database,2,107,0.0
module,2,489,0.01
sign,2,416,0.03
variant,2,338,0.03
holder,2,458,0.02
web,2,1411,0.03
customer,2,1146,0.07
inventory,2,1483,0.09
orders,2,564,0.04
query,2,1724,0.04
discount,2,802,0.09
items,2,1481,0.07
customers,2,394,0.04
lists,2,260,0.02
impl,2,5344,0.05
types,2,668,0.02
resolver,2,1441,0.06
rest,2,671,0.02
edit,2,784,0.03
change,2,777,0.03
feedback,1,24,0.0
friend,1,12,0.0
comment,1,8,0.0
purchased,1,8,0.0
friends,1,4,0.0
add,1,68,0.0
privacy,1,9,0.0
policy,1,9,0.0
purchase,1,7,0.0
mcall,1,4,0.0
back,1,58,0.0
manage,1,4,0.0
method,1,520,0.01
entity,1,331,0.01
events,1,181,0.01
content,1,184,0.01
condition,1,273,0.01
generic,1,387,0.01
cache,1,319,0.01
worker,1,135,0.01
factory,1,393,0.0
tests,1,78,0.0
thirdparty,1,123,0.02
engine,1,129,0.0
container,1,133,0.0
entityops,1,99,0.02
map,1,159,0.0
field,1,226,0.01
eca,1,84,0.01
ftl,1,84,0.01
wrapper,1,78,0.0
envops,1,69,0.01
renderer,1,101,0.0
string,1,115,0.0
store,1,135,0.0
conversion,1,116,0.01
collections,1,100,0.01
menu,1,63,0.0
sql,1,63,0.0
taglib,1,63,0.01
operation,1,63,0.0
html,1,63,0.0
networking,1,22,0.0
transactions,1,135,0.01
prepare,1,73,0.01
manager,1,33,0.0
application,1,115,0.0
views,1,3,0.0
client,1,182,0.0
grid,1,2,0.0
spacing,1,2,0.0
glide,1,2,0.0
bar,1,6,0.0
decoration,1,44,0.0
listener,1,220,0.0
error,1,82,0.0
bottom,1,1,0.0
sheet,1,1,0.0
paytm,1,1,0.0
pay,1,61,0.01
checksum,1,1,0.0
pojo,1,7,0.0
fragments,1,6,0.0
ranking,1,1,0.0
customview,1,61,0.01
domain,1,112,0.0
touch,1,24,0.0
entities,1,49,0.0
pager,1,195,0.01
activities,1,17,0.0
loader,1,132,0.0
drag,1,12,0.0
task,1,24,0.0
text,1,168,0.0
generator,1,218,0.0
mining,1,10,0.0
frequent,1,10,0.0
itemset,1,10,0.0
mock,1,10,0.0
tiny,1,6,0.0
settings,1,26,0.0
preference,1,12,0.0
color,1,14,0.0
font,1,6,0.0
start,1,36,0.0
fake,1,9,0.0
math,1,9,0.0
label,1,21,0.0
connectivity,1,6,0.0
models,1,8008,0.25
catalog,1,1453,0.12
retrieve,1,635,0.07
create,1,770,0.03
modifier,1,585,0.05
delete,1,402,0.02
payment,1,390,0.03
batch,1,608,0.03
object,1,725,0.01
auth,1,281,0.01
objects,1,291,0.01
employee,1,235,0.02
card,1,251,0.01
line,1,365,0.01
shift,1,214,0.02
recipient,1,195,0.02
tender,1,192,0.03
location,1,379,0.02
additional,1,184,0.02
refunds,1,144,0.02
locations,1,138,0.01
variation,1,133,0.01
cash,1,137,0.02
timecard,1,128,0.02
entry,1,264,0.01
page,1,376,0.01
upsert,1,112,0.02
sync,1,3727,0.18
integration,1,3208,0.21
commons,1,2657,0.14
helpers,1,2008,0.09
action,1,2022,0.04
reference,1,1441,0.06
externalsource,1,1185,0.18
custom,1,948,0.02
builder,1,969,0.02
options,1,884,0.03
ctpprojectsource,1,747,0.12
producttypes,1,730,0.11
inventories,1,699,0.11
updateactionutils,1,581,0.09
benchmark,1,566,0.03
with,1,497,0.01
state,1,483,0.01
exceptions,1,387,0.01
statistics,1,419,0.02
cartdiscounts,1,414,0.06
asset,1,390,0.02
shoppinglists,1,353,0.05
set,1,396,0.01
attribute,1,347,0.01
states,1,249,0.02
resolution,1,312,0.03
infrastructure,1,5797,0.54
persistence,1,2319,0.1
support,1,1379,0.06
xml,1,1304,0.03
maven,1,1245,0.07
management,1,1156,0.08
velocity,1,1003,0.07
strategy,1,847,0.02
interceptor,1,804,0.03
annotation,1,771,0.02
java,1,749,0.02
http,1,766,0.02
endpoint,1,772,0.03
serialization,1,657,0.03
impex,1,653,0.08
hibernate,1,590,0.04
facade,1,569,0.04
transformer,1,477,0.02
aspect,1,478,0.03
session,1,509,0.02
init,1,453,0.02
property,1,437,0.01
security,1,431,0.01
controller,1,424,0.01
relation,1,404,0.03
authentication,1,442,0.02
validation,1,378,0.02
lambda,1,340,0.02
definition,1,481,0.02
cms,1,338,0.03
parts,1,313,0.03
provider,1,340,0.01
boost,1,25,0.0
serial,1,75,0.01
code,1,124,0.0
pack,1,15,0.0
cancel,1,72,0.01
status,1,487,0.01
sales,1,16,0.0
report,1,31,0.0
confirm,1,69,0.01
frag,1,10,0.0
decimal,1,5,0.0
digits,1,5,0.0
input,1,50,0.0
filter,1,719,0.01
confirmation,1,5,0.0
upload,1,18,0.0
process,1,12,0.0
password,1,342,0.02
available,1,67,0.01
retailer,1,5,0.0
soft,1,11,0.0
keyboard,1,20,0.0
shops,1,786,0.12
sort,1,903,0.05
end,1,736,0.04
notify,1,688,0.06
layer,1,511,0.02
sliding,1,511,0.04
carts,1,354,0.05
delivery,1,503,0.04
holders,1,339,0.04
point,1,339,0.01
utility,1,394,0.02
retrofit,1,373,0.03
points,1,287,0.02
contract,1,355,0.02
market,1,308,0.02
from,1,311,0.01
cat,1,292,0.03
markets,1,230,0.03
cancelled,1,251,0.03
stats,1,244,0.01
