keyword,doc_freq,total_freq,tfidf
message,3,1058,0.04
key,2,133,0.01
provider,2,95,0.0
generator,2,268,0.01
impl,2,481,0.01
repository,2,209,0.01
request,2,25,0.0
data,2,20,0.0
response,2,26,0.0
wolf,1,303,0.06
crypt,1,277,0.03
jce,1,196,0.03
digest,1,87,0.01
sha,1,40,0.01
cipher,1,31,0.0
struct,1,26,0.0
exception,1,26,0.0
object,1,26,0.0
aes,1,26,0.0
hmac,1,26,0.0
fips,1,26,0.01
asn,1,26,0.01
error,1,25,0.0
rsa,1,26,0.0
rng,1,26,0.01
ecc,1,25,0.0
logging,1,19,0.0
state,1,18,0.0
block,1,17,0.0
mac,1,14,0.0
pair,1,14,0.0
signature,1,14,0.0
random,1,25,0.0
debug,1,14,0.0
agreement,1,14,0.0
chacha,1,13,0.0
feature,1,11,0.0
detect,1,11,0.0
mvc,1,71,0.01
service,1,49,0.0
book,1,47,0.0
vertx,1,47,0.01
handler,1,168,0.0
dao,1,21,0.0
async,1,16,0.0
factory,1,72,0.0
config,1,28,0.0
dto,1,8,0.0
facade,1,8,0.0
spring,1,8,0.0
verticle,1,8,0.0
route,1,8,0.0
worker,1,22,0.0
application,1,22,0.0
source,1,11,0.0
plugins,1,2945,0.21
intellij,1,2385,0.61
ide,1,2385,0.42
com,1,2385,0.32
ant,1,2006,0.25
plugin,1,974,0.04
tasks,1,1653,0.12
teamcity,1,1453,0.33
lens,1,1329,0.22
messages,1,878,0.06
test,1,982,0.01
glyphs,1,673,0.17
action,1,616,0.02
manager,1,561,0.01
util,1,421,0.0
engine,1,434,0.02
task,1,182,0.01
sorters,1,400,0.1
sort,1,400,0.04
table,1,400,0.02
tests,1,205,0.01
dot,1,308,0.04
suite,1,303,0.03
logger,1,290,0.02
animation,1,293,0.02
panel,1,286,0.02
mbeddr,1,257,0.07
main,1,254,0.0
make,1,242,0.03
available,1,240,0.03
model,1,240,0.0
text,1,238,0.01
widgets,1,224,0.02
listener,1,196,0.0
started,1,194,0.03
finished,1,194,0.04
process,1,192,0.01
event,1,182,0.0
usages,1,160,0.04
installed,1,160,0.02
collector,1,160,0.01
column,1,160,0.01
info,1,171,0.0
configurable,1,160,0.02
locator,1,155,0.02
projection,1,141,0.02
embed,1,16,0.0
discord,1,3,0.0
temmie,1,2,0.0
webhook,1,2,0.0
footer,1,1,0.0
author,1,1,0.0
video,1,1,0.0
thumbnail,1,1,0.0
field,1,15,0.0
image,1,43,0.0
command,1,785,0.02
set,1,393,0.01
hash,1,192,0.01
string,1,157,0.0
list,1,167,0.0
sorted,1,84,0.01
server,1,79,0.0
zset,1,72,0.02
get,1,64,0.0
annotation,1,50,0.0
database,1,49,0.0
range,1,47,0.0
stream,1,44,0.0
type,1,42,0.0
length,1,41,0.0
pubsub,1,36,0.01
keys,1,24,0.0
pop,1,35,0.01
multi,1,30,0.0
redis,1,26,0.0
exists,1,25,0.0
member,1,23,0.0
add,1,24,0.0
cardinality,1,24,0.0
remove,1,24,0.0
increment,1,24,0.0
left,1,24,0.0
decrement,1,24,0.01
delete,1,24,0.0
right,1,24,0.0
push,1,24,0.0
tiny,1,24,0.0
output,1,118,0.0
buffer,1,22,0.0
input,1,22,0.0
slave,1,22,0.0
rdb,1,22,0.0
replication,1,22,0.0
transaction,1,18,0.0
param,1,31,0.0
time,1,14,0.0
value,1,13,0.0
members,1,12,0.0
values,1,12,0.0
difference,1,12,0.0
union,1,12,0.0
