keyword,doc_freq,total_freq,tfidf
factory,8,11096,0.03
util,7,9165,0.01
model,6,21009,0.05
data,6,11391,0.03
config,6,3756,0.01
filter,6,11255,0.04
writer,5,5637,0.04
type,5,16837,0.04
file,5,8452,0.02
utils,5,5093,0.01
impl,5,23809,0.07
reader,4,4579,0.03
row,4,4473,0.06
field,4,3617,0.03
map,4,3354,0.02
service,4,13971,0.04
listener,4,9855,0.04
entity,4,6872,0.06
job,4,14977,0.18
database,4,3639,0.03
json,3,1502,0.01
log,3,800,0.01
core,3,13396,0.07
component,3,13867,0.11
definition,3,7242,0.1
mapping,3,3942,0.06
event,3,1681,0.01
project,3,5824,0.07
operation,3,3666,0.04
handler,3,7745,0.03
context,3,5130,0.03
builder,3,8638,0.04
column,3,4701,0.07
types,3,1198,0.01
table,3,5546,0.04
connection,3,2811,0.02
property,3,11988,0.11
action,3,7248,0.04
jdbc,2,2900,0.04
csv,2,3114,0.03
transformer,2,7703,0.11
buffer,2,305,0.0
string,2,4390,0.02
views,2,13954,0.17
panel,2,7759,0.08
flow,2,2156,0.03
view,2,2312,0.01
common,2,21175,0.12
execution,2,2718,0.03
xml,2,4342,0.03
name,2,2460,0.02
deploy,2,1170,0.03
plugin,2,1519,0.01
manager,2,3539,0.01
http,2,2103,0.01
object,2,2394,0.01
step,2,522,0.01
text,2,3153,0.02
web,2,1570,0.01
exception,2,4266,0.01
controller,2,2453,0.01
auth,2,382,0.0
runner,2,4000,0.05
search,2,1189,0.01
info,2,1039,0.0
query,2,1314,0.01
user,2,3259,0.02
listeners,2,2167,0.03
server,2,11109,0.05
value,2,4527,0.03
array,2,398,0.0
internal,2,16398,0.13
connector,2,1544,0.02
base,2,3175,0.01
converter,2,7184,0.05
sql,2,832,0.01
window,2,2114,0.02
match,2,417,0.01
task,2,5562,0.03
schema,2,11380,0.15
wizard,2,14261,0.27
properties,2,8856,0.08
editor,2,4328,0.05
widgets,2,15235,0.26
widget,2,6591,0.07
components,2,2210,0.03
output,2,7895,0.05
dialog,2,8168,0.06
grid,2,1936,0.03
queue,1,146,0.0
ready,1,2,0.0
each,1,23,0.0
can,1,2,0.0
setter,1,40,0.0
sign,1,1,0.0
fat,1,1,0.0
option,1,472,0.01
format,1,871,0.01
blocking,1,1,0.0
read,1,287,0.0
strict,1,4,0.0
multiple,1,2077,0.04
write,1,922,0.02
runtime,1,4211,0.05
design,1,1122,0.03
resource,1,3840,0.03
edit,1,1535,0.02
agent,1,601,0.01
diagram,1,439,0.01
admin,1,408,0.01
setting,1,381,0.01
message,1,1492,0.01
persist,1,368,0.01
