keyword,doc_freq,total_freq,tfidf
utils,14,5631,0.01
exception,10,5800,0.01
handler,10,5157,0.02
file,10,5458,0.01
game,10,33441,0.45
factory,9,8537,0.02
object,9,7698,0.03
listener,9,7228,0.02
util,9,5603,0.01
engine,8,5457,0.04
type,8,5665,0.01
string,7,1713,0.01
base,7,2994,0.01
map,7,16774,0.07
item,7,2459,0.01
manager,7,7268,0.02
loader,7,3630,0.02
core,7,16090,0.07
model,6,6226,0.01
component,6,3426,0.02
field,6,1192,0.01
entity,6,8961,0.06
controller,6,4941,0.02
event,6,5190,0.02
system,6,3137,0.03
script,5,1100,0.01
impl,5,6262,0.02
dialog,5,2686,0.02
main,5,479,0.0
parser,5,2062,0.01
input,5,3262,0.02
key,5,2558,0.02
animation,5,3297,0.04
button,5,743,0.01
data,5,3697,0.01
text,5,2179,0.01
menu,5,1680,0.02
command,5,2184,0.01
context,5,6563,0.03
light,5,865,0.02
editor,5,16384,0.17
set,4,1641,0.01
result,4,1800,0.01
pool,4,1568,0.01
method,4,1853,0.01
reader,4,983,0.01
builder,4,4104,0.02
server,4,4579,0.02
sprite,4,2097,0.05
tool,4,549,0.01
texture,4,2130,0.03
sound,4,3779,0.07
player,4,3586,0.04
group,4,1753,0.01
xml,4,2652,0.02
gui,4,3567,0.03
panel,4,2284,0.02
image,4,3047,0.02
message,4,3312,0.02
list,4,3661,0.01
property,4,3178,0.02
client,4,5487,0.02
node,4,2226,0.01
view,4,1524,0.0
screen,4,2181,0.03
components,4,2189,0.02
json,3,422,0.0
point,3,523,0.0
resource,3,4621,0.03
project,3,3148,0.03
action,3,2920,0.01
provider,3,930,0.0
source,3,2329,0.01
render,3,1136,0.02
log,3,977,0.01
writer,3,1651,0.01
value,3,4359,0.02
condition,3,3391,0.05
service,3,5663,0.01
config,3,3651,0.01
raw,3,1026,0.01
web,3,3410,0.02
layer,3,1165,0.01
state,3,3548,0.02
android,3,3105,0.03
graphics,3,4089,0.08
effect,3,1779,0.03
particle,3,1070,0.02
tile,3,11815,0.19
collision,3,7023,0.16
run,3,672,0.01
annotation,3,3711,0.03
wrapper,3,1602,0.01
camera,3,1868,0.02
awt,3,3644,0.08
feature,2,14854,0.14
cluster,2,857,0.01
vector,2,1016,0.01
position,2,1019,0.01
triangle,2,573,0.01
array,2,747,0.0
handlers,2,318,0.0
methods,2,50,0.0
internal,2,5274,0.04
protocol,2,2593,0.03
resolver,2,660,0.01
registry,2,650,0.01
java,2,786,0.01
cache,2,2527,0.01
rule,2,552,0.0
output,2,766,0.0
constants,2,537,0.0
properties,2,3332,0.02
form,2,109,0.0
monitor,2,113,0.0
exceptions,2,480,0.0
logger,2,589,0.0
drawable,2,2013,0.03
tools,2,1041,0.01
music,2,288,0.01
move,2,343,0.01
frame,2,927,0.01
simple,2,312,0.0
configuration,2,2813,0.01
effects,2,828,0.02
physics,2,1680,0.04
messages,2,1888,0.02
renderer,2,2242,0.02
info,2,2057,0.01
bean,2,1328,0.01
mouse,2,1496,0.03
res,2,804,0.01
choice,2,56,0.0
serializer,2,1984,0.02
cvar,2,733,0.03
adapter,2,1113,0.0
items,2,199,0.0
path,2,1548,0.01
widget,2,518,0.0
memory,2,698,0.01
operator,2,314,0.0
local,2,787,0.01
query,2,1203,0.01
helper,2,942,0.0
common,2,6819,0.03
label,2,3662,0.04
execution,2,2066,0.02
error,2,1418,0.01
shader,2,2508,0.06
shaders,2,730,0.02
terrain,2,1543,0.04
buffer,2,1815,0.02
water,2,441,0.01
assets,2,423,0.01
parameter,2,915,0.01
descriptor,2,585,0.01
math,2,1364,0.01
commons,2,596,0.01
scene,2,3554,0.06
events,2,235,0.0
behavior,2,5558,0.09
template,2,1288,0.01
network,2,3914,0.03
reference,2,1457,0.02
generator,2,1608,0.01
with,2,768,0.01
stream,2,1200,0.01
control,2,928,0.01
death,2,764,0.02
start,2,227,0.0
world,2,3297,0.05
direction,2,686,0.01
collection,2,885,0.01
distance,1,531,0.01
centroid,1,193,0.0
spatial,1,147,0.0
nurbs,1,130,0.0
wave,1,120,0.0
track,1,286,0.0
geodesic,1,101,0.0
unsupervised,1,100,0.0
waves,1,77,0.0
temporal,1,80,0.0
range,1,668,0.01
kml,1,81,0.0
semantic,1,89,0.0
interpolation,1,76,0.0
websocket,1,154,0.0
tracks,1,40,0.0
gossip,1,62,0.0
numeric,1,71,0.0
bagofwords,1,52,0.0
curve,1,48,0.0
geo,1,44,0.0
external,1,562,0.01
intersector,1,42,0.0
sine,1,36,0.0
clusterer,1,40,0.0
integer,1,539,0.01
noise,1,70,0.0
delaunay,1,36,0.0
biased,1,36,0.0
index,1,723,0.01
matrix,1,222,0.0
spime,1,31,0.0
spline,1,30,0.0
tasks,1,996,0.01
artifacts,1,969,0.03
plugins,1,611,0.01
task,1,1656,0.01
artifact,1,280,0.01
test,1,1273,0.0
daemon,1,454,0.01
compile,1,438,0.01
plugin,1,790,0.0
ivyservice,1,425,0.01
build,1,743,0.01
spec,1,438,0.01
dependency,1,395,0.01
maven,1,396,0.01
module,1,379,0.0
gradle,1,288,0.01
toolchain,1,276,0.01
testing,1,264,0.0
ivy,1,252,0.01
resolve,1,242,0.01
remote,1,514,0.01
publish,1,228,0.0
compiler,1,449,0.01
consumer,1,289,0.0
binary,1,311,0.0
