keyword,doc_freq,total_freq,tfidf
feature,8,10934,0.06
map,8,16471,0.04
utils,8,4013,0.0
type,8,12423,0.01
filter,8,8751,0.02
util,7,10042,0.01
point,7,4938,0.02
geometry,7,15374,0.14
exception,6,5008,0.0
factory,6,7965,0.01
file,6,3422,0.0
geo,6,2721,0.02
json,6,5961,0.01
view,6,11964,0.02
spatial,5,1811,0.02
handler,5,21066,0.04
data,5,8869,0.01
object,4,6280,0.01
model,4,7627,0.01
gml,4,24266,0.3
xml,4,4796,0.02
service,4,21117,0.03
reader,4,4502,0.01
core,4,8584,0.02
layer,4,15260,0.1
impl,4,15119,0.02
coordinate,3,2707,0.03
crs,3,3728,0.07
parameter,3,688,0.0
parameters,3,1680,0.01
string,3,2454,0.01
index,3,1751,0.01
matrix,3,1296,0.01
wkt,3,2029,0.04
multi,3,3525,0.02
server,3,3612,0.01
builder,3,4498,0.01
visitor,3,2028,0.01
operation,3,2623,0.01
config,3,6829,0.01
api,3,3278,0.01
controller,3,2357,0.01
surface,3,10548,0.09
box,3,4203,0.03
user,3,7225,0.02
request,3,6560,0.02
store,3,3751,0.01
connection,3,3600,0.01
tree,3,2462,0.01
loader,3,1677,0.0
graph,3,3344,0.02
layers,3,2091,0.03
wfs,3,9346,0.14
list,3,3395,0.01
writer,3,3921,0.01
projection,2,3211,0.04
datum,2,520,0.01
equal,2,348,0.0
parser,2,6601,0.01
transform,2,1013,0.01
unit,2,948,0.01
grid,2,2468,0.02
simple,2,2108,0.0
cluster,2,492,0.0
kml,2,5631,0.08
set,2,2096,0.01
curve,2,1912,0.02
external,2,739,0.01
noise,2,283,0.0
delaunay,2,236,0.0
base,2,1976,0.0
position,2,1763,0.01
triangle,2,638,0.01
oracle,2,1977,0.02
encoder,2,1827,0.01
system,2,1691,0.01
sql,2,1570,0.01
line,2,2510,0.01
reference,2,1478,0.01
polygon,2,1560,0.02
generator,2,1355,0.0
jts,2,1038,0.02
collection,2,2190,0.01
measure,2,643,0.01
database,2,17916,0.06
citygml,2,38853,0.67
gui,2,10747,0.05
panel,2,4360,0.02
adapter,2,16766,0.04
city,2,8218,0.09
texture,2,3609,0.02
table,2,3796,0.01
plugins,2,4638,0.03
bounding,2,2264,0.02
channel,2,3756,0.02
main,2,520,0.0
points,2,247,0.0
item,2,1494,0.0
query,2,5486,0.02
client,2,6345,0.01
helper,2,6709,0.01
osm,2,2240,0.03
views,2,2597,0.01
test,2,1580,0.0
routing,2,2610,0.03
edge,2,777,0.01
example,2,2796,0.01
task,2,748,0.0
record,2,678,0.0
random,2,1191,0.01
with,2,777,0.0
space,2,3683,0.03
features,2,710,0.0
geojson,2,630,0.01
jaxb,2,10078,0.1
state,2,1504,0.0
app,2,854,0.0
iso,2,10069,0.17
property,2,14754,0.06
ogc,2,1429,0.02
capabilities,2,3757,0.04
primitive,2,874,0.01
jdbc,2,979,0.01
mirror,2,191,0.0
primitives,2,4910,0.06
edit,2,972,0.01
provider,2,2236,0.0
metadata,2,2748,0.01
output,2,3322,0.01
proj,1,2325,0.05
polar,1,226,0.0
azimuthal,1,170,0.0
units,1,350,0.0
cylindrical,1,171,0.0
conic,1,180,0.0
area,1,1527,0.01
flat,1,137,0.0
mercator,1,175,0.0
putnins,1,92,0.0
bryde,1,92,0.0
thomas,1,92,0.0
oblique,1,105,0.0
lambert,1,151,0.0
sinusoidal,1,69,0.0
transverse,1,72,0.0
equidistant,1,64,0.0
central,1,46,0.0
polyconic,1,55,0.0
nell,1,46,0.0
foucaut,1,46,0.0
perspective,1,388,0.01
stereographic,1,91,0.0
quartic,1,56,0.0
angle,1,106,0.0
keyword,1,790,0.01
plate,1,32,0.0
carree,1,32,0.0
