keyword,doc_freq,total_freq,tfidf
json,3,2320,0.06
generator,2,1008,0.03
request,2,343,0.01
play,2,341,0.03
cassandra,2,328,0.03
response,2,301,0.01
keyspaces,2,230,0.04
controllers,2,203,0.02
message,2,129,0.0
codec,1,5462,0.35
crs,1,3188,0.65
wkt,1,1594,0.33
geometry,1,1616,0.15
coordinate,1,1526,0.21
decoder,1,1429,0.09
oracle,1,1310,0.15
sqlserver,1,1266,0.22
encoder,1,1138,0.07
point,1,1158,0.06
position,1,1085,0.08
sequence,1,1007,0.06
system,1,948,0.04
wkb,1,913,0.19
sql,1,799,0.04
line,1,812,0.04
sdo,1,759,0.14
multi,1,703,0.04
server,1,679,0.02
reference,1,612,0.04
token,1,567,0.03
polygon,1,535,0.07
builder,1,496,0.01
equality,1,496,0.08
jts,1,501,0.1
string,1,475,0.01
collection,1,466,0.02
type,1,543,0.01
exception,1,490,0.0
postgis,1,408,0.08
axis,1,397,0.04
trans,1,331,0.04
visitor,1,319,0.02
operations,1,322,0.02
ellipsoidal,1,264,0.05
linear,1,265,0.02
factory,1,247,0.0
measure,1,224,0.02
cartesian,1,221,0.04
decoders,1,94,0.01
variant,1,205,0.02
operation,1,195,0.01
hana,1,196,0.04
positions,1,102,0.02
encoders,1,94,0.01
tokenizer,1,189,0.02
conversion,1,196,0.02
unit,1,178,0.01
apis,1,1124,0.15
facebook,1,1120,0.15
inl,1,634,0.1
geo,1,675,0.05
fields,1,583,0.05
edges,1,390,0.06
client,1,375,0.01
framework,1,316,0.02
and,1,253,0.01
email,1,243,0.02
java,1,237,0.01
networks,1,242,0.04
algorithms,1,199,0.02
api,1,61,0.0
hash,1,190,0.01
backend,1,193,0.02
third,1,186,0.02
party,1,186,0.03
properties,1,183,0.01
param,1,172,0.01
worker,1,165,0.01
rest,1,156,0.01
structures,1,144,0.02
edge,1,80,0.01
data,1,144,0.0
images,1,137,0.01
clients,1,77,0.01
security,1,122,0.01
vangav,1,121,0.02
dispatcher,1,121,0.01
content,1,117,0.01
dispatch,1,113,0.01
range,1,163,0.01
twilio,1,108,0.02
notifications,1,88,0.01
time,1,104,0.0
thread,1,99,0.0
body,1,97,0.01
friends,1,90,0.01
metrics,1,94,0.01
authentication,1,89,0.01
get,1,73,0.0
messages,1,44,0.0
user,1,27,0.0
info,1,102,0.0
signup,1,27,0.0
send,1,24,0.0
handler,1,59,0.0
users,1,9,0.0
auth,1,64,0.0
common,1,29,0.0
analysis,1,6,0.0
count,1,6,0.0
chat,1,3,0.0
chats,1,3,0.0
phone,1,3,0.0
numbers,1,14,0.0
authenticator,1,3,0.0
creds,1,3,0.0
blobs,1,3,0.0
