keyword,doc_freq,total_freq,tfidf
graph,16,44314,0.11
node,13,5445,0.01
base,7,2722,0.0
edge,7,3248,0.01
model,7,2676,0.0
utils,7,1406,0.0
impl,6,7591,0.0
util,6,6291,0.0
data,6,7227,0.0
factory,6,2986,0.0
listener,5,1967,0.0
object,5,3554,0.0
search,5,591,0.0
graphs,5,2529,0.01
state,5,6439,0.01
list,5,1999,0.0
type,5,3413,0.0
config,5,2664,0.0
table,5,1781,0.0
layout,4,491,0.0
panel,4,2714,0.01
simple,4,2204,0.0
tree,4,2881,0.0
parser,3,2265,0.0
exception,3,1415,0.0
app,3,63,0.0
connection,3,1566,0.0
action,3,8287,0.01
builder,3,3325,0.0
helper,3,1229,0.0
plugin,3,12804,0.02
core,3,1849,0.0
source,3,1261,0.0
file,3,3226,0.0
main,3,330,0.0
view,3,3322,0.0
bar,3,1823,0.0
map,3,1249,0.0
set,3,1978,0.0
control,3,857,0.0
value,3,6365,0.01
generator,3,664,0.0
storage,3,346,0.0
dot,2,2068,0.01
demo,2,464,0.0
adapter,2,139,0.0
highlight,2,425,0.0
version,2,229,0.0
multi,2,574,0.0
row,2,175,0.0
info,2,756,0.0
traversal,2,2443,0.01
iterator,2,2245,0.01
visualization,2,1303,0.01
modal,2,829,0.01
array,2,933,0.0
connector,2,496,0.0
task,2,290,0.0
repository,2,2999,0.01
controller,2,1560,0.0
entity,2,475,0.0
binary,2,255,0.0
application,2,409,0.0
engine,2,120,0.0
message,2,318,0.0
and,2,298,0.0
bit,2,158,0.0
arrays,2,37,0.0
linked,2,471,0.0
java,2,68,0.0
testing,2,2304,0.01
queue,2,425,0.0
stack,2,131,0.0
comparator,2,474,0.0
classes,2,112,0.0
example,2,164,0.0
test,2,9498,0.01
activity,2,1655,0.0
log,2,238,0.0
constants,2,262,0.0
response,2,169,0.0
custom,2,839,0.0
hash,2,327,0.0
bag,2,9,0.0
string,2,1151,0.0
entry,2,603,0.0
provider,2,6588,0.01
item,2,503,0.0
job,2,349,0.0
property,2,2416,0.0
annotation,2,443,0.0
range,2,1273,0.0
negative,2,265,0.0
values,2,821,0.0
statement,2,90,0.0
instance,2,198,0.0
client,2,393,0.0
request,2,298,0.0
directed,2,399,0.0
window,2,591,0.0
pane,2,2083,0.01
content,2,218,0.0
index,2,1332,0.0
transformer,2,480,0.0
plugins,2,22613,0.06
utilities,2,14252,0.04
