keyword,doc_freq,total_freq,tfidf
get,7,24426,0.0
string,6,25206,0.0
exception,6,10703,0.01
java,6,4294,0.0
set,6,10158,0.0
name,6,15571,0.02
com,5,5171,0.01
list,5,8028,0.01
util,5,2987,0.0
json,5,3745,0.04
http,5,5562,0.08
client,5,3992,0.05
response,5,4338,0.04
builder,4,4148,0.02
map,4,5158,0.01
request,4,4523,0.04
org,4,3075,0.01
value,4,5172,0.01
javax,4,1310,0.02
path,3,5486,0.03
entry,3,3882,0.05
message,3,2399,0.02
logger,3,2793,0.02
context,3,3352,0.02
error,3,4551,0.04
object,3,2443,0.01
core,3,824,0.01
tools,2,1995,0.08
file,2,5184,0.01
container,2,1501,0.04
build,2,1906,0.03
files,2,1190,0.02
template,2,2753,0.08
api,2,3079,0.03
stream,2,1526,0.01
config,2,2192,0.02
descriptor,2,1696,0.04
service,2,5143,0.06
override,2,3187,0.0
guestbook,2,63,0.01
springframework,2,60,0.0
status,2,2007,0.03
system,2,1781,0.02
next,2,660,0.01
application,2,1158,0.02
key,2,5973,0.03
array,2,2060,0.01
source,2,2530,0.03
all,2,783,0.02
redhat,2,21,0.0
entity,2,2582,0.04
repository,2,876,0.02
data,2,2590,0.01
vertx,2,42,0.0
persistence,2,456,0.01
router,2,25,0.0
code,2,4271,0.05
token,2,3850,0.06
description,2,2213,0.05
image,1,3243,0.04
jib,1,2418,0.23
google,1,2263,0.04
cloud,1,1793,0.08
layer,1,1300,0.04
registry,1,1763,0.05
event,1,1590,0.01
project,1,1091,0.03
configuration,1,1455,0.02
digest,1,1115,0.06
manifest,1,1022,0.05
property,1,2153,0.02
directory,1,902,0.02
common,1,2242,0.04
docker,1,1327,0.09
layers,1,440,0.02
nullable,1,1029,0.03
output,1,874,0.01
base,1,1145,0.02
blob,1,606,0.03
reference,1,876,0.02
credential,1,578,0.04
paths,1,427,0.01
test,1,946,0.01
grpc,1,337,0.02
example,1,190,0.0
server,1,1610,0.02
channel,1,188,0.0
observer,1,145,0.01
stub,1,134,0.01
hello,1,118,0.01
greeting,1,97,0.01
echo,1,74,0.01
chat,1,70,0.0
managed,1,65,0.0
call,1,206,0.01
netty,1,50,0.0
goodbye,1,50,0.0
jwt,1,574,0.03
metrics,1,287,0.01
impl,1,585,0.01
address,1,211,0.0
streaming,1,45,0.0
out,1,333,0.0
blocking,1,38,0.0
println,1,301,0.0
nonnull,1,2178,0.09
immutable,1,2196,0.07
node,1,1510,0.01
values,1,949,0.01
index,1,1513,0.01
collections,1,1135,0.06
javimmutable,1,798,0.08
iterator,1,859,0.02
size,1,1370,0.0
nodes,1,299,0.01
shift,1,502,0.03
count,1,1268,0.01
empty,1,2395,0.05
bitmask,1,363,0.03
hash,1,1352,0.01
tree,1,416,0.01
insert,1,733,0.03
bit,1,383,0.01
iterable,1,334,0.02
comparator,1,351,0.02
collision,1,284,0.02
root,1,946,0.02
delete,1,1178,0.04
left,1,309,0.01
multiset,1,234,0.02
trie,1,251,0.02
annotation,1,811,0.01
right,1,250,0.01
add,1,2258,0.0
offset,1,352,0.01
max,1,816,0.01
input,1,581,0.0
put,1,1257,0.01
developers,1,12,0.0
replace,1,170,0.01
words,1,14,0.0
username,1,644,0.02
word,1,19,0.0
ignore,1,808,0.03
length,1,518,0.0
filter,1,938,0.01
,1,623,
check,1,1477,0.03
objects,1,444,0.01
start,1,299,0.0
bad,1,626,0.04
getenv,1,60,0.0
props,1,25,0.0
reader,1,190,0.0
manager,1,837,0.01
inject,1,60,0.0
domain,1,13484,0.4
role,1,7110,0.23
resource,1,5910,0.1
member,1,3945,0.17
group,1,3831,0.06
principal,1,3621,0.19
cert,1,3177,0.17
uri,1,3384,0.06
athenz,1,3179,0.3
zms,1,2973,0.28
caller,1,2747,0.17
roles,1,1235,0.08
store,1,2621,0.07
members,1,1434,0.09
audit,1,2410,0.17
policy,1,2435,0.11
zts,1,2246,0.21
yahoo,1,2192,0.14
expiry,1,2207,0.18
domains,1,517,0.04
names,1,789,0.01
time,1,2725,0.02
log,1,3009,0.02
utils,1,1687,0.01
provider,1,2183,0.04
notification,1,1856,0.06
item,1,495,0.0
web,1,602,0.01
inventory,1,28,0.0
options,1,392,0.01
handler,1,367,0.0
ext,1,92,0.0
cloudnative,1,9,0.0
rxjava,1,9,0.0
catalog,1,12,0.0
product,1,100,0.0
integer,1,1061,0.01
create,1,951,0.01
single,1,184,0.01
quantity,1,9,0.0
discovery,1,20,0.0
reactivex,1,11,0.0
verticle,1,12,0.0
resp,1,36,0.0
retriever,1,111,0.01
price,1,8,0.0
circuit,1,8,0.0
body,1,358,0.01
unique,1,114,0.01
workflow,1,3195,0.17
version,1,4033,0.07
user,1,4852,0.06
tool,1,2441,0.09
type,1,4385,0.01
dockstore,1,2221,0.21
dao,1,1717,0.05
webservice,1,1427,0.12
organization,1,1127,0.08
url,1,2144,0.02
param,1,2286,0.04
tag,1,1572,0.02
security,1,1165,0.03
query,1,1388,0.02
versions,1,414,0.02
parameter,1,1606,0.03
language,1,807,0.03
operation,1,1212,0.04
factory,1,2507,0.02
git,1,686,0.03
