keyword,doc_freq,total_freq,tfidf
string,12,25201,0.0
get,11,35712,0.0
list,11,8534,0.01
name,10,12157,0.02
java,10,8095,0.0
exception,10,11533,0.01
set,9,9957,0.0
value,8,8858,0.02
com,8,4849,0.01
util,8,8678,0.01
type,8,9217,0.02
override,7,3779,0.01
map,6,6524,0.01
object,6,3642,0.02
result,6,3996,0.02
path,6,4493,0.02
add,6,4446,0.01
request,6,4439,0.04
org,5,8549,0.02
model,5,7351,0.05
logger,5,2710,0.02
array,5,2127,0.01
response,5,3204,0.04
key,5,3645,0.02
builder,4,3545,0.02
plugin,4,3228,0.08
job,4,3548,0.11
step,4,2293,0.07
log,4,3383,0.02
file,4,5168,0.01
node,4,8742,0.08
context,4,5342,0.03
javax,4,2603,0.04
info,4,1043,0.01
status,4,1667,0.03
event,4,3657,0.03
annotation,4,2628,0.04
config,3,1507,0.01
configuration,3,2606,0.04
build,3,4107,0.07
github,3,208,0.0
provider,3,912,0.02
parse,3,787,0.02
stream,3,3017,0.02
url,3,2634,0.03
action,3,2241,0.03
error,3,3252,0.03
json,3,2523,0.03
service,3,5250,0.06
host,3,884,0.03
docker,2,454,0.03
property,2,5516,0.06
option,2,610,0.01
task,2,1943,0.04
api,2,1498,0.02
options,2,135,0.0
port,2,490,0.01
item,2,2523,0.03
servlet,2,1381,0.04
output,2,1372,0.01
instance,2,2127,0.02
data,2,2701,0.01
http,2,1714,0.03
system,2,812,0.01
check,2,1169,0.02
core,2,2178,0.02
manager,2,2226,0.02
secret,2,1210,0.05
user,2,3039,0.04
helper,2,1168,0.03
lombok,2,2226,0.06
optional,2,585,0.02
getter,2,1501,0.06
bucket,2,230,0.01
query,2,1902,0.03
parameters,2,509,0.01
max,2,687,0.01
parameter,2,850,0.02
access,2,793,0.03
objects,2,331,0.01
target,2,2074,0.03
root,2,1515,0.04
remote,2,745,0.03
client,2,802,0.01
entry,2,2756,0.04
utils,2,2808,0.02
nomad,1,173,0.02
rendering,1,121,0.01
rundeck,1,77,0.01
description,1,720,0.02
required,1,545,0.03
title,1,195,0.01
valfadeev,1,43,0.0
put,1,1588,0.01
mode,1,571,0.01
network,1,214,0.01
driver,1,37,0.0
empty,1,1843,0.05
plugins,1,279,0.01
allocation,1,35,0.0
hashicorp,1,22,0.0
dtolabs,1,21,0.0
address,1,490,0.01
composer,1,28,0.0
resources,1,339,0.01
hudson,1,5102,0.35
listener,1,2297,0.02
descriptor,1,1808,0.05
stapler,1,1476,0.12
maven,1,1427,0.09
