keyword,doc_freq,total_freq,tfidf
string,13,6959,0.0
get,13,5810,0.0
java,13,2262,0.0
exception,12,3370,0.01
response,12,3107,0.14
http,11,4341,0.27
request,11,3710,0.14
list,10,1541,0.01
set,10,2070,0.0
type,9,1724,0.02
map,9,2146,0.02
com,9,2445,0.03
override,9,1707,0.01
util,9,1161,0.01
name,9,1482,0.01
value,8,2668,0.02
client,8,1757,0.1
stream,8,1318,0.03
headers,8,798,0.11
method,7,1084,0.06
url,7,1010,0.04
object,6,1193,0.02
array,6,940,0.01
input,6,743,0.02
builder,6,1284,0.03
header,6,928,0.09
key,6,1138,0.03
json,5,1060,0.05
query,5,639,0.05
add,5,740,0.01
context,5,1110,0.03
content,5,913,0.04
logger,5,818,0.03
file,5,1246,0.01
path,4,660,0.01
error,4,816,0.03
entity,4,1078,0.09
uri,4,1152,0.09
output,4,640,0.03
factory,4,620,0.03
params,4,440,0.03
length,4,1111,0.03
param,4,378,0.03
entry,4,597,0.03
config,4,966,0.04
org,4,765,0.01
data,4,581,0.01
utils,4,1042,0.03
log,4,873,0.03
str,3,583,0.07
field,3,452,0.02
start,3,506,0.02
result,3,462,0.01
put,3,1910,0.07
status,3,850,0.05
timeout,3,825,0.14
parameters,3,163,0.02
read,3,513,0.03
connection,3,746,0.06
buffer,3,913,0.06
size,3,673,0.01
append,3,703,0.03
proxy,3,552,0.08
write,3,740,0.05
target,3,597,0.04
annotation,3,357,0.02
post,3,150,0.02
body,3,974,0.11
listener,3,573,0.02
task,3,1028,0.09
message,3,540,0.02
hash,3,697,0.03
values,2,387,0.02
time,2,733,0.03
collection,2,349,0.03
obj,2,393,0.04
filter,2,583,0.04
manager,2,568,0.03
writer,2,353,0.03
charset,2,499,0.09
part,2,406,0.07
base,2,334,0.03
total,2,150,0.02
retention,2,100,0.02
lang,2,209,0.02
element,2,326,0.02
web,2,411,0.04
jersey,2,99,0.04
jackson,2,157,0.03
parameter,2,182,0.02
core,2,495,0.02
handler,2,807,0.04
host,2,584,0.08
jcabi,2,280,0.08
