keyword,doc_freq,total_freq,tfidf
string,12,15723,0.0
get,12,14566,0.0
java,12,4578,0.0
exception,12,6591,0.01
request,11,6510,0.12
name,10,7389,0.02
path,9,3456,0.03
map,9,2714,0.01
util,9,2616,0.01
http,9,3868,0.11
response,9,4357,0.09
file,8,3365,0.02
server,8,3359,0.11
stream,8,2688,0.03
value,8,2953,0.01
list,8,2241,0.0
type,7,3190,0.02
length,7,2561,0.03
set,7,4589,0.0
override,7,2341,0.01
key,7,1841,0.02
headers,7,835,0.05
header,6,1959,0.09
url,6,1334,0.03
handler,6,2061,0.05
session,6,2729,0.09
method,6,1763,0.05
add,6,2449,0.01
org,6,4101,0.02
content,5,1662,0.04
output,5,1271,0.02
append,5,1549,0.03
index,5,1125,0.01
context,5,4863,0.05
buffer,5,2191,0.06
event,5,2796,0.05
channel,5,1351,0.06
object,5,2951,0.03
socket,4,1416,0.08
writer,4,1826,0.07
input,4,1285,0.02
servlet,4,3647,0.18
core,4,1008,0.02
utils,4,1207,0.01
parameters,4,641,0.03
logger,4,1351,0.02
body,4,989,0.05
size,4,1405,0.01
data,3,924,0.01
equals,3,1550,0.04
put,3,2374,0.04
hash,3,1393,0.03
port,3,589,0.03
info,3,1280,0.02
builder,3,879,0.01
config,3,1621,0.03
error,3,1381,0.02
log,3,2243,0.03
uri,3,1061,0.04
array,3,1530,0.01
parameter,3,827,0.03
write,3,1251,0.04
pattern,2,639,0.03
web,2,470,0.02
date,2,753,0.02
start,2,953,0.02
files,2,445,0.01
read,2,1339,0.04
loader,2,1417,0.08
wrapper,2,874,0.06
parse,2,653,0.03
mapper,2,703,0.04
manager,2,1351,0.03
factory,2,1118,0.02
lombok,2,482,0.02
status,2,1020,0.03
handle,2,311,0.02
req,2,893,0.06
with,2,807,0.03
charset,2,667,0.06
connection,2,719,0.02
parser,2,814,0.03
container,2,1745,0.09
entry,2,1200,0.03
resource,2,2349,0.09
resources,2,976,0.07
client,2,507,0.01
bean,2,1205,0.07
com,2,1649,0.01
json,2,948,0.02
print,1,821,0.03
regex,1,131,0.01
types,1,179,0.01
dir,1,664,0.03
not,1,572,0.02
out,1,961,0.02
split,1,188,0.01
qparms,1,13,0.0
found,1,292,0.02
compile,1,98,0.01
insensitive,1,15,0.0
location,1,136,0.01
post,1,157,0.01
encoding,1,509,0.05
trim,1,156,0.02
xiantang,1,192,0.04
jerrymouse,1,190,0.04
reactor,1,120,0.02
pipeline,1,369,0.04
jar,1,341,0.04
bound,1,100,0.01
cookies,1,300,0.04
sub,1,249,0.02
raw,1,257,0.02
kvantum,1,1874,0.34
xyz,1,1372,0.16
api,1,1304,0.03
account,1,780,0.06
implementation,1,770,0.13
view,1,487,0.01
optional,1,335,0.02
ascii,1,334,0.05
collection,1,630,0.03
digest,1,388,0.04
provider,1,308,0.01
instance,1,991,0.02
views,1,182,0.01
cache,1,409,0.02
getter,1,274,0.02
function,1,215,0.01
matcher,1,467,0.03
future,1,112,0.01
completable,1,35,0.0
handlers,1,99,0.01
build,1,110,0.0
produces,1,25,0.0
loop,1,83,0.01
geryon,1,19,0.0
thread,1,909,0.03
number,1,173,0.01
execution,1,21,0.0
group,1,403,0.01
candidate,1,21,0.0
query,1,555,0.02
func,1,26,0.0
resp,1,197,0.02
full,1,178,0.02
self,1,29,0.0
takes,1,836,0.15
take,1,295,0.04
code,1,898,0.02
text,1,819,0.01
and,1,643,0.04
cactoos,1,250,0.05
opt,1,231,0.02
origin,1,278,0.03
identity,1,249,0.03
head,1,356,0.04
facets,1,171,0.03
res,1,232,0.01
sequence,1,226,0.01
href,1,176,0.04
wrap,1,226,0.03
format,1,673,0.02
call,1,283,0.01
iterable,1,155,0.02
iterator,1,620,0.03
stevenkin,1,100,0.02
mineserver,1,90,0.02
init,1,310,0.02
cookie,1,567,0.05
accept,1,212,0.02
annotation,1,245,0.01
pair,1,118,0.01
ioc,1,28,0.01
selector,1,159,0.01
vlingo,1,607,0.12
xoom,1,607,0.12
resolver,1,581,0.05
actor,1,387,0.04
media,1,445,0.03
consumer,1,429,0.03
feed,1,307,0.03
pool,1,514,0.03
configuration,1,375,0.01
completes,1,231,0.05
actors,1,122,0.02
mapped,1,208,0.03
action,1,300,0.01
sse,1,171,0.03
dispatcher,1,384,0.06
fiber,1,549,0.1
jetlang,1,512,0.1
nio,1,757,0.07
topic,1,414,0.03
send,1,835,0.05
remote,1,442,0.03
state,1,683,0.01
msg,1,462,0.03
channels,1,191,0.02
reader,1,688,0.02
close,1,710,0.04
timeout,1,466,0.04
result,1,841,0.01
fibers,1,65,0.01
connect,1,165,0.01
subscription,1,115,0.01
message,1,1085,0.02
apache,1,2057,0.08
catalina,1,1918,0.44
lifecycle,1,1790,0.23
listener,1,1714,0.03
naming,1,1320,0.19
find,1,1134,0.04
names,1,416,0.01
host,1,1074,0.07
debug,1,1293,0.07
property,1,986,0.02
valve,1,713,0.14
remove,1,1051,0.07
javax,1,982,0.03
listeners,1,515,0.04
system,1,1059,0.02
mime,1,1444,0.15
firefly,1,917,0.15
ret,1,517,0.03
len,1,505,0.04
buf,1,676,0.04
obj,1,492,0.02
element,1,691,0.02
str,1,458,0.03
field,1,579,0.01
item,1,2246,0.05
legacy,1,1169,0.17
custom,1,1019,0.08
player,1,689,0.05
