keyword,doc_freq,total_freq,tfidf
string,2,431,0.0
event,2,52,0.01
message,2,298,0.04
override,2,129,0.0
types,2,199,0.05
java,2,68,0.0
get,2,320,0.0
name,2,115,0.0
command,2,56,0.02
,1,6,
random,1,8,0.0
not,1,6,0.0
next,1,11,0.0
result,1,5,0.0
bold,1,5,0.01
deck,1,5,0.01
war,1,5,0.01
cmd,1,4,0.0
thauvin,1,3,0.01
erik,1,3,0.01
hearts,1,4,0.01
length,1,24,0.0
mobibot,1,3,0.01
net,1,9,0.0
secure,1,3,0.0
utils,1,3,0.0
add,1,30,0.0
help,1,3,0.0
generic,1,2,0.0
org,1,2,0.0
spades,1,2,0.0
diamonds,1,2,0.0
clubs,1,2,0.0
jetbrains,1,1,0.0
annotations,1,1,0.0
pircbotx,1,1,0.0
hooks,1,1,0.0
security,1,1,0.0
format,1,4,0.0
response,1,1,0.0
channel,1,27,0.01
args,1,2,0.0
respond,1,1,0.0
modules,1,1,0.0
module,1,1,0.0
commands,1,6,0.0
twirk,1,358,0.7
builder,1,357,0.03
gikk,1,248,0.48
com,1,248,0.01
twitch,1,223,0.35
user,1,182,0.04
type,1,98,0.0
emote,1,141,0.22
mode,1,145,0.05
map,1,103,0.0
tag,1,83,0.02
line,1,98,0.02
usernotice,1,80,0.16
target,1,74,0.02
tags,1,55,0.03
raw,1,67,0.04
notice,1,67,0.11
set,1,69,0.0
emotes,1,41,0.07
subscription,1,63,0.05
chat,1,55,0.04
impl,1,60,0.03
cheer,1,54,0.11
host,1,55,0.03
list,1,55,0.0
clear,1,53,0.05
listener,1,48,0.01
sub,1,53,0.03
util,1,51,0.0
users,1,28,0.02
roomstate,1,49,0.1
userstate,1,49,0.1
logger,1,50,0.01
display,1,47,0.03
pattern,1,45,0.02
build,1,45,0.01
consumer,1,42,0.02
socket,1,42,0.02
plan,1,39,0.04
ritual,1,40,0.08
content,1,41,0.01
