keyword,doc_freq,total_freq,tfidf
get,2,6402,0.0
label,2,3539,0.17
size,2,3876,0.04
add,2,2065,0.01
set,2,1611,0.0
table,2,1413,0.06
width,2,1245,0.07
string,2,1550,0.0
show,2,1027,0.08
list,2,888,0.0
image,1,8849,0.34
value,1,3563,0.02
labels,1,1916,0.2
result,1,2464,0.03
stack,1,2342,0.14
max,1,2324,0.07
plus,1,1848,0.33
processor,1,1832,0.16
mask,1,1653,0.22
offset,1,1191,0.07
images,1,332,0.05
min,1,1416,0.08
values,1,529,0.02
map,1,1162,0.01
ijpb,1,1124,0.34
offsets,1,762,0.15
inra,1,1124,0.31
height,1,1132,0.07
weights,1,1020,0.18
results,1,580,0.05
slice,1,856,0.15
index,1,982,0.01
algo,1,921,0.17
marker,1,865,0.12
dist,1,862,0.12
current,1,853,0.04
voxel,1,727,0.2
math,1,770,0.05
progress,1,729,0.06
strel,1,682,0.2
connectivity,1,657,0.14
pixel,1,614,0.08
changed,1,608,0.08
color,1,624,0.03
array,1,600,0.01
input,1,594,0.01
fire,1,568,0.11
geodesic,1,563,0.17
getf,1,553,0.17
slices,1,349,0.1
java,1,720,0.0
file,1,270,0.0
append,1,193,0.01
awt,1,338,0.03
event,1,375,0.01
menu,1,185,0.01
listener,1,525,0.01
path,1,233,0.0
button,1,411,0.02
action,1,225,0.01
item,1,192,0.01
window,1,435,0.04
key,1,249,0.0
dialog,1,540,0.03
plot,1,123,0.02
text,1,369,0.01
service,1,118,0.0
prompt,1,117,0.02
status,1,586,0.03
override,1,523,0.0
url,1,100,0.0
exception,1,443,0.0
panel,1,317,0.02
swing,1,116,0.01
files,1,51,0.0
dir,1,113,0.01
utils,1,214,0.0
frame,1,131,0.01
choice,1,359,0.08
bar,1,83,0.01
org,1,75,0.0
javax,1,98,0.0
command,1,129,0.01
data,1,222,0.0
scijava,1,70,0.02
border,1,273,0.03
font,1,83,0.01
pos,1,328,0.02
choices,1,76,0.02
next,1,349,0.02
