keyword,doc_freq,total_freq,tfidf
get,5,1703,0.0
string,5,1631,0.0
java,5,427,0.0
map,5,454,0.01
data,4,866,0.03
value,4,361,0.01
context,3,369,0.02
list,3,613,0.01
org,3,357,0.01
time,3,306,0.03
matrix,3,516,0.14
util,3,281,0.0
override,3,224,0.0
date,3,156,0.03
type,3,323,0.01
size,3,742,0.03
set,3,531,0.0
filter,3,360,0.07
name,3,589,0.01
model,3,253,0.02
order,2,482,0.17
trading,2,419,0.31
series,2,496,0.22
price,2,279,0.13
strategy,2,243,0.09
orders,2,115,0.08
exception,2,457,0.0
instant,2,269,0.17
entry,2,210,0.03
history,2,150,0.07
lst,2,170,0.13
column,2,233,0.05
lib,2,151,0.07
error,2,713,0.07
add,2,260,0.01
open,2,124,0.04
last,2,158,0.04
parse,2,244,0.05
stream,2,250,0.02
close,2,236,0.08
function,2,152,0.03
array,2,469,0.02
names,2,327,0.07
index,2,367,0.02
values,2,320,0.05
symbol,1,320,0.13
criterion,1,211,0.17
codera,1,150,0.15
contract,1,158,0.09
quant,1,152,0.13
symbols,1,62,0.04
logger,1,119,0.01
available,1,91,0.05
score,1,110,0.05
observer,1,79,0.04
prices,1,55,0.05
controller,1,72,0.02
first,1,100,0.03
second,1,64,0.03
location,1,120,0.03
provider,1,82,0.02
react,1,42,0.02
listener,1,38,0.0
min,1,96,0.02
manager,1,92,0.01
tracker,1,25,0.02
use,1,32,0.02
android,1,24,0.0
looper,1,24,0.02
noise,1,24,0.02
handler,1,66,0.01
com,1,104,0.0
kalman,1,53,0.06
gps,1,19,0.02
thread,1,24,0.01
position,1,45,0.01
net,1,52,0.01
latitude,1,16,0.01
client,1,75,0.01
updates,1,14,0.01
altitude,1,14,0.02
facebook,1,12,0.01
longitude,1,14,0.01
own,1,12,0.01
accuracy,1,12,0.01
seunlanlege,1,10,0.01
kalmanlocation,1,10,0.01
module,1,29,0.01
bridge,1,9,0.0
tag,1,13,0.0
log,1,85,0.01
application,1,23,0.0
run,1,25,0.01
params,1,10,0.0
forward,1,7,0.0
changed,1,7,0.0
predict,1,7,0.01
event,1,7,0.0
remove,1,46,0.02
covariance,1,78,0.08
state,1,101,0.01
columns,1,50,0.02
closed,1,75,0.06
csv,1,68,0.04
http,1,73,0.01
instrument,1,68,0.06
multiple,1,64,0.06
result,1,118,0.01
consumer,1,50,0.02
amount,1,87,0.05
update,1,65,0.02
json,1,1107,0.14
file,1,883,0.02
loom,1,558,0.47
length,1,574,0.04
gene,1,434,0.3
out,1,475,0.05
append,1,474,0.06
args,1,405,0.06
genes,1,312,0.26
system,1,448,0.05
parameters,1,409,0.11
println,1,384,0.07
path,1,376,0.02
block,1,256,0.07
meta,1,271,0.1
cell,1,208,0.08
reader,1,277,0.05
cells,1,190,0.12
read,1,232,0.04
hash,1,247,0.03
chunk,1,202,0.09
blocks,1,150,0.07
res,1,255,0.07
output,1,220,0.02
arg,1,124,0.05
handle,1,193,0.06
write,1,218,0.04
dim,1,167,0.11
metadata,1,156,0.05
indexes,1,154,0.11
criteria,1,111,0.06
springframework,1,63,0.02
employee,1,57,0.05
employees,1,48,0.05
specification,1,45,0.03
operation,1,59,0.02
page,1,48,0.01
boot,1,35,0.02
jpa,1,38,0.03
vijjayy,1,27,0.03
demo,1,27,0.01
request,1,44,0.0
field,1,36,0.0
api,1,63,0.01
builder,1,163,0.01
root,1,24,0.01
param,1,36,0.01
converted,1,18,0.01
properties,1,20,0.0
utils,1,150,0.01
pool,1,19,0.01
repository,1,16,0.0
response,1,31,0.0
put,1,107,0.01
local,1,64,0.02
single,1,12,0.01
integer,1,159,0.02
query,1,40,0.01
domain,1,12,0.0
dao,1,12,0.0
converter,1,29,0.01
equal,1,12,0.01
not,1,82,0.02
sort,1,45,0.03
