keyword,doc_freq,total_freq,tfidf
get,4,19764,0.0
list,4,5332,0.0
file,4,12448,0.03
string,4,12353,0.0
java,4,4632,0.0
set,4,4821,0.0
map,4,2848,0.01
value,4,3757,0.01
exception,4,7588,0.0
array,3,2570,0.01
reader,3,2567,0.03
length,3,3191,0.02
size,3,2754,0.01
data,3,7283,0.02
util,3,4007,0.0
index,3,5270,0.02
read,3,3966,0.05
name,3,6361,0.01
path,3,3850,0.02
output,3,4151,0.04
tag,2,2044,0.03
start,2,2708,0.02
out,2,1831,0.02
system,2,1221,0.01
println,2,714,0.01
add,2,2455,0.0
args,2,835,0.01
line,2,2668,0.03
sam,2,5750,0.4
stream,2,5010,0.02
override,2,3956,0.01
input,2,4081,0.02
type,2,2799,0.01
block,2,1987,0.04
utils,2,1514,0.01
write,2,1644,0.02
format,2,3159,0.04
append,2,1627,0.02
metadata,2,985,0.02
node,1,1270,0.01
hmm,1,573,0.05
temp,1,803,0.02
observation,1,334,0.02
stop,1,608,0.02
vector,1,243,0.01
mean,1,234,0.01
states,1,186,0.01
opdf,1,181,0.01
bed,1,251,0.02
obs,1,187,0.01
chr,1,450,0.04
means,1,129,0.01
chrom,1,172,0.01
train,1,143,0.01
integer,1,1214,0.01
run,1,285,0.01
cluster,1,199,0.01
print,1,385,0.01
real,1,155,0.01
wig,1,140,0.01
next,1,1380,0.02
jahmm,1,110,0.01
score,1,345,0.01
num,1,502,0.01
record,1,4226,0.08
header,1,3754,0.08
htsjdk,1,3267,0.24
sequence,1,2748,0.07
reference,1,2665,0.07
samtools,1,1919,0.14
iterator,1,2068,0.04
cram,1,1713,0.14
vcf,1,1531,0.11
codec,1,1513,0.06
buffer,1,1528,0.02
reads,1,995,0.07
alignment,1,1444,0.07
end,1,1664,0.03
interval,1,1159,0.04
records,1,555,0.02
bases,1,983,0.08
bin,1,1045,0.05
feature,1,1094,0.03
json,1,1293,0.01
error,1,1366,0.01
loom,1,558,0.04
gene,1,440,0.02
genes,1,312,0.02
names,1,760,0.01
parameters,1,797,0.02
matrix,1,543,0.01
values,1,788,0.01
meta,1,559,0.02
cell,1,253,0.01
cells,1,203,0.01
hash,1,1556,0.02
chunk,1,871,0.03
blocks,1,592,0.02
res,1,254,0.01
arg,1,302,0.01
filter,1,1046,0.02
handle,1,194,0.0
dim,1,181,0.01
model,1,291,0.0
indexes,1,254,0.01
eoulsan,1,4509,0.46
ens,1,3602,0.37
biologie,1,3552,0.37
genomique,1,3552,0.37
step,1,2899,0.08
context,1,3025,0.01
files,1,962,0.01
task,1,1607,0.03
key,1,2540,0.01
result,1,2188,0.01
port,1,1053,0.02
sample,1,1560,0.04
design,1,1217,0.08
ports,1,786,0.05
job,1,982,0.03
core,1,1137,0.01
module,1,825,0.02
hadoop,1,945,0.05
parameter,1,812,0.01
logger,1,945,0.01
,1,1258,
conf,1,814,0.03
directory,1,921,0.02
counter,1,894,0.03
workflow,1,765,0.04
status,1,775,0.01
mapper,1,734,0.02
