keyword,doc_freq,total_freq,tfidf
get,21,47053,0.0
string,21,30182,0.0
name,21,19679,0.02
exception,20,11475,0.0
java,18,12450,0.0
list,17,11492,0.01
value,16,17789,0.02
type,16,24126,0.04
file,15,12440,0.02
util,15,7122,0.01
set,14,15691,0.0
override,13,8795,0.01
add,12,9210,0.01
map,10,7276,0.01
array,10,5153,0.01
stream,10,5103,0.02
data,10,5080,0.01
size,9,5738,0.01
method,9,10847,0.1
index,9,7255,0.02
org,9,7047,0.01
length,9,4856,0.02
info,8,6702,0.04
types,8,1345,0.01
input,8,4920,0.02
item,7,5084,0.04
field,7,6078,0.04
node,7,6988,0.04
code,7,5497,0.04
table,7,3565,0.03
path,6,4196,0.01
attribute,6,4931,0.06
entry,6,3759,0.03
offset,6,6446,0.08
out,6,3514,0.02
values,5,1644,0.01
flags,5,1504,0.04
resource,5,2954,0.04
annotation,5,4567,0.04
put,5,4259,0.02
result,5,3826,0.01
logger,5,2560,0.01
key,5,3679,0.01
com,5,3296,0.01
read,5,3171,0.03
line,5,2386,0.02
desc,4,2710,0.09
tree,4,5531,0.08
access,4,2611,0.07
opcode,4,4505,0.17
output,4,2130,0.01
res,4,3852,0.06
write,4,3203,0.03
option,4,1374,0.02
files,4,1551,0.02
append,4,3471,0.02
model,4,3477,0.01
log,4,1541,0.01
signature,4,1707,0.06
utils,4,1585,0.01
unsigned,3,1623,0.06
member,3,1358,0.04
insn,3,5641,0.23
text,3,3421,0.01
instruction,3,7453,0.25
menu,3,1975,0.03
buffer,3,3851,0.04
xml,3,1951,0.03
start,3,3369,0.02
header,3,1104,0.02
count,3,3201,0.02
hash,3,3496,0.03
service,3,462,0.0
options,3,1440,0.02
spec,3,796,0.02
tag,3,1385,0.01
root,3,2778,0.05
provider,3,621,0.01
current,3,3904,0.04
runtime,3,1393,0.02
arg,3,1086,0.03
constant,3,1475,0.04
decompiler,3,2827,0.15
has,3,1581,0.03
reader,3,1812,0.02
system,3,1057,0.01
jni,2,3468,0.18
area,2,1039,0.03
mem,2,555,0.03
edge,2,1760,0.04
debugger,2,369,0.02
memory,2,464,0.01
coley,2,4059,0.27
label,2,3509,0.04
