keyword,doc_freq,total_freq,tfidf
string,29,25731,0.0
get,28,22821,0.0
exception,24,10311,0.0
java,23,6090,0.0
set,23,9015,0.0
org,21,5585,0.01
web,19,3374,0.04
socket,18,4671,0.07
message,18,7601,0.03
name,18,8874,0.01
object,17,10490,0.03
override,17,18335,0.01
type,17,11102,0.01
util,16,4772,0.0
request,16,15837,0.08
data,15,6553,0.01
factory,15,2434,0.01
map,15,8766,0.01
com,14,7828,0.01
list,12,7273,0.0
config,12,2154,0.01
json,12,4257,0.03
logger,12,2380,0.01
array,11,4515,0.01
response,11,11622,0.07
client,11,3679,0.03
http,11,9667,0.08
event,11,4971,0.02
handler,11,3625,0.02
connection,11,1064,0.01
stream,10,1795,0.01
key,10,13005,0.04
session,10,2287,0.02
api,9,10846,0.07
websocket,9,939,0.03
error,9,7578,0.03
log,9,2358,0.01
value,8,21741,0.02
annotation,8,1071,0.01
context,8,8945,0.03
builder,8,7246,0.02
send,7,976,0.02
header,7,4502,0.06
url,7,1844,0.01
method,7,2084,0.02
utils,7,1278,0.0
configuration,7,1049,0.01
add,7,3639,0.0
springframework,6,553,0.01
example,6,114,0.0
application,6,466,0.0
create,6,3473,0.02
gson,6,984,0.02
result,6,1767,0.0
trace,6,2020,0.03
headers,6,2393,0.04
github,5,1354,0.01
user,5,2230,0.02
time,5,1863,0.01
service,5,2628,0.02
listener,5,804,0.0
status,5,3547,0.03
servlet,5,942,0.01
file,5,1845,0.0
view,5,3389,0.02
server,5,2329,0.02
core,5,605,0.0
path,5,3878,0.01
input,5,11341,0.04
buffer,5,3182,0.02
channel,5,2761,0.03
write,5,5501,0.05
model,4,3671,0.01
template,4,271,0.0
registry,4,605,0.01
random,4,243,0.0
controller,4,95,0.0
token,4,3034,0.03
order,4,1595,0.03
output,4,10939,0.06
content,4,1895,0.01
uri,4,10614,0.11
charts,4,235,0.01
dataviewer,4,312,0.01
plot,4,293,0.01
axis,4,179,0.0
colour,4,120,0.0
resource,4,733,0.01
with,4,859,0.01
state,4,1847,0.01
text,4,1939,0.01
exchange,4,3050,0.07
close,4,2623,0.04
read,4,1303,0.01
put,4,1673,0.01
reader,4,598,0.0
info,3,2008,0.01
broker,3,135,0.0
boot,3,61,0.0
spring,3,80,0.0
messaging,3,139,0.01
simp,3,33,0.0
values,3,753,0.01
app,3,2078,0.02
serialized,3,872,0.02
update,3,1706,0.02
date,3,629,0.01
google,3,635,0.01
auth,3,1979,0.03
body,3,2855,0.04
entity,3,717,0.01
apache,3,182,0.0
mode,3,902,0.01
line,3,552,0.0
property,3,630,0.0
bean,3,181,0.0
lombok,3,1805,0.02
mapping,3,432,0.01
integer,3,2176,0.01
android,3,99,0.0
net,3,409,0.0
instance,3,807,0.0
main,3,157,0.0
destination,3,122,0.0
javax,3,297,0.0
sender,3,218,0.0
format,3,782,0.01
autowired,3,46,0.0
adapter,3,441,0.0
subscribe,3,467,0.01
code,3,3051,0.02
security,3,1168,0.02
decimal,3,465,0.01
big,3,728,0.01
manager,3,761,0.0
constants,3,173,0.0
size,3,4746,0.01
remote,3,1495,0.03
timeout,3,581,0.01
req,3,5288,0.1
viewer,3,235,0.01
title,3,179,0.0
future,3,1291,0.02
decoder,3,2986,0.07
mapper,2,531,0.01
enable,2,167,0.0
endpoint,2,540,0.01
stomp,2,16,0.0
fasterxml,2,146,0.0
jackson,2,147,0.0
configurer,2,52,0.0
action,2,1411,0.01
command,2,3004,0.03
filter,2,862,0.01
field,2,3295,0.02
names,2,345,0.0
callback,2,966,0.01
tuple,2,253,0.01
attribute,2,338,0.0
ssl,2,427,0.01
description,2,447,0.01
port,2,648,0.01
authentication,2,327,0.01
attributes,2,157,0.0
traces,2,41,0.0
