keyword,doc_freq,total_freq,tfidf
get,55,30330,0.0
string,49,33647,0.0
list,49,19500,0.01
java,48,14661,0.01
set,45,12054,0.01
util,41,9306,0.01
length,39,10231,0.05
add,37,7313,0.01
array,37,9967,0.03
node,36,17098,0.14
value,34,7950,0.01
size,34,6969,0.02
map,32,7702,0.01
next,32,6627,0.09
integer,32,7673,0.08
out,30,8501,0.07
system,27,7467,0.07
left,26,5062,0.11
root,25,4957,0.11
max,25,5346,0.05
right,24,4699,0.11
index,24,5669,0.03
exception,23,12805,0.01
println,23,5725,0.08
tree,22,5001,0.1
key,22,7226,0.03
com,22,7857,0.02
override,21,5620,0.01
count,21,5004,0.05
result,21,4755,0.02
current,20,3070,0.04
hash,19,4294,0.04
stack,18,3629,0.07
stream,17,8242,0.04
start,17,4359,0.04
min,17,4214,0.08
print,15,6275,0.1
input,15,8073,0.05
data,15,4344,0.01
file,14,5258,0.01
end,14,2896,0.05
sum,14,2768,0.11
args,14,2897,0.03
main,14,2682,0.04
text,13,5483,0.03
first,13,3013,0.08
arrays,13,1914,0.05
number,12,2874,0.04
object,12,4099,0.02
org,12,3524,0.01
linked,12,1730,0.08
queue,12,2248,0.07
find,11,2370,0.04
path,11,3446,0.02
name,11,11675,0.02
head,11,2053,0.09
num,11,4055,0.07
item,10,2090,0.02
search,10,1847,0.04
nodes,10,712,0.02
graph,10,1774,0.05
line,9,3090,0.03
element,9,3294,0.04
math,9,3206,0.07
row,9,2007,0.04
test,9,3541,0.04
nums,9,2365,0.14
arr,9,2421,0.1
utils,8,2156,0.01
str,8,1403,0.04
sort,8,1898,0.09
temp,8,2084,0.06
output,8,5497,0.05
iterator,8,1241,0.03
val,8,2410,0.06
parent,8,1663,0.04
type,7,6318,0.01
time,7,3067,0.03
word,7,1713,0.05
buffered,7,1721,0.04
reader,7,2924,0.04
edge,7,1895,0.06
matrix,7,1273,0.03
cur,7,2300,0.14
context,6,4510,0.02
algorithm,6,1686,0.06
user,6,1988,0.02
builder,6,4075,0.02
query,6,2587,0.04
append,6,2157,0.02
algorithms,6,421,0.03
random,6,1109,0.03
entry,6,2053,0.02
res,6,8344,0.18
put,5,2901,0.02
layout,5,1510,0.02
instance,5,1856,0.02
manager,5,1633,0.02
image,5,1815,0.02
child,5,1071,0.02
point,5,1891,0.04
thread,5,2291,0.04
request,5,3408,0.03
service,5,2088,0.02
curr,5,1537,0.07
code,5,2465,0.03
height,5,1605,0.03
empty,5,2338,0.05
buffer,5,2080,0.03
equals,5,3211,0.03
col,5,938,0.03
mid,5,1158,0.09
len,5,1012,0.04
heap,5,1404,0.09
listener,4,1882,0.01
message,4,2389,0.02
content,4,2393,0.02
create,4,1541,0.01
view,4,6194,0.05
android,4,4697,0.04
activity,4,3249,0.04
event,4,1204,0.01
color,4,1478,0.02
state,4,1541,0.01
width,4,1098,0.02
distance,4,1050,0.03
table,4,1003,0.01
pos,4,888,0.02
logger,4,1265,0.01
property,4,1272,0.01
column,4,554,0.01
log,4,2094,0.01
parse,4,1542,0.03
visited,4,566,0.03
match,4,1759,0.04
target,4,2634,0.03
middle,4,711,0.05
last,4,1710,0.04
position,4,1545,0.02
counter,4,469,0.02
objects,4,2132,0.05
insert,4,1005,0.04
tail,4,713,0.04
remove,4,1378,0.04
info,4,2559,0.02
binary,4,845,0.04
adj,4,458,0.03
solution,4,1269,0.08
,4,2285,
illegal,4,1008,0.03
param,4,717,0.01
words,4,742,0.03
other,4,730,0.02
push,4,849,0.04
helper,4,795,0.02
low,4,928,0.06
block,3,1268,0.03
language,3,764,0.02
edit,3,489,0.01
big,3,1119,0.04
base,3,1437,0.02
widget,3,748,0.02
toast,3,1113,0.03
interview,3,623,0.05
cluster,3,793,0.02
vector,3,572,0.02
writer,3,9853,0.16
response,3,2310,0.02
google,3,773,0.01
cell,3,570,0.02
factory,3,1133,0.01
error,3,1501,0.01
score,3,923,0.03
date,3,1510,0.02
model,3,1084,0.01
pattern,3,1476,0.03
provider,3,840,0.01
comparator,3,1151,0.06
delta,3,231,0.01
bucket,3,566,0.02
buckets,3,295,0.01
cache,3,1205,0.03
capacity,3,629,0.04
junit,3,1166,0.03
label,3,652,0.01
keyword,3,362,0.02
rank,3,677,0.04
keys,3,520,0.01
read,3,11636,0.15
digraph,3,233,0.02
comparable,3,495,0.03
has,3,1266,0.03
non,3,1760,0.03
depth,3,518,0.02
leetcode,3,1154,0.08
candidate,3,438,0.02
write,3,850,0.01
split,3,805,0.02
lower,3,451,0.02
json,3,3785,0.04
password,3,266,0.01
interval,3,678,0.02
vertex,3,840,0.03
high,3,762,0.04
vertices,3,486,0.02
argument,3,804,0.02
scanner,3,975,0.04
numbers,3,524,0.03
statement,2,2447,0.05
core,2,1204,0.01
function,2,1160,0.02
dialog,2,756,0.01
menu,2,567,0.01
app,2,1278,0.02
action,2,615,0.01
component,2,854,0.02
location,2,548,0.01
fragment,2,802,0.02
support,2,792,0.01
adapter,2,859,0.02
button,2,460,0.01
scene,2,84,0.0
controller,2,561,0.01
equal,2,246,0.01
begin,2,343,0.02
red,2,426,0.02
quick,2,266,0.02
trajectory,2,136,0.01
points,2,438,0.01
clusters,2,138,0.01
tmp,2,367,0.01
mapping,2,412,0.01
stop,2,473,0.02
field,2,2661,0.03
salt,2,349,0.02
apache,2,548,0.01
feature,2,650,0.02
unit,2,1296,0.03
initial,2,481,0.02
net,2,773,0.01
states,2,376,0.02
shift,2,601,0.03
bit,2,1252,0.04
compute,2,518,0.03
charset,2,546,0.02
regex,2,353,0.01
per,2,228,0.01
all,2,1398,0.03
prev,2,699,0.03
children,2,592,0.02
github,2,110,0.0
bound,2,255,0.01
idx,2,520,0.02
method,2,2560,0.03
interrupted,2,307,0.02
sql,2,367,0.01
processor,2,563,0.01
configuration,2,609,0.01
database,2,618,0.01
sentence,2,281,0.01
std,2,1111,0.06
directed,2,389,0.03
marked,2,268,0.02
cycle,2,330,0.02
problem,2,444,0.02
require,2,114,0.0
cost,2,250,0.01
stacks,2,153,0.01
pair,2,1080,0.03
pre,2,437,0.02
bits,2,543,0.02
select,2,409,0.01
candidates,2,170,0.01
degree,2,222,0.01
letter,2,186,0.01
close,2,1670,0.04
ans,2,913,0.06
vangav,2,1297,0.09
backend,2,1101,0.05
ignore,2,1348,0.05
play,2,854,0.03
format,2,1407,0.02
annotation,2,2418,0.03
rows,2,369,0.01
traversal,2,258,0.02
memo,2,331,0.03
grid,2,850,0.03
edges,2,496,0.02
description,2,313,0.01
session,2,401,0.01
job,2,502,0.01
dfs,2,378,0.02
demo,2,190,0.01
compare,2,1070,0.05
suppress,2,625,0.03
warnings,2,480,0.02
paths,2,399,0.01
exit,2,134,0.01
decode,2,240,0.01
