keyword,doc_freq,total_freq,tfidf
get,6,17062,0.0
string,6,2860,0.0
time,6,2978,0.04
value,6,2247,0.01
price,5,4692,0.27
list,5,2024,0.0
override,5,2184,0.0
type,5,2738,0.01
trade,5,1697,0.14
order,4,9166,0.42
series,4,2502,0.14
org,4,3043,0.01
exception,4,1354,0.0
entry,4,580,0.01
open,4,1044,0.05
close,4,1042,0.04
decimal,4,2363,0.16
symbol,3,1290,0.07
trading,3,950,0.09
context,3,1064,0.01
criterion,3,763,0.08
orders,3,1846,0.16
java,3,1082,0.0
util,3,1274,0.0
map,3,1246,0.0
indicator,3,3791,0.32
rule,3,540,0.02
position,3,2179,0.06
tick,3,608,0.05
indicators,3,704,0.08
index,3,2163,0.02
amount,3,2246,0.16
volume,3,2221,0.18
count,3,2066,0.03
name,3,1411,0.0
record,3,995,0.03
strategy,2,705,0.03
symbols,2,137,0.01
data,2,480,0.0
logger,2,478,0.01
error,2,735,0.01
add,2,958,0.0
parse,2,263,0.01
stream,2,342,0.0
size,2,559,0.0
currency,2,947,0.09
api,2,1095,0.02
com,2,629,0.0
core,2,1275,0.02
bar,2,2477,0.09
portfolio,2,1755,0.17
entity,2,1401,0.04
loss,2,346,0.03
set,2,2279,0.0
base,2,1279,0.03
period,2,482,0.04
calculate,2,583,0.06
end,2,515,0.01
than,2,303,0.03
cached,2,423,0.04
satisfied,2,299,0.03
current,2,536,0.01
minus,2,339,0.04
max,2,589,0.01
codera,1,150,0.02
contract,1,266,0.02
quant,1,150,0.02
instant,1,602,0.05
matrix,1,244,0.01
history,1,188,0.01
lst,1,95,0.01
column,1,254,0.01
date,1,427,0.01
lib,1,135,0.01
available,1,117,0.01
score,1,89,0.0
observer,1,79,0.0
prices,1,101,0.01
last,1,728,0.03
controller,1,67,0.0
first,1,204,0.01
second,1,113,0.01
bitfinex,1,332,0.04
github,1,146,0.0
jnidzwetzki,1,125,0.01
pair,1,282,0.01
broker,1,90,0.01
manager,1,322,0.0
factory,1,675,0.01
cryptobot,1,61,0.01
big,1,777,0.04
wallet,1,56,0.01
trades,1,213,0.02
channel,1,77,0.0
session,1,115,0.0
market,1,4323,0.42
fill,1,2412,0.2
trigger,1,1738,0.13
specific,1,1316,0.17
stop,1,1297,0.07
parent,1,1129,0.04
cryptocoinpartners,1,1113,0.15
exchange,1,1147,0.08
listing,1,1086,0.15
transaction,1,1141,0.06
interval,1,1016,0.06
log,1,1150,0.01
basis,1,882,0.11
fills,1,385,0.05
asset,1,898,0.06
state,1,991,0.01
dao,1,804,0.03
markets,1,182,0.02
pending,1,677,0.06
discrete,1,660,0.08
service,1,655,0.01
limit,1,660,0.04
command,1,902,0.02
json,1,524,0.01
view,1,654,0.01
response,1,387,0.01
xstore,1,330,0.05
message,1,435,0.01
pro,1,330,0.04
records,1,212,0.01
object,1,748,0.01
android,1,210,0.0
candle,1,222,0.03
code,1,344,0.01
margin,1,474,0.04
construction,1,155,0.02
chart,1,197,0.01
connector,1,145,0.01
trader,1,193,0.02
hortensie,1,125,0.02
swap,1,117,0.01
create,1,459,0.01
database,1,122,0.0
server,1,113,0.0
text,1,146,0.0
streaming,1,107,0.01
login,1,102,0.01
num,1,2654,0.08
bars,1,300,0.04
low,1,453,0.05
number,1,381,0.01
positions,1,376,0.03
high,1,429,0.03
cost,1,275,0.02
model,1,290,0.0
function,1,273,0.01
other,1,265,0.01
previous,1,223,0.02
verdelhan,1,705,0.09
frame,1,451,0.01
ticks,1,142,0.01
min,1,402,0.01
helpers,1,259,0.02
average,1,224,0.02
ema,1,269,0.03
prev,1,183,0.01
exit,1,356,0.03
divided,1,215,0.03
sma,1,188,0.02
values,1,261,0.0
highest,1,148,0.02
curr,1,174,0.01
multiplied,1,195,0.03
math,1,452,0.02
plus,1,335,0.03
