keyword,doc_freq,total_freq,tfidf
get,18,83330,0.0
string,18,50025,0.0
exception,17,29615,0.0
set,17,45338,0.01
value,16,32576,0.02
override,16,21695,0.01
java,16,19242,0.0
util,16,15456,0.0
name,15,25904,0.01
com,14,35876,0.02
list,13,25074,0.0
type,12,46212,0.03
time,11,15553,0.04
map,11,22187,0.01
builder,11,17252,0.02
object,10,14515,0.02
key,9,21937,0.03
query,9,9608,0.04
context,9,12365,0.02
data,8,24017,0.02
json,8,11921,0.03
result,7,15478,0.02
event,7,5864,0.01
array,6,10063,0.01
add,6,10905,0.0
org,6,43289,0.03
table,6,20099,0.07
stream,5,8381,0.01
column,5,12851,0.05
,5,11014,
size,5,11042,0.01
sql,5,14526,0.08
message,5,8028,0.02
field,5,26911,0.07
user,5,7029,0.02
config,5,7835,0.02
index,4,9712,0.01
logger,4,4021,0.01
types,4,6368,0.02
google,4,6959,0.03
android,4,1359,0.0
listener,4,3074,0.01
token,4,6760,0.03
request,4,6435,0.01
url,4,2511,0.01
node,4,17343,0.04
session,4,10773,0.05
length,3,5621,0.01
date,3,4162,0.02
source,3,6463,0.02
settings,3,2352,0.01
read,3,8391,0.03
write,3,10068,0.04
response,3,4660,0.01
analytics,3,1966,0.03
instance,3,3575,0.01
log,3,3411,0.01
application,3,899,0.0
tag,3,1070,0.0
app,3,1023,0.0
activity,3,1029,0.0
text,3,2969,0.0
state,3,8590,0.02
service,3,3747,0.01
file,3,5167,0.0
append,3,7745,0.02
position,3,5510,0.02
optional,3,6596,0.05
page,3,6932,0.04
visit,3,3526,0.03
columns,3,3108,0.02
common,3,5932,0.03
base,3,6384,0.03
api,3,3050,0.01
put,3,6649,0.01
plugin,3,6583,0.04
uuid,3,6809,0.06
info,3,6626,0.01
non,3,6738,0.03
row,2,6071,0.03
values,2,4592,0.01
keys,2,7049,0.05
count,2,6502,0.02
function,2,5902,0.02
from,2,4385,0.02
start,2,6560,0.02
parser,2,3520,0.02
not,2,4058,0.02
github,2,618,0.0
with,2,3612,0.01
click,2,390,0.0
block,2,10331,0.06
provider,2,3164,0.02
action,2,2151,0.01
label,2,1178,0.0
tracker,2,390,0.01
view,2,1482,0.0
register,2,1016,0.01
build,2,3661,0.02
model,2,2094,0.0
params,2,1308,0.01
gson,2,596,0.01
input,2,5469,0.01
topic,2,675,0.01
fields,2,7077,0.04
scheme,2,9772,0.13
success,2,8428,0.07
last,2,7110,0.04
flipkart,2,1514,0.03
collection,2,1475,0.01
core,2,2014,0.01
handler,2,2685,0.01
out,2,1643,0.0
max,2,4363,0.01
sdk,2,395,0.0
entity,2,3841,0.02
expression,2,7820,0.06
equals,2,7016,0.02
visitor,2,1988,0.02
obj,2,2147,0.01
immutable,2,6073,0.05
system,2,4619,0.01
auth,2,997,0.01
secret,2,161,0.0
utils,2,2471,0.0
server,2,11233,0.05
asset,2,2268,0.02
presto,2,17834,0.33
facebook,2,16352,0.17
format,2,4418,0.02
metadata,2,6115,0.04
track,2,1739,0.02
player,2,5806,0.05
error,2,5790,0.01
cache,2,1876,0.01
plan,2,10783,0.15
database,2,3768,0.02
frame,1,4638,0.02
col,1,2266,0.02
zavtech,1,1130,0.02
morpheus,1,1130,0.02
ordinal,1,1239,0.02
coding,1,659,0.01
integer,1,4379,0.01
rows,1,1239,0.01
cursor,1,1496,0.01
local,1,2438,0.01
apply,1,1442,0.01
zone,1,2437,0.03
cols,1,241,0.0
predicate,1,2238,0.02
parallel,1,466,0.01
setting,1,964,0.01
housepower,1,581,0.01
debug,1,1304,0.01
supported,1,1263,0.02
feature,1,976,0.01
binary,1,1026,0.01
house,1,311,0.01
serializer,1,761,0.01
lexer,1,434,0.01
