keyword,doc_freq,total_freq,tfidf
size,2,386,0.01
get,2,953,0.0
list,2,263,0.0
java,2,511,0.0
summary,2,221,0.11
type,2,189,0.0
set,2,277,0.0
string,2,397,0.0
stream,2,186,0.01
value,2,547,0.01
filter,2,173,0.03
name,2,218,0.0
label,2,259,0.04
data,1,368,0.01
fraud,1,222,0.2
cross,1,111,0.1
test,1,107,0.01
frauds,1,58,0.05
train,1,94,0.05
algorithm,1,102,0.04
regular,1,95,0.07
percentage,1,88,0.05
total,1,78,0.03
configuration,1,171,0.02
found,1,62,0.02
labeled,1,56,0.04
transaction,1,58,0.02
point,1,56,0.01
normal,1,50,0.03
features,1,50,0.02
results,1,45,0.01
dense,1,40,0.04
with,1,52,0.01
file,1,55,0.0
rdd,1,40,0.03
spark,1,38,0.02
flagged,1,37,0.03
gaussian,1,38,0.03
types,1,39,0.01
epsilon,1,36,0.02
probability,1,32,0.02
function,1,44,0.01
runs,1,31,0.02
klevis,1,28,0.02
anomalies,1,31,0.03
multivariate,1,28,0.02
count,1,119,0.01
time,1,75,0.01
ramo,1,28,0.02
not,1,36,0.01
builder,1,1241,0.07
metrics,1,864,0.34
prometheus,1,814,0.67
client,1,767,0.1
google,1,628,0.11
protobuf,1,628,0.27
com,1,628,0.02
metric,1,366,0.17
bit,1,445,0.14
registry,1,443,0.12
from,1,360,0.06
field,1,302,0.03
message,1,333,0.03
input,1,308,0.02
exception,1,296,0.0
extension,1,251,0.08
quantile,1,256,0.22
parse,1,256,0.05
fields,1,171,0.04
bucket,1,231,0.08
unknown,1,213,0.12
meter,1,211,0.14
descriptor,1,171,0.05
springframework,1,178,0.04
org,1,205,0.01
parser,1,179,0.04
properties,1,198,0.04
lang,1,156,0.03
histogram,1,158,0.1
counter,1,157,0.05
micrometer,1,149,0.13
untyped,1,153,0.13
gauge,1,153,0.13
instance,1,147,0.02
servlet,1,147,0.04
web,1,147,0.03
util,1,156,0.0
