keyword,doc_freq,total_freq,tfidf
get,34,115792,0.0
set,33,47059,0.01
string,29,76213,0.0
list,29,40810,0.01
util,28,21567,0.01
java,27,26475,0.0
map,24,21529,0.01
exception,23,28927,0.0
add,23,22952,0.01
value,23,22156,0.01
name,20,45509,0.02
size,20,22508,0.02
file,17,28781,0.02
data,17,50336,0.05
override,16,27934,0.01
type,16,45229,0.03
org,14,59812,0.04
com,13,7434,0.01
key,12,10285,0.01
config,12,14119,0.04
logger,11,7097,0.02
path,11,10617,0.01
result,11,13577,0.02
input,11,25640,0.05
index,10,11860,0.02
max,10,11035,0.03
array,10,41634,0.03
hash,9,9667,0.03
model,9,14111,0.03
out,9,9186,0.02
integer,9,7693,0.02
object,8,13975,0.02
error,8,5866,0.01
output,8,19057,0.05
core,7,5371,0.02
factory,7,8535,0.02
next,7,7134,0.03
state,7,12405,0.02
image,7,4517,0.02
label,7,5378,0.02
thread,6,2718,0.01
column,6,5338,0.03
utils,6,12120,0.02
request,6,5540,0.01
stream,6,8340,0.01
count,6,9597,0.03
system,6,4405,0.01
handler,6,5938,0.02
server,6,2645,0.01
json,6,5514,0.02
message,5,8864,0.02
event,5,3592,0.01
info,5,9670,0.02
variable,5,16783,0.14
names,5,4368,0.02
term,5,8518,0.11
function,5,5622,0.02
entry,5,4380,0.02
node,5,9441,0.02
length,5,18304,0.03
line,5,4948,0.02
listener,5,5199,0.01
property,5,5221,0.02
println,5,3748,0.02
builder,5,16292,0.03
current,5,6793,0.03
code,4,3907,0.01
time,4,7925,0.02
instance,4,5476,0.02
row,4,1976,0.01
types,4,4861,0.02
equals,4,7134,0.02
pair,4,4217,0.04
response,4,3653,0.01
put,4,7051,0.02
entity,4,6836,0.03
target,4,6248,0.03
radius,4,1290,0.01
position,4,9394,0.05
point,4,3031,0.02
field,4,5843,0.02
num,4,8414,0.05
content,4,1992,0.01
build,4,7245,0.03
http,4,2208,0.01
all,4,8398,0.05
text,4,4780,0.01
task,4,10475,0.05
create,4,10598,0.03
search,4,2833,0.02
api,4,22687,0.07
layer,4,17081,0.16
layers,4,2761,0.03
action,3,7505,0.02
group,3,3133,0.01
log,3,5030,0.01
frame,3,1755,0.01
not,3,3047,0.01
configuration,3,8926,0.03
process,3,3420,0.02
apache,3,2283,0.01
parameter,3,2684,0.01
terms,3,1789,0.03
filter,3,3309,0.01
collection,3,5905,0.04
client,3,2493,0.01
min,3,4916,0.03
query,3,4870,0.02
math,3,3358,0.02
distance,3,1364,0.01
offset,3,7400,0.04
unit,3,12529,0.1
game,3,3078,0.03
main,3,1790,0.01
strategy,3,1758,0.02
values,3,4934,0.02
writer,3,3105,0.02
activation,3,2711,0.04
reader,3,3969,0.02
random,3,3690,0.03
device,3,2619,0.02
print,3,2684,0.01
socket,3,723,0.01
width,3,2909,0.01
height,3,2506,0.01
view,3,3176,0.01
body,3,2440,0.02
android,3,356,0.0
activity,3,542,0.0
uri,3,3440,0.02
url,3,2849,0.01
context,3,7711,0.01
table,3,3493,0.01
session,3,1435,0.01
status,3,2318,0.01
user,3,2096,0.01
best,3,1667,0.03
iterator,3,8820,0.06
player,3,624,0.01
command,3,2670,0.01
pattern,3,2433,0.02
test,3,6437,0.02
tree,3,3610,0.02
args,3,9664,0.03
inputs,3,3869,0.05
rate,3,2243,0.02
weight,3,3554,0.04
menu,2,645,0.0
level,2,3857,0.03
swing,2,672,0.01
messages,2,678,0.01
javax,2,1755,0.01
method,2,4550,0.02
variables,2,2948,0.04
step,2,2295,0.02
spark,2,2108,0.02
viadee,2,469,0.01
var,2,4378,0.03
columns,2,1726,0.02
write,2,4005,0.02
description,2,2596,0.02
col,2,682,0.01
parameters,2,2152,0.01
space,2,794,0.01
token,2,1986,0.01
steer,2,1703,0.05
maximum,2,887,0.02
start,2,5166,0.01
minimum,2,516,0.01
callback,2,812,0.01
delta,2,1161,0.02
end,2,3139,0.02
linked,2,2411,0.03
cell,2,3210,0.03
order,2,4347,0.04
pre,2,3423,0.05
files,2,2370,0.01
folder,2,421,0.0
pos,2,4035,0.03
feature,2,1184,0.01
word,2,2757,0.02
features,2,1689,0.02
units,2,2296,0.04
enemy,2,2267,0.05
tile,2,2465,0.03
building,2,1293,0.03
base,2,8187,0.04
terran,2,1433,0.04
cache,2,6170,0.04
dist,2,1504,0.02
choke,2,940,0.03
has,2,4758,0.04
color,2,1692,0.01
construction,2,582,0.01
attack,2,693,0.01
rule,2,5932,0.05
engine,2,1383,0.01
format,2,6325,0.03
append,2,6107,0.02
rules,2,1311,0.02
runtime,2,2948,0.02
number,2,5192,0.02
module,2,6907,0.05
listeners,2,1575,0.02
graphics,2,490,0.0
common,2,2678,0.02
manager,2,3396,0.01
stack,2,1881,0.01
trace,2,1742,0.01
execute,2,2145,0.02
buffered,2,1362,0.01
box,2,913,0.01
transform,2,3997,0.04
sample,2,869,0.01
intent,2,999,0.0
bitmap,2,130,0.0
find,2,1615,0.01
app,2,484,0.0
framework,2,2038,0.03
read,2,4356,0.02
document,2,2213,0.01
persistence,2,2764,0.03
attributes,2,2297,0.02
results,2,2260,0.02
limit,2,2240,0.03
resource,2,6615,0.03
store,2,4061,0.03
version,2,6284,0.03
descriptor,2,7568,0.06
memory,2,5362,0.06
behavior,2,1143,0.02
service,2,2529,0.01
