keyword,doc_freq,total_freq,tfidf
get,20,40168,0.0
set,17,18338,0.01
string,17,25733,0.0
java,16,7130,0.0
add,14,4136,0.01
data,14,9724,0.03
list,13,9332,0.01
exception,13,16150,0.01
file,12,6396,0.01
size,11,6106,0.02
util,11,4288,0.01
value,11,8000,0.01
model,10,8535,0.05
map,8,6151,0.01
integer,8,3635,0.04
result,8,5780,0.02
layer,8,2059,0.06
array,8,2897,0.01
max,8,2758,0.03
weight,7,2115,0.08
com,7,2253,0.01
override,7,3217,0.0
config,7,10460,0.09
input,7,3926,0.02
error,7,5605,0.04
count,6,4669,0.05
type,6,7378,0.02
name,6,8990,0.01
index,6,8421,0.04
org,6,3031,0.01
output,6,3207,0.03
out,6,3098,0.03
test,6,8006,0.09
image,6,1210,0.01
height,5,462,0.01
column,5,10931,0.17
path,5,4407,0.02
train,5,2280,0.11
length,5,5021,0.03
label,5,751,0.01
time,5,4618,0.04
frame,5,1141,0.02
neural,4,668,0.04
network,4,1685,0.05
next,4,2649,0.04
width,4,469,0.01
number,4,1064,0.02
utils,4,4532,0.02
info,4,3345,0.03
node,4,2114,0.02
context,4,2037,0.01
builder,4,2180,0.01
reader,4,2162,0.03
stream,4,3240,0.02
instance,4,1908,0.02
system,4,2592,0.02
values,4,1363,0.02
close,4,3088,0.08
record,4,1073,0.02
min,4,1587,0.03
current,4,1884,0.02
key,4,2784,0.01
logger,4,1802,0.01
thread,4,1178,0.02
main,4,442,0.01
activation,4,687,0.03
connection,4,8655,0.14
neurons,3,217,0.02
neuron,3,585,0.04
random,3,967,0.03
function,3,1207,0.02
listener,3,482,0.0
num,3,3181,0.06
word,3,738,0.02
text,3,1102,0.01
println,3,1248,0.02
split,3,1668,0.05
description,3,592,0.01
entry,3,1404,0.02
buffered,3,623,0.02
top,3,245,0.01
panel,3,213,0.0
color,3,239,0.0
schema,3,1267,0.04
iterator,3,913,0.02
field,3,2744,0.03
table,3,1891,0.02
layers,3,502,0.02
weights,2,942,0.05
button,2,165,0.0
xml,2,698,0.01
params,2,1875,0.03
speed,2,56,0.0
source,2,3380,0.04
models,2,602,0.02
pos,2,1992,0.05
sentence,2,796,0.04
target,2,1948,0.03
memory,2,989,0.04
line,2,1369,0.02
decoder,2,684,0.03
put,2,2780,0.02
writer,2,1569,0.03
matrix,2,793,0.02
state,2,3063,0.02
vector,2,732,0.02
nodes,2,412,0.01
tree,2,1077,0.02
action,2,457,0.0
indicator,2,2861,0.15
decimal,2,2413,0.1
verdelhan,2,1381,0.1
series,2,1475,0.05
price,2,1352,0.05
indicators,2,649,0.04
tick,2,554,0.03
cached,2,678,0.04
trade,2,378,0.02
trading,2,328,0.02
calculate,2,550,0.03
order,2,503,0.01
ticks,2,180,0.01
rule,2,383,0.01
satisfied,2,208,0.01
ema,2,200,0.02
simple,2,562,0.01
criterion,2,198,0.01
end,2,1057,0.02
than,2,213,0.01
open,2,570,0.02
average,2,300,0.02
prev,2,316,0.01
ind,2,237,0.01
hash,2,1834,0.02
predict,2,544,0.03
args,2,1033,0.01
net,2,301,0.01
conv,2,80,0.01
predictor,2,78,0.01
prediction,2,101,0.01
response,2,617,0.01
request,2,642,0.01
manager,2,876,0.01
server,2,2484,0.04
parameter,2,2464,0.04
content,2,422,0.0
bar,2,138,0.0
progress,2,257,0.01
object,2,2890,0.01
video,2,65,0.0
pre,2,194,0.01
event,2,697,0.01
math,2,804,0.02
transform,2,409,0.01
api,2,554,0.01
process,2,750,0.02
linalg,2,282,0.02
datavec,2,146,0.01
columns,2,694,0.02
build,2,477,0.01
records,2,164,0.01
inputs,2,499,0.02
update,2,2798,0.06
draw,2,126,0.0
ramo,2,26,0.0
run,2,685,0.01
klevis,2,26,0.0
conf,2,1164,0.04
spark,2,204,0.01
mode,2,830,0.02
mutate,2,138,0.01
execute,2,2937,0.09
check,2,1818,0.03
food,1,200,0.02
agent,1,186,0.01
environment,1,393,0.01
agents,1,55,0.0
lagodiuk,1,57,0.01
links,1,122,0.01
brain,1,60,0.0
optimizable,1,57,0.01
clone,1,216,0.01
angle,1,49,0.0
env,1,115,0.0
another,1,68,0.01
threshold,1,729,0.03
population,1,194,0.01
javax,1,243,0.0
element,1,682,0.01
iter,1,173,0.01
signal,1,47,0.0
ret,1,315,0.01
initialize,1,210,0.01
shifu,1,6306,0.5
bin,1,3592,0.18
stats,1,1836,0.06
constants,1,1762,0.04
log,1,2897,0.02
score,1,1962,0.07
eval,1,1582,0.1
write,1,2325,0.03
append,1,3324,0.03
common,1,1348,0.03
language,1,2579,0.09
modernmt,1,1952,0.15
corpus,1,1099,0.07
translation,1,949,0.04
direction,1,884,0.03
tag,1,1414,0.02
token,1,806,0.01
tokenizer,1,718,0.04
processing,1,651,0.03
filter,1,1316,0.02
options,1,445,0.01
analyzer,1,389,0.02
apache,1,1429,0.03
distribution,1,670,0.04
shared,1,530,0.02
instances,1,291,0.01
discrete,1,418,0.03
opt,1,519,0.02
probabilities,1,298,0.02
dist,1,304,0.01
trainer,1,508,0.04
problem,1,216,0.01
func,1,393,0.02
link,1,338,0.01
sum,1,1275,0.05
