keyword,doc_freq,total_freq,tfidf
get,6,2269,0.0
context,6,451,0.03
android,6,1022,0.14
set,5,1134,0.01
list,5,552,0.01
camera,5,447,0.19
activity,5,578,0.1
view,5,1849,0.2
name,5,853,0.02
string,5,1331,0.0
override,5,488,0.01
manager,4,319,0.04
array,4,285,0.01
com,4,541,0.02
text,4,705,0.05
exception,4,338,0.0
event,3,249,0.03
position,3,298,0.07
object,3,394,0.02
layout,3,309,0.05
listener,3,543,0.06
util,3,301,0.0
file,3,574,0.02
item,3,325,0.04
size,3,382,0.02
java,3,289,0.0
location,2,542,0.17
distance,2,231,0.1
marker,2,376,0.22
scale,2,202,0.08
rotation,2,89,0.05
lat,2,260,0.18
permission,2,157,0.06
world,2,118,0.06
log,2,196,0.02
google,2,330,0.08
result,2,269,0.01
surface,2,157,0.07
objects,2,132,0.04
intent,2,274,0.06
fragment,2,435,0.12
dialog,2,267,0.06
value,2,355,0.01
add,2,325,0.01
find,2,247,0.05
state,2,227,0.02
point,2,113,0.03
obj,2,273,0.08
iterator,2,170,0.05
error,2,184,0.02
buffer,2,238,0.04
matrix,2,175,0.05
texture,2,204,0.08
shader,2,155,0.1
vertex,2,129,0.06
model,2,343,0.03
tag,2,262,0.05
quad,2,78,0.08
display,2,104,0.04
vertices,2,103,0.07
color,2,165,0.03
scaling,1,69,0.08
node,1,79,0.01
render,1,70,0.04
anchor,1,86,0.06
scene,1,53,0.02
gradual,1,47,0.07
math,1,119,0.03
sensor,1,137,0.09
accuracy,1,66,0.07
device,1,68,0.03
refresh,1,45,0.03
time,1,104,0.01
mode,1,81,0.02
anchors,1,41,0.06
height,1,148,0.04
min,1,58,0.01
appoly,1,23,0.03
max,1,70,0.01
orientation,1,32,0.02
arcorelocation,1,22,0.03
overlapping,1,22,0.03
bearing,1,26,0.04
axis,1,26,0.02
current,1,132,0.02
kalman,1,19,0.02
changed,1,84,0.05
enabled,1,53,0.02
modifier,1,17,0.01
direction,1,27,0.01
beyondar,1,267,0.38
expose,1,229,0.19
serialized,1,229,0.11
lng,1,233,0.17
gson,1,117,0.05
annotations,1,107,0.05
place,1,113,0.09
plugin,1,98,0.03
univ,1,105,0.15
navar,1,105,0.15
poi,1,89,0.1
network,1,80,0.03
api,1,93,0.01
start,1,182,0.02
client,1,96,0.02
plugins,1,50,0.03
response,1,67,0.01
address,1,83,0.02
geo,1,67,0.04
support,1,198,0.05
left,1,74,0.02
right,1,66,0.02
frame,1,261,0.07
properties,1,188,0.05
property,1,160,0.02
mat,1,213,0.12
poliba,1,127,0.18
giorgiobasile,1,127,0.18
markerar,1,127,0.18
create,1,257,0.03
click,1,218,0.06
menu,1,212,0.05
markers,1,78,0.09
prop,1,118,0.06
instance,1,209,0.03
path,1,148,0.01
points,1,115,0.05
adapter,1,182,0.05
org,1,101,0.0
inflater,1,131,0.06
opencv,1,77,0.05
origin,1,83,0.06
edit,1,113,0.04
button,1,155,0.03
data,1,464,0.02
snapshot,1,224,0.15
values,1,216,0.03
key,1,226,0.01
table,1,173,0.03
user,1,148,0.02
image,1,285,0.05
database,1,116,0.03
auth,1,112,0.04
ref,1,105,0.04
architect,1,106,0.15
child,1,172,0.06
show,1,192,0.06
firebase,1,93,0.06
progress,1,121,0.04
items,1,100,0.03
toast,1,200,0.08
method,1,88,0.01
base,1,160,0.04
login,1,82,0.04
users,1,49,0.02
plane,1,138,0.16
index,1,102,0.01
react,1,83,0.05
program,1,100,0.06
uniform,1,69,0.06
session,1,110,0.02
renderer,1,122,0.07
tex,1,76,0.06
per,1,61,0.04
rnarcore,1,36,0.05
selected,1,62,0.03
coords,1,54,0.04
gesture,1,41,0.03
hit,1,58,0.05
angle,1,73,0.05
arview,1,30,0.04
detector,1,41,0.02
attrib,1,39,0.04
line,1,125,0.02
group,1,156,0.03
material,1,69,0.04
reader,1,66,0.01
parse,1,58,0.01
groups,1,25,0.01
type,1,150,0.0
make,1,126,0.08
next,1,110,0.02
bitmap,1,155,0.05
