keyword,doc_freq,total_freq,tfidf
string,30,33757,0.0
get,30,26755,0.0
name,27,9613,0.02
exception,27,8218,0.01
java,25,6748,0.0
set,24,8872,0.01
list,24,8190,0.01
file,22,10342,0.04
util,20,4555,0.01
org,18,7807,0.03
com,18,3500,0.01
path,17,4919,0.04
value,16,7632,0.02
result,16,6218,0.04
logger,14,4163,0.05
json,13,7236,0.12
key,13,5707,0.04
object,12,4449,0.03
log,12,3389,0.03
override,12,3729,0.01
text,12,5282,0.04
type,11,4849,0.02
utils,10,10164,0.09
url,10,3224,0.05
map,10,4664,0.01
android,10,1608,0.03
context,9,4393,0.03
builder,9,2416,0.02
request,9,4011,0.05
response,9,2915,0.05
config,9,4061,0.06
message,9,3783,0.05
model,8,1211,0.01
error,8,2487,0.03
client,8,2489,0.05
manager,8,1827,0.03
info,8,1538,0.02
array,8,3391,0.02
element,8,4633,0.09
view,8,1899,0.02
data,7,6762,0.03
status,7,1495,0.03
test,7,5102,0.09
http,7,4341,0.09
field,7,2144,0.03
app,7,971,0.02
action,7,3273,0.06
time,6,2295,0.03
method,6,1735,0.03
driver,6,2190,0.14
web,6,2493,0.08
add,6,3144,0.01
not,6,2643,0.06
start,6,2235,0.03
content,6,2078,0.03
stream,6,2252,0.02
reader,6,641,0.01
version,6,1291,0.03
line,5,1796,0.03
listener,5,1258,0.02
core,5,4919,0.08
xml,5,2784,0.08
server,5,1921,0.05
find,5,1113,0.03
command,5,1793,0.04
params,5,1604,0.04
annotation,5,1198,0.03
append,5,1681,0.03
output,5,2037,0.03
user,5,1657,0.03
script,4,1950,0.09
print,4,494,0.01
property,4,1280,0.02
capabilities,4,719,0.1
instance,4,1137,0.02
state,4,1167,0.01
configuration,4,1024,0.02
helper,4,935,0.04
apache,4,2053,0.06
put,4,2316,0.03
run,4,1300,0.04
input,4,1531,0.01
create,4,1640,0.02
equals,4,1613,0.03
intent,4,290,0.01
event,4,2070,0.03
api,4,1130,0.02
activity,4,1040,0.02
remote,4,1017,0.06
format,4,1858,0.04
scenario,3,1009,0.08
port,3,665,0.02
step,3,3770,0.16
code,3,1565,0.03
local,3,1073,0.04
node,3,2579,0.03
device,3,1566,0.07
appium,3,1421,0.19
host,3,1101,0.05
capability,3,393,0.05
mobile,3,295,0.03
elements,3,622,0.03
selenium,3,826,0.1
openqa,3,547,0.07
param,3,1161,0.04
sql,3,942,0.03
contains,3,1036,0.05
number,3,1757,0.04
socket,3,802,0.03
size,3,1909,0.01
length,3,1767,0.02
source,3,1683,0.03
click,3,649,0.02
email,3,255,0.01
handler,3,1706,0.03
properties,3,738,0.02
execute,3,725,0.04
delay,3,479,0.03
support,3,550,0.02
javax,3,1407,0.03
password,3,835,0.03
tag,3,385,0.01
service,3,1304,0.02
github,3,548,0.02
wait,3,1068,0.11
contact,3,365,0.03
contacts,3,153,0.01
issue,3,302,0.02
servlet,3,546,0.02
database,2,382,0.01
build,2,1081,0.03
project,2,665,0.03
login,2,389,0.02
debug,2,566,0.02
report,2,783,0.04
record,2,2051,0.07
records,2,721,0.04
engine,2,779,0.03
screen,2,456,0.03
cloud,2,226,0.02
udid,2,117,0.02
suite,2,499,0.04
options,2,816,0.02
locator,2,1129,0.12
actions,2,413,0.02
timeout,2,635,0.04
count,2,1739,0.03
factory,2,919,0.01
services,2,153,0.01
shadow,2,79,0.01
cookie,2,568,0.03
results,2,447,0.02
out,2,1061,0.01
empty,2,2102,0.07
values,2,883,0.02
execution,2,1777,0.09
page,2,1297,0.04
buffer,2,913,0.02
console,2,1377,0.1
filter,2,862,0.02
pattern,2,703,0.02
sequence,2,418,0.02
read,2,956,0.02
given,2,83,0.01
all,2,1059,0.03
table,2,1400,0.03
writer,2,638,0.02
scheduler,2,157,0.01
yaml,2,116,0.01
integer,2,1054,0.02
system,2,1474,0.02
val,2,470,0.02
task,2,2481,0.07
keys,2,662,0.03
language,2,628,0.03
requests,2,186,0.01
screenshot,2,413,0.04
fragment,2,323,0.01
google,2,237,0.01
