keyword,doc_freq,total_freq,tfidf
get,6,20542,0.0
string,6,25205,0.0
set,6,9163,0.01
list,5,7707,0.01
name,5,4891,0.01
text,4,1463,0.01
override,4,1164,0.0
result,4,7763,0.05
com,4,3214,0.01
java,4,3072,0.0
file,4,6083,0.02
add,4,2115,0.01
view,3,2093,0.03
android,3,573,0.01
activity,3,461,0.01
database,3,864,0.03
item,3,526,0.01
key,3,2793,0.02
title,3,393,0.01
put,3,6554,0.08
array,3,1919,0.01
context,3,1027,0.01
request,3,4204,0.06
data,3,2055,0.01
widget,3,174,0.01
table,3,1665,0.03
stream,3,2054,0.02
exception,3,5799,0.01
value,3,3752,0.01
notes,2,913,0.1
note,2,927,0.11
intent,2,501,0.01
dialog,2,375,0.01
app,2,299,0.01
path,2,2649,0.02
toast,2,198,0.01
edit,2,164,0.01
click,2,159,0.0
map,2,4809,0.01
manager,2,1000,0.02
util,2,2684,0.01
input,2,1281,0.01
layout,2,496,0.01
color,2,255,0.01
date,2,1773,0.04
length,2,1555,0.01
output,2,1928,0.03
content,2,599,0.01
client,2,4065,0.08
builder,2,430,0.0
helper,2,198,0.01
code,2,5733,0.1
org,2,2204,0.01
log,2,2029,0.02
time,2,1798,0.03
action,2,702,0.01
login,2,1994,0.12
append,2,1010,0.02
info,2,5207,0.07
out,2,2482,0.03
instance,2,1126,0.02
state,2,778,0.01
tags,1,119,0.01
tag,1,224,0.0
drawer,1,101,0.01
extra,1,140,0.01
adapter,1,476,0.01
async,1,63,0.0
notecrypt,1,52,0.01
menu,1,1138,0.03
password,1,603,0.03
foreground,1,66,0.01
location,1,355,0.01
spinner,1,75,0.01
delegate,1,52,0.0
position,1,121,0.0
params,1,154,0.0
drive,1,131,0.02
row,1,323,0.01
stud,1,53,0.01
student,1,46,0.01
application,1,303,0.01
prof,1,35,0.01
surname,1,40,0.0
backup,1,1657,0.21
dbtest,1,35,0.01
google,1,116,0.0
exam,1,33,0.0
sign,1,35,0.0
options,1,186,0.0
compat,1,110,0.01
task,1,101,0.0
show,1,166,0.01
students,1,18,0.0
gms,1,34,0.0
takes,1,144,0.02
base,1,471,0.01
with,1,288,0.01
threecopies,1,56,0.01
take,1,33,0.0
user,1,1291,0.03
attribute,1,1160,0.03
facets,1,53,0.01
script,1,357,0.02
jcabi,1,43,0.0
region,1,49,0.0
forward,1,34,0.0
flash,1,33,0.0
manifests,1,33,0.01
iterable,1,35,0.0
auth,1,122,0.01
format,1,768,0.02
response,1,1249,0.02
dynamo,1,27,0.0
cactoos,1,23,0.0
req,1,149,0.01
bse,1,22,0.0
regex,1,31,0.0
scripts,1,16,0.0
directive,1,18,0.0
read,1,632,0.01
identity,1,35,0.0
directives,1,17,0.0
xembly,1,20,0.0
obj,1,8525,0.28
object,1,7237,0.05
str,1,7033,0.31
json,1,6540,0.11
server,1,5408,0.13
service,1,5053,0.09
protocol,1,4187,0.22
history,1,3990,0.24
trans,1,3263,0.27
system,1,3468,0.05
select,1,3008,0.16
svr,1,2910,0.35
tcontrol,1,2397,0.31
proxy,1,2429,0.12
type,1,2510,0.01
param,1,2099,0.06
cmmn,1,2009,0.26
err,1,2028,0.12
port,1,1898,0.07
logger,1,2000,0.02
println,1,2059,0.05
hash,1,1921,0.03
http,1,1781,0.04
session,1,1724,0.04
equals,1,2048,0.04
model,1,1769,0.02
column,1,723,0.02
bundle,1,323,0.01
cursor,1,281,0.01
checklist,1,252,0.04
reminder,1,206,0.02
subtitle,1,161,0.02
constants,1,222,0.01
listener,1,695,0.01
thedorkknightrises,1,96,0.02
uri,1,250,0.01
calendar,1,209,0.01
visibility,1,104,0.01
notified,1,86,0.01
holder,1,203,0.01
deleted,1,96,0.01
find,1,140,0.0
jfs,1,2320,0.3
enc,1,967,0.09
panel,1,662,0.02
size,1,1993,0.01
config,1,2012,0.03
files,1,260,0.01
pos,1,628,0.02
element,1,1028,0.02
sync,1,576,0.04
src,1,805,0.04
volume,1,613,0.05
num,1,558,0.02
len,1,645,0.04
root,1,466,0.02
tgt,1,412,0.05
directory,1,601,0.02
copy,1,460,0.02
button,1,498,0.01
relative,1,319,0.02
delete,1,929,0.05
current,1,436,0.01
producer,1,284,0.02
bits,1,355,0.03
