keyword,doc_freq,total_freq,tfidf
get,2,342,0.0
application,2,88,0.02
key,1,1568,0.13
exception,1,644,0.01
crypto,1,599,0.55
signature,1,410,0.35
secret,1,396,0.27
string,1,325,0.0
security,1,280,0.13
keys,1,65,0.03
powerauth,1,222,0.3
getlime,1,216,0.29
activation,1,217,0.18
provider,1,194,0.06
data,1,202,0.01
lib,1,189,0.11
generic,1,186,0.12
auth,1,180,0.09
hash,1,191,0.03
power,1,180,0.17
generator,1,165,0.09
ecies,1,162,0.22
shared,1,151,0.08
java,1,140,0.0
version,1,134,0.04
nonce,1,134,0.16
invalid,1,126,0.09
utils,1,100,0.01
util,1,99,0.0
length,1,124,0.01
header,1,116,0.04
map,1,114,0.0
index,1,113,0.01
logger,1,108,0.01
generate,1,108,0.07
ctr,1,102,0.12
message,1,101,0.01
token,1,99,0.03
convertor,1,91,0.12
encryption,1,90,0.08
model,1,88,0.01
ephemeral,1,85,0.12
http,1,83,0.02
mac,1,84,0.08
aes,1,80,0.09
value,1,81,0.0
server,1,79,0.02
code,1,78,0.01
hmac,1,77,0.09
master,1,75,0.09
view,1,24,0.0
toolbar,1,22,0.02
android,1,19,0.0
activity,1,16,0.0
click,1,12,0.0
set,1,82,0.0
support,1,11,0.0
app,1,14,0.0
listener,1,8,0.0
intent,1,9,0.0
override,1,19,0.0
compat,1,6,0.0
instance,1,22,0.0
saved,1,6,0.0
state,1,6,0.0
bundle,1,6,0.0
create,1,8,0.0
context,1,8,0.0
find,1,6,0.0
content,1,5,0.0
shashank,1,4,0.01
platform,1,4,0.0
alphabankui,1,4,0.01
navigation,1,4,0.0
become,1,4,0.01
test,1,5,0.0
com,1,18,0.0
client,1,33,0.01
widget,1,4,0.0
login,1,4,0.0
layout,1,3,0.0
action,1,3,0.0
bar,1,3,0.0
org,1,39,0.0
junit,1,3,0.0
gray,1,2,0.0
start,1,2,0.0
icon,1,2,0.0
drawable,1,2,0.0
arrow,1,2,0.0
back,1,2,0.0
instrumentation,1,2,0.0
registry,1,2,0.0
run,1,2,0.0
with,1,14,0.0
finish,1,2,0.0
runner,1,2,0.0
button,1,2,0.0
