keyword,doc_freq,total_freq,tfidf
java,42,108324,0.0
get,41,472106,0.0
string,41,321075,0.0
exception,40,145837,0.01
util,38,75727,0.01
set,37,158616,0.01
list,36,125660,0.01
name,36,185970,0.03
value,36,116589,0.02
map,34,93533,0.02
type,32,168396,0.04
override,30,76043,0.01
data,28,109875,0.04
org,26,87886,0.02
key,25,75345,0.04
context,22,60829,0.03
file,21,51958,0.01
com,21,158327,0.04
object,20,78383,0.04
time,19,44925,0.04
logger,19,63176,0.05
path,18,42558,0.02
add,18,50424,0.01
table,18,77231,0.1
size,17,52194,0.02
result,17,56620,0.02
apache,16,53245,0.11
query,16,77781,0.13
stream,16,36477,0.02
node,15,72429,0.06
array,15,41281,0.01
builder,15,69274,0.04
field,15,68242,0.08
utils,14,26768,0.02
input,14,43284,0.03
index,14,49814,0.03
column,12,57128,0.1
info,12,40337,0.03
config,11,52401,0.05
log,11,29980,0.02
client,11,31389,0.04
function,11,21413,0.03
json,11,51741,0.06
state,10,41851,0.03
event,10,31568,0.03
sql,10,34293,0.07
user,9,49626,0.07
service,9,56976,0.07
message,9,34197,0.03
types,9,19443,0.03
length,9,28492,0.02
api,9,23899,0.03
model,8,39892,0.03
source,8,42923,0.06
output,8,37147,0.04
names,8,12019,0.02
factory,8,32790,0.03
fields,8,24564,0.06
conf,8,14239,0.06
core,8,19495,0.02
instance,7,44058,0.05
properties,7,29993,0.06
date,7,25548,0.04
row,7,24414,0.05
entry,7,45592,0.06
values,7,18508,0.02
hash,7,40918,0.05
meta,7,19870,0.06
integer,6,26480,0.03
write,6,20954,0.03
error,6,34956,0.03
entity,6,23936,0.04
job,6,20680,0.06
system,6,16684,0.02
out,6,16777,0.02
request,6,41582,0.04
read,6,21433,0.03
group,6,28897,0.05
,6,27075,
range,6,14914,0.05
offset,6,11883,0.02
buffer,6,18391,0.03
record,6,15899,0.03
operator,6,21005,0.09
schema,6,28509,0.09
metadata,6,25847,0.07
session,6,30136,0.05
storage,6,14344,0.04
dataset,6,11465,0.05
create,6,31937,0.03
count,5,26929,0.03
cluster,5,32935,0.11
response,5,32255,0.03
google,5,37350,0.07
manager,5,28298,0.03
property,5,40327,0.05
block,5,22282,0.05
partition,5,18542,0.11
resource,5,31827,0.06
element,5,15193,0.02
sink,5,3928,0.02
engine,5,16806,0.05
spark,5,5657,0.02
expression,5,26852,0.08
status,4,23042,0.03
cache,4,21775,0.05
base,4,21724,0.04
window,4,10242,0.03
port,4,12920,0.03
xml,4,20592,0.04
task,4,16278,0.03
columns,4,12913,0.04
component,4,19455,0.04
filter,4,25329,0.04
max,4,22592,0.02
objects,4,9605,0.02
reader,4,10167,0.01
put,4,28534,0.02
format,4,19494,0.03
col,4,7127,0.02
pair,4,4842,0.01
next,4,25402,0.04
num,3,11513,0.02
constants,3,20441,0.04
append,3,23885,0.03
start,3,18486,0.02
option,3,6900,0.01
helper,3,10390,0.03
protobuf,3,25389,0.12
thread,3,11891,0.02
operation,3,19101,0.06
from,3,26083,0.05
val,3,6340,0.02
keys,3,8110,0.02
bit,3,7532,0.03
tuple,3,13805,0.07
bucket,3,6248,0.02
aggregator,3,4435,0.04
host,3,11189,0.03
app,3,4186,0.01
application,3,6759,0.01
hadoop,3,9220,0.05
props,3,8152,0.04
item,3,9622,0.01
server,3,19249,0.03
collection,3,9390,0.02
connection,3,21110,0.04
parameter,3,18941,0.04
files,3,3878,0.01
iterator,3,23458,0.06
current,3,18661,0.03
connector,3,15987,0.07
writer,3,7485,0.01
store,3,15544,0.04
handle,3,19844,0.05
args,3,7437,0.01
rdd,3,1173,0.01
address,3,6508,0.02
number,3,13397,0.02
listener,3,11932,0.01
presto,3,32141,0.24
facebook,3,29582,0.12
non,3,13848,0.03
stats,2,8463,0.03
score,2,2148,0.01
params,2,7963,0.01
models,2,4808,0.02
common,2,20817,0.04
pos,2,5967,0.01
process,2,10070,0.03
instances,2,4309,0.02
workflow,2,4184,0.02
internal,2,19993,0.06
remote,2,9049,0.04
version,2,16017,0.03
unit,2,5871,0.02
not,2,19388,0.03
dict,2,670,0.01
local,2,10393,0.02
buf,2,2863,0.01
offsets,2,1038,0.01
edu,2,734,0.0
last,2,9503,0.02
vector,2,2382,0.01
datatorrent,2,3333,0.04
project,2,4640,0.01
label,2,14290,0.02
metric,2,9334,0.05
metrics,2,6353,0.03
proto,2,15927,0.08
container,2,13253,0.04
stmt,2,6133,0.03
parse,2,21446,0.04
management,2,17155,0.11
handler,2,13047,0.02
javax,2,18566,0.03
directory,2,4328,0.01
role,2,10964,0.04
report,2,2440,0.01
equals,2,34686,0.04
parameters,2,11781,0.03
ast,2,6054,0.03
accumulo,2,4421,0.05
parser,2,16424,0.03
rule,2,4574,0.01
flow,2,5813,0.02
obj,2,17657,0.04
trigger,2,4395,0.02
plan,2,12319,0.07
attribute,2,15727,0.03
controller,2,3979,0.01
hive,2,11953,0.09
text,2,17083,0.01
examples,2,306,0.0
sequence,2,5605,0.02
println,2,2912,0.0
chunk,2,1789,0.01
header,2,5395,0.01
order,2,9949,0.03
nio,2,2778,0.01
springframework,2,6737,0.01
token,2,12402,0.02
repository,2,5797,0.01
socket,2,6903,0.02
example,2,942,0.0
call,2,6297,0.02
stack,2,23667,0.05
lang,2,24287,0.06
capacity,2,3078,0.02
charset,2,1226,0.01
cursor,2,2795,0.01
records,2,1993,0.01
channel,2,7113,0.02
immutable,2,13893,0.05
position,2,13494,0.02
spi,2,10549,0.07
page,2,16887,0.04
require,2,10486,0.05
slice,2,8066,0.05
cleanup,2,1120,0.01
database,2,6659,0.02
run,2,5802,0.01
registry,2,12583,0.03
left,2,7848,0.02
right,2,8452,0.02
flink,2,937,0.01
shifu,1,6306,0.05
bin,1,4262,0.02
train,1,2017,0.01
weight,1,4178,0.02
layer,1,2798,0.01
eval,1,2514,0.02
falcon,1,7366,0.09
feed,1,4692,0.03
extension,1,11785,0.04
clusters,1,1148,0.01
opt,1,3533,0.02
oozie,1,1696,0.02
action,1,9542,0.01
end,1,11894,0.02
yuzhouwan,1,650,0.01
bigdata,1,339,0.0
hbase,1,3212,0.03
protos,1,2573,0.02
salt,1,1892,0.01
cell,1,4869,0.02
curator,1,487,0.0
space,1,26162,0.1
gigaspaces,1,15931,0.15
replication,1,12285,0.09
packet,1,10420,0.04
spaces,1,4107,0.04
template,1,18325,0.05
transaction,1,13685,0.05
proxy,1,9447,0.03
holder,1,6723,0.02
mock,1,1882,0.01
supplier,1,3137,0.02
neat,1,650,0.01
andreinc,1,595,0.01
mockneat,1,583,0.01
net,1,5549,0.01
bound,1,2499,0.01
supp,1,185,0.0
dicts,1,111,0.0
abstraction,1,177,0.0
strings,1,1258,0.0
upper,1,2675,0.02
lower,1,3319,0.02
fmt,1,213,0.0
str,1,8258,0.02
syll,1,125,0.0
alphabet,1,245,0.0
digits,1,323,0.0
succinct,1,874,0.01
reg,1,2711,0.01
delta,1,1246,0.01
first,1,6386,0.02
match,1,4349,0.01
berkeley,1,264,0.0
search,1,3315,0.01
bits,1,1159,0.01
idx,1,2229,0.01
lookup,1,7708,0.04
results,1,6798,0.02
ctx,1,4426,0.01
limit,1,5730,0.02
sampling,1,369,0.0
rate,1,1880,0.01
repeat,1,318,0.0
apex,1,3058,0.03
malhar,1,2421,0.03
lib,1,2657,0.01
odps,1,7263,0.08
aliyun,1,4236,0.05
writable,1,5042,0.03
volume,1,3231,0.02
tunnel,1,1104,0.01
timeline,1,2758,0.02
aggregate,1,2943,0.02
ambari,1,4493,0.05
condition,1,3130,0.01
configuration,1,14631,0.02
hosts,1,1246,0.01
uuid,1,5312,0.02
bagri,1,3951,0.05
document,1,12576,0.03
shift,1,2314,0.01
hazelcast,1,2008,0.02
doc,1,4672,0.02
nonterminal,1,1188,0.01
uri,1,7636,0.01
helicalinsight,1,1717,0.01
efw,1,1385,0.01
chart,1,3453,0.01
security,1,9125,0.03
form,1,3033,0.01
servlet,1,4606,0.01
spbsu,1,581,0.01
flamestream,1,560,0.01
actor,1,2849,0.01
runtime,1,11641,0.03
front,1,399,0.0
edge,1,4190,0.01
global,1,3425,0.02
min,1,9216,0.02
graph,1,4084,0.01
acker,1,213,0.0
ref,1,10821,0.03
akka,1,372,0.0
rear,1,173,0.0
vertex,1,2037,0.01
tracking,1,1498,0.01
grouping,1,2262,0.02
datawave,1,9954,0.11
jexl,1,6086,0.07
nodes,1,6621,0.02
kie,1,57,0.0
business,1,4776,0.03
gson,1,1017,0.0
nifi,1,61,0.0
processor,1,4211,0.01
services,1,5110,0.02
change,1,5369,0.02
stateless,1,509,0.01
relationship,1,2138,0.01
matrixbi,1,8,0.0
filepath,1,91,0.0
seg,1,352,0.0
parent,1,10080,0.03
descriptor,1,14544,0.04
drl,1,7,0.0
stram,1,1769,0.02
operators,1,1418,0.01
logical,1,3311,0.02
helix,1,9039,0.09
accessor,1,7490,0.04
states,1,1893,0.01
partitions,1,4023,0.03
ideal,1,2155,0.02
connect,1,1848,0.01
hdfs,1,2388,0.02
topic,1,1424,0.01
confluent,1,165,0.0
avro,1,463,0.0
wal,1,953,0.01
partitioner,1,1706,0.02
kafka,1,2289,0.01
dir,1,5654,0.01
url,1,19219,0.02
configs,1,1956,0.01
eng,1,22106,0.19
spagobi,1,15087,0.13
sbi,1,12888,0.11
spago,1,10714,0.09
dao,1,12377,0.04
debug,1,22063,0.06
profile,1,8641,0.03
lens,1,7978,0.06
cube,1,4503,0.03
driver,1,9685,0.04
dim,1,1980,0.01
fact,1,1751,0.02
update,1,16912,0.04
part,1,5273,0.02
candidate,1,2093,0.01
all,1,17106,0.04
opts,1,819,0.01
scanner,1,3693,0.02
batch,1,8084,0.03
mutation,1,2638,0.02
structure,1,2911,0.02
mmtf,1,839,0.01
chain,1,2390,0.01
sdsc,1,409,0.0
atom,1,491,0.0
groups,1,5301,0.02
chains,1,341,0.0
indices,1,697,0.0
pdb,1,281,0.0
atoms,1,127,0.0
hdf,1,1013,0.01
jhdf,1,541,0.01
backing,1,652,0.01
unsigned,1,1066,0.01
dimensions,1,2030,0.01
link,1,2844,0.01
superblock,1,175,0.0
exceptions,1,2878,0.01
flags,1,1976,0.01
tree,1,10482,0.02
signature,1,4778,0.03
heap,1,1261,0.01
datasphere,1,4966,0.05
expr,1,5170,0.03
domain,1,9655,0.03
prep,1,2324,0.02
hydrograph,1,9740,0.1
grid,1,8824,0.03
swt,1,7118,0.04
button,1,6404,0.01
widget,1,4951,0.01
composite,1,7319,0.04
eclipse,1,5832,0.02
viewer,1,4791,0.02
widgets,1,2938,0.02
editor,1,3766,0.01
jaxb,1,4566,0.04
items,1,2186,0.01
events,1,3118,0.01
features,1,1407,0.01
none,1,2047,0.01
recommendation,1,187,0.0
predictionio,1,31,0.0
