keyword,doc_freq,total_freq,tfidf
get,17,143810,0.0
string,17,76308,0.0
set,17,66537,0.01
list,16,34634,0.01
name,15,38212,0.01
java,15,30695,0.0
map,15,24442,0.01
add,14,41638,0.01
exception,13,28553,0.0
util,13,28965,0.01
value,12,24111,0.01
type,12,23432,0.01
file,10,35780,0.02
path,10,14181,0.01
size,10,20086,0.01
integer,7,14040,0.03
sequence,7,15229,0.08
line,7,15570,0.03
length,7,12827,0.01
append,6,12274,0.02
parameters,6,17529,0.08
index,6,16000,0.01
array,6,14645,0.01
result,6,9206,0.01
hash,6,12424,0.03
org,6,20665,0.01
data,6,13250,0.01
override,5,10825,0.0
query,5,16336,0.05
javax,5,23390,0.07
table,5,14831,0.04
key,5,12753,0.01
text,5,10239,0.01
label,5,9720,0.03
factory,5,9942,0.02
put,5,10385,0.02
source,5,7457,0.02
sample,4,6281,0.03
model,4,12021,0.01
object,4,15895,0.01
log,4,9104,0.01
panel,4,16169,0.07
button,4,10072,0.02
max,4,11556,0.02
count,4,12713,0.02
code,4,5977,0.01
com,4,13887,0.01
next,4,8887,0.03
names,4,5906,0.02
files,3,3723,0.01
attribute,3,8333,0.03
collection,3,4780,0.02
peptide,3,15077,0.32
swing,3,20086,0.11
layout,3,22969,0.05
group,3,23649,0.07
spectrum,3,13524,0.21
event,3,12866,0.02
awt,3,9925,0.06
pane,3,7450,0.04
modification,3,16197,0.23
action,3,8810,0.02
component,3,8202,0.03
menu,3,4887,0.02
column,3,8172,0.03
variant,3,9834,0.12
builder,3,8060,0.01
options,3,2728,0.01
ref,3,4937,0.03
context,3,6408,0.01
node,3,5316,0.01
logger,3,9740,0.01
descriptor,3,5739,0.03
read,3,6752,0.02
error,3,6924,0.01
property,3,5134,0.01
workflow,2,9292,0.1
study,2,3591,0.07
experiment,2,5928,0.07
param,2,4082,0.02
status,2,3254,0.01
dao,2,3261,0.02
service,2,2511,0.01
library,2,1451,0.01
metadata,2,2216,0.01
protein,2,8829,0.16
identification,2,9565,0.13
evt,2,7259,0.08
match,2,8273,0.04
parameter,2,7757,0.03
selected,2,5598,0.03
dialog,2,5010,0.02
ion,2,7234,0.12
create,2,10143,0.02
item,2,11044,0.02
preferred,2,5267,0.06
mass,2,6626,0.11
annotation,2,4425,0.01
record,2,5072,0.02
vcf,2,10968,0.16
header,2,10731,0.05
nucleotide,2,1750,0.03
interval,2,4436,0.03
build,2,3163,0.01
with,2,4994,0.01
filter,2,7726,0.02
github,2,5980,0.02
dictionary,2,2922,0.03
option,2,5172,0.02
stream,2,10900,0.01
term,2,7298,0.06
version,2,5370,0.02
args,2,4551,0.01
atom,2,41868,0.47
test,2,9724,0.02
element,2,7411,0.02
number,2,6271,0.02
equals,2,12980,0.03
tool,2,6092,0.05
constants,2,4464,0.02
core,2,1558,0.0
input,2,9077,0.01
reference,2,5880,0.03
info,2,6718,0.01
utils,2,5394,0.01
write,2,8658,0.03
reader,2,9134,0.02
writer,2,11037,0.04
tree,2,5871,0.02
out,2,6824,0.01
description,2,8479,0.04
parser,2,5832,0.02
http,2,3237,0.01
entry,2,5969,0.01
iterator,2,8867,0.04
json,2,2909,0.01
system,2,4132,0.01
output,2,7824,0.01
response,2,3063,0.01
url,2,3805,0.01
results,2,3493,0.02
sql,2,3452,0.01
identifier,2,2064,0.02
pattern,2,5218,0.02
run,1,6829,0.03
processing,1,4169,0.04
seqware,1,3548,0.08
net,1,3335,0.01
sourceforge,1,2805,0.05
common,1,3561,0.01
accession,1,4176,0.09
lane,1,1944,0.03
registration,1,1751,0.02
runs,1,649,0.01
ius,1,1604,0.03
sequencer,1,1478,0.03
find,1,3202,0.01
