keyword,doc_freq,total_freq,tfidf
get,32,57079,0.0
string,31,32695,0.0
set,22,18258,0.0
override,22,8536,0.0
exception,22,11354,0.0
value,21,12714,0.01
java,21,11429,0.0
list,20,8129,0.0
util,20,8001,0.0
com,19,28446,0.03
type,18,14500,0.01
data,18,8742,0.01
name,15,6841,0.0
hash,14,7996,0.04
size,12,6898,0.01
key,12,12643,0.03
map,12,4020,0.0
price,12,4723,0.07
context,11,6136,0.01
wallet,11,15125,0.41
message,11,14693,0.05
order,10,6318,0.08
trade,10,2764,0.06
json,10,8149,0.04
address,10,13942,0.13
add,9,4730,0.0
decimal,9,5213,0.09
big,9,4314,0.06
currency,9,5567,0.13
utils,9,2409,0.01
input,9,8246,0.02
org,9,4443,0.0
view,9,18523,0.06
request,8,4541,0.02
time,8,3839,0.01
builder,8,15336,0.03
from,8,7172,0.05
api,8,2822,0.01
amount,8,5239,0.1
android,8,7466,0.03
text,8,9831,0.02
manager,8,3928,0.02
listener,8,3987,0.01
info,7,3237,0.01
index,7,5585,0.01
event,7,3083,0.01
instance,7,7488,0.03
array,7,4776,0.01
send,7,3532,0.04
length,7,3301,0.01
transaction,7,7812,0.1
put,6,3024,0.01
stream,6,3240,0.01
exchange,6,3699,0.06
symbol,6,2304,0.03
google,6,13018,0.09
pair,6,2356,0.03
entry,6,1661,0.01
orders,6,755,0.02
activity,6,5510,0.03
intent,6,3065,0.02
response,6,2295,0.01
channel,6,1556,0.01
core,6,4672,0.02
url,5,1810,0.01
service,5,3718,0.02
trading,5,1079,0.03
connection,5,1163,0.01
out,5,1752,0.01
object,5,6160,0.01
volume,5,1222,0.03
logger,5,1473,0.0
account,5,6399,0.09
model,5,3656,0.01
log,5,3796,0.01
holder,5,1912,0.02
path,5,1635,0.0
status,5,2598,0.01
output,5,4054,0.02
field,5,6891,0.03
github,4,1217,0.01
file,4,1987,0.0
item,4,2417,0.01
idx,4,2070,0.03
open,4,1066,0.01
format,4,2810,0.02
coins,4,1356,0.04
balance,4,2720,0.06
position,4,2684,0.02
target,4,497,0.0
factory,4,1879,0.01
dialog,4,3522,0.03
layout,4,3178,0.02
fragment,4,4920,0.04
support,4,1703,0.01
code,4,4571,0.02
count,4,2588,0.01
current,4,1423,0.01
result,4,6570,0.01
parse,4,4625,0.03
user,4,1646,0.01
reader,3,962,0.01
read,3,1946,0.01
node,3,1355,0.0
block,3,2532,0.02
serialized,3,2165,0.03
tick,3,707,0.02
gson,3,693,0.01
crypto,3,1926,0.04
coin,3,3352,0.1
token,3,1326,0.01
fee,3,3641,0.12
ticker,3,956,0.03
limit,3,1284,0.02
exit,3,411,0.01
error,3,2506,0.01
change,3,2449,0.03
params,3,1498,0.01
click,3,2519,0.02
chain,3,1869,0.03
adapter,3,1798,0.01
keys,3,972,0.01
lombok,3,529,0.01
hex,3,1658,0.03
indicator,3,3856,0.08
series,3,2223,0.03
indicators,3,729,0.02
close,3,1129,0.01
max,3,1545,0.01
rule,3,527,0.01
entity,3,836,0.01
socket,3,1616,0.02
bit,3,7138,0.09
protobuf,3,17549,0.31
buffer,3,2583,0.01
bitfinex,3,2523,0.07
client,3,2428,0.01
command,3,1432,0.01
handler,3,1903,0.01
book,3,973,0.02
property,3,1407,0.01
task,3,1684,0.01
system,3,739,0.0
internal,3,2037,0.02
invalid,3,1811,0.03
registry,3,3804,0.04
part,2,771,0.01
tree,2,974,0.01
binary,2,405,0.01
attribute,2,306,0.0
menu,2,673,0.01
content,2,1909,0.01
product,2,1074,0.02
after,2,989,0.02
sunrise,2,735,0.02
cryptocurrency,2,735,0.03
funding,2,401,0.01
values,2,854,0.0
find,2,1658,0.01
math,2,987,0.01
compare,2,420,0.01
last,2,1300,0.01
net,2,683,0.01
total,2,907,0.01
configuration,2,753,0.0
knowm,2,547,0.02
xchange,2,547,0.02
samourai,2,1650,0.07
obj,2,1809,0.02
prefs,2,1004,0.02
multy,2,3398,0.13
constants,2,2243,0.02
analytics,2,1570,0.04
bind,2,1731,0.02
realm,2,1616,0.03
wallets,2,805,0.03
fragments,2,606,0.01
seed,2,1710,0.04
container,2,1281,0.01
app,2,3510,0.02
accounts,2,1439,0.04
delegate,2,1867,0.03
number,2,2596,0.02
blockchain,2,1419,0.04
generator,2,245,0.0
strings,2,124,0.0
metadata,2,856,0.01
mnemonic,2,1038,0.04
password,2,1099,0.01
network,2,1873,0.02
integer,2,2048,0.01
signature,2,1234,0.03
pub,2,857,0.02
bits,2,248,0.0
cached,2,696,0.02
calculate,2,764,0.02
record,2,658,0.01
satisfied,2,309,0.01
criterion,2,552,0.01
than,2,318,0.01
minus,2,292,0.01
end,2,652,0.0
contact,2,849,0.02
impl,2,473,0.0
args,2,1209,0.01
proto,2,337,0.01
num,2,3046,0.02
bar,2,2726,0.03
loss,2,321,0.01
other,2,3335,0.04
jnidzwetzki,2,554,0.02
permission,2,591,0.01
orderbook,2,414,0.01
color,2,2200,0.01
chart,2,234,0.0
action,2,1717,0.01
bid,2,701,0.02
write,2,1619,0.01
state,2,3116,0.01
seq,2,262,0.01
common,2,944,0.01
ask,2,765,0.02
spec,2,519,0.01
config,2,1225,0.0
not,2,912,0.01
found,2,136,0.0
main,2,1568,0.01
received,2,213,0.01
runtime,2,385,0.0
script,2,2168,0.03
with,2,1468,0.01
secret,2,408,0.01
hmac,2,106,0.0
first,2,543,0.01
clear,2,2080,0.04
trades,2,527,0.01
session,2,421,0.0
kraken,2,359,0.01
algorithm,2,168,0.0
encode,2,506,0.01
digest,2,382,0.01
tag,2,2442,0.01
left,2,497,0.0
create,2,2727,0.01
right,2,375,0.0
equals,2,2182,0.01
print,2,715,0.01
annotation,2,1050,0.01
domain,2,340,0.0
market,2,812,0.02
test,2,616,0.0
htc,2,871,0.03
lang,2,3963,0.04
fields,2,2803,0.03
unknown,2,3688,0.08
extension,2,3744,0.05
parser,2,3001,0.02
descriptor,2,2860,0.03
payload,2,1411,0.02
shared,2,889,0.01
zxh,1,568,0.03
classpy,1,572,0.03
wasm,1,307,0.01
desc,1,387,0.01
constant,1,347,0.01
arg,1,499,0.01
classfile,1,192,0.01
bin,1,411,0.01
lua,1,172,0.0
chunk,1,230,0.0
opcode,1,199,0.0
mode,1,1400,0.01
abc,1,115,0.0
binarychunk,1,111,0.0
mask,1,201,0.0
parts,1,167,0.0
pool,1,656,0.01
func,1,88,0.0
table,1,1543,0.01
instrument,1,660,0.02
cryptotrader,1,451,0.02
estimator,1,402,0.01
site,1,380,0.01
