keyword,doc_freq,total_freq,tfidf
string,11,24022,0.0
get,11,39648,0.0
name,11,8746,0.01
set,11,19620,0.01
list,10,10524,0.01
type,9,6543,0.01
util,9,4047,0.0
override,8,7233,0.01
com,8,6702,0.01
value,7,5484,0.01
context,7,4416,0.02
view,6,9420,0.06
request,6,3628,0.02
data,6,10201,0.02
text,6,3568,0.01
map,6,4810,0.01
android,5,3392,0.02
image,5,3399,0.03
size,5,2781,0.01
builder,5,2546,0.01
layout,5,2995,0.03
org,5,10865,0.02
app,5,1928,0.02
url,5,3312,0.02
java,5,5918,0.0
exception,5,7250,0.0
item,5,4679,0.03
activity,4,2160,0.02
holder,4,1301,0.02
fragment,4,1371,0.02
support,4,1115,0.02
position,4,1232,0.02
adapter,4,1099,0.02
json,4,9174,0.07
time,4,2251,0.01
event,4,3678,0.02
key,4,3261,0.01
log,4,1218,0.01
response,3,1660,0.01
recycler,3,678,0.02
status,3,1094,0.01
object,3,5417,0.02
javax,3,2526,0.03
instance,3,2953,0.02
file,3,6186,0.01
logger,3,4676,0.03
path,3,2342,0.01
add,3,5979,0.01
wallpaper,3,3312,0.23
color,3,2978,0.03
helper,3,1732,0.03
wallpapers,3,791,0.06
drawable,3,1052,0.02
helpers,3,656,0.03
task,3,924,0.01
,3,1122,
non,3,842,0.01
content,3,2123,0.02
state,3,1213,0.01
preferences,3,744,0.02
intent,3,1107,0.01
core,3,1681,0.01
filter,3,2767,0.03
client,2,4435,0.04
method,2,758,0.01
integer,2,1370,0.01
create,2,2450,0.02
http,2,1458,0.01
append,2,2500,0.02
write,2,726,0.01
servlet,2,753,0.01
handler,2,1300,0.01
iterator,2,932,0.02
message,2,1564,0.01
bucket,2,370,0.01
user,2,2033,0.02
utils,2,2093,0.01
source,2,1529,0.01
result,2,1775,0.01
chart,2,2181,0.06
service,2,1752,0.01
card,2,4869,0.15
api,2,3110,0.03
icon,2,2968,0.05
table,2,2871,0.03
constants,2,2385,0.04
board,2,1537,0.06
category,2,979,0.02
database,2,936,0.01
bind,2,795,0.02
cursor,2,608,0.01
items,2,1077,0.02
dialog,2,1091,0.01
title,2,1999,0.04
manager,2,2753,0.02
node,2,1526,0.01
google,2,1932,0.02
selected,2,2119,0.05
tag,2,1705,0.02
droplet,1,381,0.03
tosc,1,239,0.02
action,1,1240,0.01
doandroidlib,1,161,0.01
region,1,148,0.0
droplets,1,76,0.01
serialized,1,221,0.01
test,1,344,0.0
objects,1,153,0.0
reflection,1,125,0.0
call,1,248,0.0
regions,1,66,0.0
digitaloceanapp,1,78,0.01
binding,1,437,0.01
actions,1,375,0.01
ocean,1,59,0.0
javametrics,1,185,0.01
metrics,1,608,0.02
cpu,1,178,0.01
used,1,165,0.01
println,1,176,0.0
latest,1,223,0.01
ibm,1,103,0.0
system,1,624,0.0
payload,1,105,0.0
heap,1,79,0.0
topic,1,79,0.0
process,1,413,0.01
header,1,811,0.01
aggregate,1,151,0.01
after,1,185,0.01
peak,1,56,0.0
next,1,764,0.01
mem,1,97,0.0
helicalinsight,1,1717,0.1
array,1,3386,0.01
efw,1,1385,0.08
xml,1,1266,0.02
connection,1,1341,0.02
directory,1,1293,0.02
cache,1,1675,0.03
resource,1,1500,0.02
role,1,826,0.02
properties,1,1196,0.02
factory,1,1316,0.01
report,1,870,0.02
parameter,1,790,0.01
application,1,1328,0.02
equals,1,1756,0.01
security,1,779,0.02
files,1,357,0.0
form,1,673,0.02
parameters,1,500,0.01
magic,1,9257,0.64
mtg,1,5491,0.44
panel,1,4176,0.07
var,1,3115,0.06
tools,1,2430,0.07
cards,1,1194,0.06
deck,1,1895,0.11
swing,1,1641,0.03
model,1,2060,0.01
beans,1,1451,0.04
stock,1,1250,0.06
services,1,1406,0.03
edition,1,1112,0.08
gui,1,1164,0.03
plugin,1,1778,0.03
pane,1,1165,0.02
price,1,1029,0.03
component,1,1738,0.02
put,1,2389,0.01
provider,1,1882,0.03
async,1,546,0.01
material,1,735,0.02
dashboard,1,790,0.04
candybar,1,531,0.04
icons,1,292,0.01
bar,1,1112,0.02
resources,1,1034,0.02
candy,1,259,0.02
sensor,1,528,0.02
sensors,1,270,0.02
update,1,1230,0.02
nodes,1,251,0.01
timestamp,1,488,0.01
steppschuh,1,139,0.01
visualization,1,226,0.01
net,1,766,0.01
batch,1,190,0.0
listener,1,1483,0.01
dimension,1,453,0.01
datalogger,1,119,0.01
device,1,212,0.0
reachability,1,118,0.01
available,1,263,0.01
padded,1,104,0.01
receiver,1,128,0.0
tracker,1,121,0.0
connected,1,119,0.0
start,1,1252,0.01
measurement,1,869,0.04
srotya,1,805,0.04
sidewinder,1,757,0.04
storage,1,910,0.02
field,1,2002,0.02
point,1,788,0.01
series,1,678,0.02
function,1,988,0.01
buffer,1,618,0.01
engine,1,595,0.01
buf,1,485,0.01
entry,1,1811,0.02
writer,1,592,0.01
tags,1,318,0.01
read,1,814,0.01
counter,1,583,0.01
wal,1,291,0.01
replica,1,288,0.01
lock,1,292,0.01
output,1,805,0.01
points,1,214,0.0
count,1,1687,0.01
pipeline,1,197,0.01
joblift,1,105,0.01
gitlabpanorama,1,105,0.01
gitlab,1,117,0.01
project,1,103,0.0
pair,1,217,0.0
springframework,1,481,0.01
pipelines,1,53,0.0
ref,1,258,0.01
instant,1,256,0.01
annotation,1,796,0.01
configuration,1,1215,0.01
say,1,54,0.0
property,1,1320,0.01
created,1,207,0.01
commons,1,400,0.01
autowired,1,135,0.0
stream,1,1196,0.0
webhook,1,39,0.0
pattern,1,556,0.01
models,1,139,0.0
namespaced,1,36,0.0
projects,1,27,0.0
avatar,1,51,0.0
info,1,1428,0.01
