keyword,doc_freq,total_freq,tfidf
string,23,37512,0.0
get,23,40703,0.0
list,22,14840,0.01
set,20,16903,0.0
name,18,10519,0.01
override,17,7151,0.01
java,17,6142,0.0
message,16,15858,0.07
text,15,8976,0.03
com,15,16370,0.02
response,15,13570,0.08
util,15,6120,0.0
exception,15,8683,0.0
type,14,10306,0.01
map,13,6763,0.01
object,12,4435,0.01
value,12,5611,0.01
context,12,9255,0.03
json,11,5242,0.03
url,10,4940,0.03
request,10,11829,0.06
user,10,9583,0.07
add,10,4857,0.0
model,9,5367,0.02
result,9,3318,0.01
data,9,8397,0.01
builder,8,7419,0.02
org,8,2710,0.0
key,8,5926,0.02
array,8,2405,0.0
event,7,4840,0.02
bot,7,3378,0.11
view,7,13502,0.06
android,7,6068,0.03
logger,7,2175,0.01
item,7,4033,0.02
layout,7,2922,0.02
hash,6,2275,0.01
http,6,3020,0.02
api,6,11361,0.07
file,6,4666,0.01
reply,6,2061,0.06
config,6,3232,0.02
listener,6,4428,0.02
image,5,3436,0.02
chat,5,4984,0.13
client,5,3431,0.03
service,5,6350,0.04
javax,5,1498,0.01
click,5,2576,0.03
create,5,3183,0.02
action,5,2357,0.01
element,4,1703,0.01
channel,4,5351,0.06
handler,4,2795,0.02
command,4,1666,0.01
node,4,827,0.0
messages,4,746,0.01
info,4,2966,0.01
content,4,3321,0.02
post,4,4940,0.08
results,4,919,0.01
stream,4,1288,0.0
manager,4,1818,0.01
input,4,1990,0.01
activity,4,1860,0.01
support,4,858,0.01
entity,4,2425,0.02
group,4,5250,0.05
intent,4,3538,0.03
color,4,3729,0.03
conversation,4,5386,0.17
payload,3,2944,0.05
code,3,2226,0.01
equals,3,2212,0.01
apache,3,580,0.01
button,3,1920,0.01
servlet,3,683,0.01
notification,3,2165,0.04
configuration,3,1265,0.01
events,3,793,0.01
send,3,1215,0.02
utils,3,4058,0.01
time,3,3209,0.02
out,3,511,0.0
room,3,3559,0.1
users,3,2477,0.05
integer,3,2345,0.01
username,3,998,0.02
instance,3,2661,0.02
entry,3,872,0.01
token,3,3056,0.03
speech,3,332,0.01
watson,3,64,0.0
recycler,3,766,0.01
ibm,3,64,0.0
toast,3,361,0.01
adapter,3,1332,0.01
repository,3,2591,0.03
document,3,1745,0.02
state,3,1947,0.01
not,3,1975,0.02
error,3,2717,0.01
tag,3,2012,0.02
category,3,704,0.01
title,2,1676,0.02
append,2,1146,0.01
serialized,2,796,0.02
other,2,912,0.02
buttons,2,245,0.01
rhs,2,114,0.0
sender,2,523,0.01
google,2,1196,0.01
attachment,2,1306,0.04
messaging,2,99,0.0
recipient,2,170,0.01
github,2,120,0.0
simple,2,405,0.01
channels,2,789,0.02
credentials,2,203,0.01
write,2,480,0.0
mapper,2,445,0.01
format,2,992,0.01
enable,2,696,0.02
parse,2,1209,0.01
start,2,1483,0.01
date,2,1710,0.01
size,2,1989,0.0
end,2,850,0.01
reader,2,362,0.0
commands,2,366,0.01
feedback,2,720,0.03
services,2,837,0.02
check,2,1099,0.01
site,2,3811,0.13
storage,2,602,0.01
step,2,931,0.01
search,2,1674,0.02
next,2,838,0.01
resource,2,3276,0.03
status,2,1901,0.01
req,2,5096,0.1
log,2,1778,0.01
types,2,327,0.0
body,2,2045,0.03
base,2,1089,0.01
developer,2,38,0.0
options,2,886,0.01
audio,2,637,0.01
record,2,655,0.01
permission,2,484,0.01
microphone,2,32,0.0
position,2,964,0.01
xml,2,1784,0.02
