keyword,doc_freq,total_freq,tfidf
java,4,355,0.0
get,4,719,0.0
string,4,481,0.0
util,4,225,0.0
data,4,349,0.02
input,3,264,0.03
file,3,434,0.02
set,3,455,0.0
list,3,211,0.0
map,3,189,0.01
image,2,385,0.07
exception,2,238,0.0
array,2,193,0.01
com,2,123,0.01
builder,2,130,0.01
override,2,101,0.0
output,2,180,0.03
out,2,246,0.03
system,2,218,0.03
println,2,160,0.04
size,2,176,0.01
max,2,125,0.02
entry,2,120,0.02
rate,2,109,0.07
model,2,131,0.01
layer,2,187,0.1
activation,2,123,0.1
add,2,211,0.01
layers,2,73,0.05
label,2,112,0.03
integer,2,94,0.02
column,2,89,0.02
categories,1,116,0.09
stream,1,108,0.01
grpc,1,99,0.09
result,1,97,0.01
detection,1,93,0.08
utils,1,91,0.01
completion,1,72,0.07
channel,1,59,0.02
mask,1,49,0.03
complete,1,48,0.04
url,1,51,0.01
segmentation,1,51,0.06
vision,1,39,0.05
face,1,39,0.03
bounding,1,39,0.04
width,1,62,0.02
info,1,41,0.01
category,1,38,0.02
managed,1,33,0.03
simple,1,33,0.01
buffered,1,32,0.01
height,1,59,0.02
stub,1,31,0.03
read,1,29,0.01
detect,1,24,0.02
box,1,24,0.01
host,1,20,0.01
port,1,21,0.01
net,1,48,0.01
classification,1,97,0.09
channels,1,17,0.01
type,1,77,0.0
top,1,25,0.01
stop,1,456,0.24
traj,1,266,0.46
trajectory,1,181,0.25
time,1,192,0.03
onethreeseven,1,169,0.29
min,1,182,0.05
stats,1,129,0.07
trajs,1,55,0.09
stops,1,32,0.05
variance,1,90,0.15
algo,1,78,0.07
run,1,81,0.03
posmit,1,79,0.14
projection,1,73,0.08
search,1,74,0.03
region,1,69,0.05
stopmove,1,64,0.11
value,1,100,0.0
idx,1,69,0.04
datastructures,1,60,0.07
resolver,1,60,0.04
millis,1,62,0.04
command,1,57,0.01
move,1,47,0.03
spatial,1,54,0.05
param,1,52,0.02
radius,1,59,0.04
field,1,75,0.01
composite,1,49,0.04
spatio,1,47,0.08
moves,1,36,0.04
lon,1,41,0.05
cluster,1,37,0.02
lat,1,41,0.03
network,1,379,0.17
neuron,1,319,0.34
neural,1,210,0.23
num,1,175,0.05
ann,1,126,0.13
config,1,145,0.02
gentic,1,118,0.14
ewimberley,1,124,0.14
neurons,1,66,0.08
next,1,145,0.03
mutate,1,81,0.09
training,1,87,0.07
gnn,1,76,0.09
networks,1,33,0.04
prob,1,73,0.07
per,1,69,0.05
function,1,74,0.02
confusion,1,61,0.07
indices,1,78,0.07
hash,1,72,0.01
current,1,78,0.02
genetic,1,56,0.07
error,1,59,0.01
labels,1,79,0.04
visualizer,1,54,0.05
matrix,1,52,0.02
weight,1,65,0.04
weights,1,55,0.05
learning,1,54,0.05
bias,1,49,0.05
org,1,331,0.01
reader,1,236,0.05
record,1,209,0.07
iterator,1,214,0.08
transform,1,155,0.09
api,1,132,0.02
split,1,116,0.06
datavec,1,106,0.1
process,1,91,0.04
path,1,81,0.01
schema,1,70,0.03
records,1,31,0.02
linalg,1,67,0.06
sentence,1,64,0.05
conf,1,61,0.04
build,1,71,0.02
spark,1,54,0.03
arrays,1,41,0.02
args,1,60,0.01
factory,1,60,0.01
word,1,38,0.02
columns,1,26,0.01
example,1,48,0.02
main,1,71,0.02
