keyword,doc_freq,total_freq,tfidf
get,22,17494,0.0
string,22,17790,0.0
exception,22,6533,0.01
java,21,4539,0.0
util,19,3467,0.01
list,18,6645,0.01
name,18,6148,0.01
set,17,4760,0.0
file,15,8122,0.03
override,14,3924,0.01
add,14,5751,0.01
value,12,3803,0.01
stream,11,2228,0.02
result,11,1810,0.01
command,10,4376,0.09
type,10,4986,0.02
length,9,2717,0.02
map,9,2574,0.01
path,9,2363,0.02
message,9,1813,0.02
args,9,2115,0.03
org,9,2350,0.01
com,8,2735,0.01
line,8,2193,0.03
config,8,1602,0.02
option,8,1416,0.04
output,7,1820,0.02
input,7,1965,0.02
key,7,2350,0.02
logger,7,1997,0.02
utils,7,1562,0.01
builder,7,3039,0.02
out,7,2117,0.03
files,6,751,0.02
size,6,1991,0.01
append,6,1554,0.02
client,6,2326,0.04
commands,6,1236,0.05
format,6,1750,0.03
configuration,6,2085,0.04
request,5,715,0.01
error,5,1438,0.02
names,5,640,0.01
property,5,2762,0.04
server,5,1073,0.02
log,5,1151,0.01
print,5,2120,0.05
info,5,1683,0.02
read,4,873,0.02
,4,1629,
test,4,1892,0.03
cli,4,1945,0.13
version,4,1236,0.03
options,4,1603,0.03
system,4,2279,0.03
context,4,2421,0.02
folder,4,425,0.02
address,4,1633,0.05
target,4,615,0.01
arg,4,1011,0.05
text,4,1997,0.01
array,4,3280,0.01
equals,4,1504,0.02
model,4,1565,0.01
data,4,2292,0.01
argument,4,824,0.03
entry,3,1130,0.02
api,3,2072,0.03
properties,3,894,0.02
run,3,1004,0.03
description,3,906,0.03
loader,3,890,0.03
plugin,3,292,0.01
task,3,686,0.02
time,3,1309,0.02
current,3,1106,0.02
put,3,2368,0.02
arguments,3,1243,0.07
tools,3,697,0.04
group,3,1329,0.03
base,3,1477,0.03
directory,3,1054,0.04
common,3,1432,0.04
object,3,1367,0.01
service,3,1066,0.02
response,3,748,0.01
manager,3,2135,0.03
handler,2,733,0.01
buffered,2,367,0.01
writer,2,692,0.02
collectors,2,296,0.02
max,2,1055,0.01
clients,2,128,0.01
launcher,2,221,0.02
dir,2,937,0.03
home,2,198,0.01
plugins,2,611,0.03
level,2,942,0.03
job,2,125,0.0
jar,2,92,0.01
app,2,683,0.01
state,2,1033,0.01
hash,2,1102,0.02
filter,2,1318,0.03
call,2,463,0.02
concurrent,2,533,0.03
item,2,1185,0.02
width,2,332,0.01
favre,2,170,0.02
mode,2,377,0.01
bundle,2,290,0.01
descriptor,2,389,0.01
values,2,876,0.01
and,2,619,0.02
cmd,2,1301,0.07
invalid,2,756,0.04
color,2,1379,0.03
from,2,946,0.02
reader,2,1222,0.02
record,2,471,0.01
regex,2,625,0.03
number,2,999,0.02
integer,2,1484,0.02
console,2,561,0.04
condition,2,1409,0.08
validation,2,593,0.03
source,2,823,0.01
token,2,616,0.01
lambda,2,317,0.02
github,2,249,0.01
locale,2,254,0.01
method,2,515,0.01
optional,2,454,0.02
paths,2,138,0.01
factory,2,498,0.01
services,2,133,0.01
sender,2,203,0.01
core,2,296,0.0
player,2,150,0.01
annotation,2,268,0.01
count,2,965,0.01
listener,2,679,0.01
main,2,1280,0.03
parameter,2,377,0.01
parse,2,866,0.02
debug,2,2066,0.07
location,2,264,0.01
