keyword,doc_freq,total_freq,tfidf
get,3,5349,0.0
set,3,1883,0.01
string,3,1965,0.0
type,3,689,0.01
index,2,867,0.03
data,2,1319,0.03
file,2,1034,0.02
max,2,357,0.02
value,2,1115,0.01
length,2,926,0.03
map,2,796,0.01
java,2,886,0.0
path,2,642,0.02
exception,2,738,0.0
add,2,678,0.01
key,2,548,0.02
util,2,507,0.0
pix,1,132,0.07
all,1,269,0.04
graidient,1,66,0.04
atan,1,63,0.04
image,1,101,0.01
width,1,437,0.05
grad,1,54,0.03
bitmap,1,58,0.01
height,1,180,0.02
kernel,1,45,0.02
pixel,1,32,0.01
mag,1,31,0.02
threshold,1,31,0.01
math,1,345,0.05
color,1,91,0.01
tan,1,27,0.01
gaussian,1,26,0.01
gradient,1,31,0.01
kwidth,1,23,0.01
filter,1,231,0.02
offset,1,62,0.01
buffered,1,108,0.02
view,1,207,0.01
android,1,21,0.0
edges,1,35,0.01
abs,1,25,0.01
radius,1,16,0.0
magnitude,1,17,0.01
pixels,1,12,0.0
sum,1,97,0.03
out,1,206,0.01
picsize,1,15,0.01
output,1,140,0.01
canny,1,15,0.01
source,1,43,0.0
init,1,98,0.02
click,1,12,0.0
imagem,1,12,0.01
high,1,37,0.01
low,1,42,0.02
hypot,1,11,0.01
contrast,1,11,0.01
size,1,1308,0.03
cycle,1,1024,0.43
integer,1,1085,0.08
energy,1,954,0.42
aptamer,1,846,0.44
selection,1,825,0.19
text,1,726,0.03
table,1,708,0.06
list,1,729,0.0
cluster,1,634,0.14
array,1,659,0.01
entry,1,651,0.06
pool,1,632,0.12
configuration,1,629,0.06
level,1,579,0.09
apta,1,616,0.32
sequence,1,597,0.11
pane,1,573,0.11
property,1,558,0.04
experiment,1,554,0.22
fxml,1,537,0.13
logger,1,519,0.03
log,1,555,0.02
iterator,1,581,0.09
progress,1,517,0.09
javafx,1,506,0.09
cycles,1,264,0.14
count,1,471,0.03
column,1,447,0.05
controller,1,441,0.06
fold,1,430,0.2
button,1,426,0.04
hash,1,444,0.03
box,1,405,0.07
factory,1,485,0.03
position,1,325,0.04
distance,1,345,0.07
state,1,266,0.01
github,1,167,0.02
liblevenshtein,1,157,0.07
build,1,225,0.02
dawg,1,180,0.08
node,1,214,0.01
com,1,247,0.0
transducer,1,152,0.07
dictionary,1,129,0.04
next,1,526,0.05
option,1,136,0.02
serializable,1,117,0.03
transition,1,95,0.02
object,1,279,0.01
stream,1,313,0.01
term,1,124,0.04
,1,107,
non,1,120,0.02
builder,1,219,0.01
function,1,105,0.01
version,1,113,0.01
collection,1,93,0.01
options,1,84,0.01
lombok,1,80,0.01
put,1,379,0.02
override,1,409,0.0
algorithm,1,89,0.02
proto,1,54,0.02
positions,1,44,0.02
args,1,79,0.01
serial,1,67,0.02
candidate,1,55,0.02
uid,1,67,0.02
