keyword,doc_freq,total_freq,tfidf
get,13,18712,0.0
string,13,24001,0.0
java,13,5901,0.0
exception,13,7622,0.0
value,13,5941,0.01
util,13,6121,0.01
map,12,6251,0.01
list,12,6429,0.0
type,11,5849,0.01
name,11,9810,0.01
set,11,6208,0.0
key,10,5810,0.02
file,10,4099,0.01
object,9,3323,0.01
path,9,4873,0.02
array,8,1968,0.0
org,8,2893,0.01
override,8,4685,0.01
field,7,1414,0.01
stream,7,1545,0.01
instance,6,4228,0.04
entry,6,2668,0.03
context,6,2192,0.01
add,6,2296,0.0
property,6,3451,0.03
configuration,5,926,0.01
input,5,1024,0.01
config,5,9342,0.07
properties,5,1501,0.02
internal,4,1299,0.03
lang,4,570,0.01
collection,4,1037,0.02
comment,4,525,0.02
hash,4,1789,0.02
format,4,1181,0.01
core,4,2432,0.02
builder,4,2360,0.01
parse,4,977,0.02
result,4,3350,0.01
system,4,947,0.01
annotation,3,1765,0.02
fields,3,238,0.0
from,3,850,0.01
put,3,1383,0.01
date,3,560,0.01
com,3,10829,0.02
function,3,858,0.01
utils,3,5412,0.03
parser,3,650,0.01
conversion,3,356,0.02
index,3,848,0.0
node,3,3072,0.02
converter,3,1094,0.03
append,3,1175,0.01
empty,3,1624,0.03
,3,2020,
source,3,1289,0.01
json,3,2973,0.03
data,3,4687,0.01
logger,3,2104,0.01
size,3,2042,0.01
api,3,1859,0.02
props,3,305,0.01
section,2,301,0.01
naming,2,3274,0.19
obj,2,863,0.02
out,2,682,0.01
retention,2,301,0.01
writer,2,533,0.01
predicate,2,323,0.01
manager,2,2494,0.02
tag,2,1133,0.01
ref,2,393,0.01
time,2,2654,0.02
ctx,2,586,0.02
text,2,838,0.0
element,2,575,0.01
non,2,1459,0.02
require,2,1157,0.04
target,2,907,0.01
common,2,3123,0.05
server,2,4362,0.06
service,2,9725,0.09
session,2,787,0.01
executor,2,1663,0.05
http,2,2753,0.03
request,2,4789,0.03
objects,2,849,0.02
group,2,4047,0.05
event,2,2220,0.02
resource,2,1515,0.02
param,2,1376,0.02
level,2,379,0.01
values,2,811,0.01
trim,2,224,0.01
line,2,544,0.01
integer,2,853,0.01
prop,2,671,0.02
print,2,336,0.0
adapter,1,157,0.0
mkotb,1,85,0.01
configapi,1,85,0.01
xyz,1,85,0.0
adapt,1,56,0.01
handler,1,712,0.01
atomic,1,510,0.02
strategy,1,149,0.0
bukkit,1,43,0.0
internals,1,28,0.0
helper,1,608,0.01
memory,1,136,0.0
dummy,1,41,0.0
serializable,1,196,0.01
adapters,1,16,0.0
write,1,1454,0.02
commented,1,387,0.03
electronwill,1,351,0.03
nightconfig,1,351,0.03
output,1,604,0.0
read,1,1118,0.01
parsing,1,284,0.02
spec,1,280,0.01
unmodifiable,1,240,0.02
supplier,1,467,0.02
wrapper,1,505,0.01
mode,1,408,0.01
transformation,1,149,0.01
indent,1,225,0.01
create,1,901,0.01
cubeengine,1,296,0.03
reflected,1,206,0.02
nodes,1,107,0.0
reflect,1,299,0.01
codec,1,136,0.0
convert,1,594,0.02
reflector,1,64,0.01
clazz,1,349,0.01
converters,1,38,0.0
illegal,1,607,0.02
nbt,1,34,0.0
mapped,1,66,0.0
toml,1,651,0.05
table,1,404,0.0
dotted,1,152,0.01
local,1,912,0.02
position,1,161,0.0
error,1,1549,0.01
version,1,818,0.01
offset,1,308,0.0
mutable,1,114,0.01
tomlj,1,61,0.01
appendable,1,66,0.01
lexer,1,58,0.0
visitor,1,85,0.0
contains,1,620,0.02
tables,1,38,0.0
jsonex,1,301,0.02
coder,1,316,0.02
cls,1,384,0.02
str,1,816,0.02
option,1,305,0.0
bean,1,600,0.01
opt,1,201,0.01
src,1,599,0.02
cache,1,1317,0.02
getter,1,132,0.0
child,1,289,0.01
lombok,1,101,0.0
injectable,1,103,0.01
creator,1,340,0.01
length,1,1005,0.0
jsoncoder,1,78,0.01
decode,1,145,0.01
linecorp,1,2261,0.18
revision,1,2246,0.11
centraldogma,1,1811,0.17
project,1,1824,0.04
repository,1,1767,0.03
future,1,1364,0.04
repo,1,762,0.03
change,1,1489,0.03
completable,1,796,0.03
author,1,751,0.03
query,1,1356,0.02
dogma,1,704,0.06
nullable,1,848,0.02
command,1,695,0.01
pattern,1,1119,0.02
central,1,610,0.04
jackson,1,1042,0.03
commit,1,551,0.03
millis,1,1177,0.04
cause,1,779,0.03
armeria,1,517,0.05
nacos,1,9237,0.74
alibaba,1,6888,0.45
info,1,5158,0.04
client,1,5075,0.06
task,1,2292,0.04
response,1,2380,0.02
tenant,1,2011,0.1
metadata,1,2204,0.04
distro,1,1629,0.11
cluster,1,1529,0.04
page,1,1499,0.03
check,1,1740,0.03
count,1,1581,0.01
namespace,1,1375,0.05
constretto,1,406,0.04
store,1,433,0.01
tags,1,292,0.01
tagged,1,125,0.01
parameter,1,300,0.0
method,1,1135,0.01
expression,1,245,0.01
variable,1,141,0.0
generic,1,210,0.01
constructor,1,174,0.0
types,1,310,0.0
ldap,1,153,0.01
jeasy,1,93,0.01
processor,1,726,0.02
processing,1,163,0.01
processors,1,112,0.01
injector,1,80,0.0
fail,1,310,0.02
fast,1,61,0.0
order,1,124,0.0
jar,1,158,0.01
message,1,1197,0.01
manifest,1,43,0.0
maven,1,27,0.0
logging,1,113,0.0
log,1,1643,0.01
policy,1,198,0.01
separator,1,440,0.02
parts,1,98,0.0
provider,1,369,0.01
number,1,309,0.0
lines,1,104,0.0
item,1,533,0.0
trendafilov,1,13,0.0
confucius,1,13,0.0
split,1,317,0.01
substitution,1,8,0.0
all,1,1403,0.02
filename,1,40,0.0
unresolved,1,10,0.0
inside,1,5,0.0
loader,1,1153,0.03
problem,1,446,0.02
andhow,1,457,0.04
yarnandtail,1,440,0.04
problems,1,157,0.01
and,1,984,0.02
export,1,303,0.02
names,1,400,0.01
how,1,229,0.01
canonical,1,274,0.02
init,1,554,0.01
base,1,961,0.01
loaders,1,49,0.0
groups,1,106,0.0
callback,1,620,0.01
vault,1,161,0.01
scalecube,1,111,0.01
loaded,1,152,0.01
duration,1,172,0.01
optional,1,474,0.01
impl,1,664,0.01
registry,1,372,0.01
multimap,1,63,0.01
old,1,466,0.02
origin,1,131,0.01
host,1,301,0.01
collectors,1,142,0.01
sources,1,141,0.01
events,1,67,0.0
sample,1,598,0.01
bounds,1,252,0.01
max,1,1303,0.01
instances,1,667,0.03
min,1,352,0.01
crnt,1,160,0.01
attribute,1,269,0.0
dist,1,144,0.01
best,1,188,0.01
conf,1,227,0.01
atts,1,107,0.01
round,1,119,0.01
num,1,443,0.01
att,1,82,0.0
test,1,361,0.0
ins,1,97,0.01
connection,1,1364,0.02
zyq,1,80,0.01
stack,1,271,0.0
step,1,93,0.0
params,1,798,0.01
ict,1,77,0.01
perm,1,76,0.0
trace,1,521,0.01
bound,1,108,0.0
