keyword,doc_freq,total_freq,tfidf
get,22,78847,0.0
string,21,55798,0.0
exception,19,35280,0.01
set,18,27646,0.0
name,18,26598,0.02
list,18,15308,0.0
override,18,13942,0.01
value,15,15967,0.01
java,15,16306,0.0
key,13,22638,0.04
com,13,3585,0.0
file,13,23066,0.02
map,12,12583,0.01
util,12,10382,0.0
size,12,9840,0.01
type,11,19329,0.02
data,11,11736,0.01
path,10,16820,0.03
storage,10,7270,0.07
context,9,14757,0.03
add,9,8229,0.0
stream,9,7606,0.01
object,8,9671,0.02
array,8,8372,0.01
builder,8,4485,0.01
item,7,7652,0.03
view,7,5253,0.02
org,6,28319,0.03
user,6,10944,0.05
result,6,7099,0.01
mode,6,3920,0.03
android,6,2391,0.01
text,6,3485,0.01
input,6,3255,0.01
create,6,5082,0.02
read,6,7159,0.04
error,5,7786,0.02
utils,5,4766,0.01
info,5,14953,0.04
request,5,14519,0.04
log,5,8254,0.02
model,5,2273,0.01
all,5,2353,0.02
activity,5,1367,0.01
hash,5,9660,0.04
listener,5,3535,0.01
length,5,7410,0.01
keys,5,1492,0.01
instance,4,3559,0.01
message,4,11713,0.03
optional,4,3045,0.03
delete,4,1540,0.02
output,4,2530,0.01
max,4,5134,0.02
field,4,5229,0.02
put,4,5446,0.02
logger,3,7828,0.02
manager,3,5502,0.02
entity,3,4029,0.03
api,3,2973,0.01
test,3,1431,0.01
flowable,3,360,0.01
store,3,2104,0.02
items,3,1182,0.01
subscribe,3,291,0.01
with,3,2747,0.01
app,3,2172,0.01
state,3,10674,0.03
cipher,3,1028,0.02
entry,3,5647,0.03
encryption,3,361,0.01
spec,3,531,0.01
encrypt,3,227,0.01
secret,3,828,0.01
,3,3090,
task,3,2583,0.02
query,3,3072,0.02
completable,3,2314,0.04
event,3,4131,0.01
child,3,3959,0.03
clazz,3,450,0.01
command,3,3138,0.02
http,3,2396,0.01
lock,3,2764,0.03
url,3,3258,0.01
connection,3,4309,0.03
future,3,2973,0.03
call,3,1543,0.01
buffer,3,3841,0.02
access,3,4755,0.06
index,3,6761,0.01
main,3,753,0.0
block,3,2446,0.02
job,2,5860,0.06
resource,2,6043,0.04
service,2,5313,0.02
node,2,22998,0.07
time,2,8670,0.03
source,2,4252,0.02
client,2,5131,0.02
table,2,3133,0.01
version,2,3522,0.02
models,2,134,0.0
update,2,4317,0.03
insert,2,1688,0.03
integer,2,3877,0.02
filter,2,2148,0.01
throwable,2,722,0.01
subscriber,2,108,0.0
sorting,2,96,0.0
dao,2,1123,0.01
equals,2,5969,0.02
playmoweb,2,112,0.0
sort,2,477,0.01
document,2,3599,0.03
root,2,5514,0.05
color,2,2676,0.01
content,2,2496,0.01
column,2,2137,0.01
icon,2,1104,0.01
action,2,2055,0.01
provider,2,1581,0.01
fragment,2,936,0.01
menu,2,958,0.01
intent,2,758,0.0
algorithm,2,338,0.0
github,2,237,0.0
crypto,2,2876,0.06
preferences,2,244,0.0
javax,2,2612,0.01
