keyword,doc_freq,total_freq,tfidf
get,10,13941,0.0
width,9,2749,0.08
color,8,5510,0.12
set,8,6858,0.0
array,8,3567,0.02
string,7,8638,0.0
override,7,5181,0.01
size,6,4715,0.03
value,6,5512,0.02
height,6,1909,0.06
max,6,2764,0.05
view,5,1215,0.02
add,5,2751,0.01
buffer,5,3207,0.07
list,5,3205,0.0
type,5,3372,0.01
com,5,1280,0.01
length,5,2785,0.02
java,4,3514,0.0
text,4,2105,0.02
util,4,2356,0.0
vertex,4,3121,0.19
name,4,4205,0.01
context,4,1335,0.01
min,4,2428,0.07
shape,4,1654,0.1
math,4,2634,0.09
len,4,1299,0.08
shader,3,1397,0.11
canvas,3,911,0.06
render,3,950,0.07
label,3,1140,0.03
exception,3,2520,0.0
create,3,877,0.01
stroke,3,1867,0.16
data,3,4097,0.02
options,3,1827,0.05
model,3,2612,0.03
object,3,2350,0.02
line,3,2469,0.05
map,3,2161,0.01
point,3,1939,0.06
android,3,437,0.01
from,3,1153,0.03
temp,3,1018,0.05
frame,3,1924,0.06
equals,3,1193,0.02
right,3,1118,0.05
index,3,4789,0.04
texture,3,1647,0.08
image,3,2828,0.06
stream,2,1840,0.02
renderer,2,585,0.04
content,2,816,0.01
colors,2,490,0.04
font,2,1142,0.06
element,2,1594,0.03
coords,2,1035,0.1
scale,2,1283,0.06
page,2,280,0.01
awt,2,808,0.04
enabled,2,563,0.03
border,2,435,0.02
radius,2,619,0.04
column,2,1040,0.03
direction,2,223,0.01
config,2,346,0.01
off,2,539,0.05
system,2,889,0.01
spot,2,352,0.05
current,2,645,0.01
position,2,876,0.02
offset,2,1431,0.04
paint,2,778,0.04
range,2,894,0.04
left,2,1069,0.04
fill,2,1453,0.12
count,2,3864,0.06
values,2,1495,0.03
tex,2,1283,0.12
tess,2,1245,0.14
row,2,3252,0.1
graphics,2,1419,0.07
key,2,1920,0.02
pixel,2,1059,0.07
target,2,1531,0.03
draw,2,1543,0.09
surface,2,529,0.03
layer,2,1228,0.06
location,2,596,0.02
attributes,2,769,0.03
matrix,2,2725,0.1
log,2,1041,0.01
result,2,1539,0.01
append,2,1956,0.03
scene,2,474,0.02
arrays,2,892,0.04
svg,1,520,0.05
hageldave,1,420,0.05
jplotter,1,397,0.05
utils,1,474,0.0
details,1,316,0.02
objects,1,382,0.01
panel,1,288,0.01
coord,1,416,0.05
lines,1,421,0.03
triangle,1,372,0.04
container,1,249,0.01
,1,374,
doc,1,210,0.01
org,1,548,0.0
global,1,216,0.02
chart,1,3254,0.19
prop,1,1100,0.07
series,1,942,0.06
core,1,1391,0.02
axis,1,1220,0.09
style,1,925,0.05
labels,1,687,0.04
example,1,473,0.02
anan,1,459,0.06
lib,1,396,0.02
gradient,1,599,0.05
number,1,661,0.02
charts,1,51,0.0
marker,1,330,0.02
plot,1,694,0.06
title,1,459,0.02
symbol,1,296,0.02
tooltip,1,221,0.03
configure,1,203,0.02
date,1,249,0.01
linear,1,679,0.05
str,1,397,0.02
arr,1,263,0.02
align,1,289,0.03
utc,1,161,0.02
stacking,1,150,0.02
intent,1,130,0.0
spring,1,379,0.02
toggle,1,278,0.03
status,1,281,0.01
listener,1,406,0.01
state,1,747,0.01
params,1,415,0.01
layout,1,323,0.01
mid,1,263,0.03
tension,1,62,0.01
friction,1,62,0.01
velocity,1,53,0.01
seek,1,51,0.0
button,1,291,0.01
time,1,447,0.01
rest,1,68,0.0
looper,1,65,0.01
tri,1,289,0.03
bar,1,235,0.01
end,1,1152,0.03
tstb,1,33,0.01
animate,1,32,0.0
facebook,1,28,0.0
rebound,1,28,0.0
spots,1,164,0.02
arc,1,208,0.02
animation,1,227,0.02
calc,1,557,0.06
hand,1,64,0.01
orientation,1,68,0.01
indicator,1,47,0.0
pager,1,49,0.0
measure,1,66,0.01
beppi,1,40,0.01
arcpageindicator,1,32,0.0
res,1,202,0.01
selected,1,245,0.01
arcformula,1,26,0.0
angle,1,445,0.03
center,1,366,0.02
spec,1,63,0.0
handler,1,213,0.0
typed,1,63,0.0
interval,1,209,0.01
invert,1,70,0.01
down,1,229,0.02
pgl,1,1728,0.23
poly,1,1462,0.19
vertices,1,1053,0.09
