keyword,doc_freq,total_freq,tfidf
string,6,4707,0.0
get,6,8715,0.0
exception,5,2085,0.0
java,5,1979,0.0
util,5,1229,0.0
event,4,2359,0.07
type,4,1994,0.02
set,4,2198,0.0
value,4,1275,0.01
result,4,1142,0.02
override,4,1335,0.01
object,4,1232,0.02
list,4,1769,0.0
name,3,2763,0.01
add,3,931,0.01
map,3,677,0.0
builder,2,721,0.01
sql,2,485,0.03
illegal,2,427,0.05
com,2,456,0.0
icon,2,431,0.04
input,2,531,0.01
table,2,1420,0.06
date,2,405,0.02
time,2,586,0.02
system,2,1492,0.05
argument,2,432,0.04
hash,2,380,0.01
property,2,1482,0.05
handler,2,596,0.02
request,2,451,0.01
sender,2,540,0.07
path,2,902,0.01
function,2,680,0.03
method,2,537,0.02
org,2,349,0.0
thread,2,718,0.04
number,2,259,0.01
query,2,224,0.01
current,2,208,0.01
integer,2,328,0.01
converter,2,403,0.05
key,2,716,0.01
file,2,1145,0.01
user,1,634,0.03
session,1,434,0.02
manager,1,438,0.01
permission,1,329,0.03
username,1,361,0.04
append,1,477,0.02
button,1,321,0.01
var,1,355,0.03
dialog,1,291,0.02
message,1,598,0.02
role,1,243,0.03
text,1,483,0.01
info,1,306,0.01
password,1,292,0.03
column,1,269,0.01
login,1,287,0.04
where,1,199,0.04
box,1,242,0.02
tools,1,189,0.03
jgcomptech,1,174,0.06
not,1,416,0.02
error,1,230,0.01
statement,1,197,0.02
empty,1,292,0.02
data,1,438,0.0
alert,1,130,0.02
node,1,1761,0.05
nodes,1,825,0.08
skin,1,1026,0.2
flow,1,1017,0.13
connector,1,939,0.13
connection,1,859,0.05
workflow,1,578,0.1
parent,1,561,0.05
model,1,745,0.02
width,1,432,0.03
scene,1,444,0.04
javafx,1,451,0.04
layout,1,399,0.02
control,1,457,0.05
height,1,346,0.02
factory,1,570,0.02
window,1,352,0.04
listener,1,358,0.01
title,1,424,0.04
pane,1,291,0.03
mihosoft,1,265,0.07
vrl,1,264,0.07
inputs,1,222,0.04
receiver,1,256,0.04
outputs,1,220,0.05
connect,1,248,0.04
generator,1,271,0.03
min,1,261,0.02
max,1,315,0.01
mouse,1,234,0.03
remove,1,337,0.04
resize,1,203,0.05
change,1,219,0.02
http,1,250,0.01
response,1,128,0.0
content,1,330,0.01
body,1,72,0.01
matcher,1,128,0.01
headers,1,61,0.01
future,1,76,0.01
parameters,1,81,0.01
status,1,146,0.01
completable,1,32,0.0
handlers,1,104,0.02
channel,1,93,0.01
build,1,129,0.01
produces,1,23,0.0
pattern,1,116,0.01
loop,1,23,0.0
server,1,428,0.02
geryon,1,19,0.01
execution,1,119,0.01
group,1,111,0.01
logger,1,243,0.01
port,1,59,0.0
candidate,1,14,0.0
uri,1,19,0.0
handle,1,56,0.0
func,1,23,0.0
resp,1,62,0.01
full,1,36,0.01
self,1,28,0.0
url,1,260,0.01
roman,1,22,0.01
index,1,204,0.0
put,1,197,0.01
symbols,1,5,0.0
character,1,16,0.0
sum,1,60,0.01
contains,1,148,0.01
previous,1,32,0.01
symbol,1,2,0.0
does,1,8,0.0
siriusxi,1,1,0.0
tdd,1,1,0.0
serial,1,16,0.0
version,1,127,0.01
uid,1,12,0.0
convert,1,27,0.0
arabic,1,1,0.0
upper,1,25,0.01
length,1,214,0.0
format,1,192,0.01
out,1,1308,0.04
println,1,1202,0.06
test,1,729,0.03
stream,1,594,0.01
print,1,419,0.02
javase,1,281,0.09
array,1,433,0.0
local,1,482,0.04
lock,1,216,0.02
stack,1,367,0.02
student,1,202,0.05
args,1,379,0.02
trace,1,256,0.02
apple,1,160,0.04
concurrent,1,195,0.02
proxy,1,168,0.02
arrays,1,154,0.01
start,1,230,0.01
interrupted,1,200,0.04
main,1,305,0.02
dish,1,137,0.04
junit,1,146,0.02
runnable,1,191,0.03
sleep,1,161,0.03
runner,1,121,0.01
lua,1,2897,0.65
net,1,2311,0.15
wizardsoflua,1,1389,0.45
instance,1,1041,0.04
spell,1,736,0.19
entity,1,785,0.05
annotation,1,762,0.04
nbt,1,691,0.15
context,1,696,0.01
converters,1,433,0.07
player,1,535,0.06
minecraft,1,506,0.12
element,1,547,0.02
command,1,501,0.03
resource,1,503,0.03
extension,1,440,0.05
wol,1,417,0.13
block,1,420,0.03
generate,1,464,0.06
delegate,1,415,0.06
api,1,348,0.01
pos,1,370,0.03
item,1,361,0.01
sandius,1,316,0.1
chunk,1,325,0.04
rembulan,1,316,0.1
nullable,1,335,0.03
injector,1,306,0.06
