keyword,doc_freq,total_freq,tfidf
string,3,818,0.0
get,3,502,0.0
override,3,251,0.01
add,3,251,0.01
node,2,598,0.14
array,2,386,0.03
java,2,428,0.0
stream,2,296,0.04
list,2,383,0.01
length,2,283,0.04
next,2,263,0.11
value,2,256,0.01
position,2,359,0.16
object,2,185,0.02
code,2,159,0.05
util,2,154,0.01
max,2,120,0.03
map,2,132,0.01
args,2,107,0.03
set,2,318,0.0
com,2,309,0.02
input,1,347,0.06
file,1,320,0.02
reader,1,239,0.09
left,1,246,0.16
right,1,237,0.16
integer,1,242,0.07
number,1,198,0.08
tree,1,158,0.09
numbers,1,103,0.19
charset,1,113,0.12
index,1,153,0.02
line,1,139,0.04
root,1,122,0.08
system,1,100,0.03
out,1,80,0.02
strings,1,50,0.05
current,1,99,0.04
temp,1,88,0.07
sum,1,82,0.09
buffered,1,85,0.06
print,1,81,0.04
first,1,79,0.06
count,1,69,0.02
main,1,64,0.03
stack,1,69,0.04
color,1,67,0.02
equals,1,79,0.02
hash,1,86,0.03
questions,1,54,0.09
buffer,1,78,0.03
result,1,51,0.01
view,1,567,0.12
android,1,251,0.07
tab,1,153,0.14
text,1,165,0.02
layout,1,128,0.04
activity,1,130,0.05
fragment,1,117,0.06
developers,1,117,0.25
algoexplorer,1,117,0.3
adapter,1,103,0.05
context,1,104,0.01
inflater,1,97,0.1
support,1,83,0.04
item,1,91,0.03
dynamic,1,86,0.13
find,1,93,0.04
image,1,83,0.03
graph,1,88,0.07
bundle,1,59,0.04
fragments,1,37,0.06
pager,1,58,0.07
app,1,56,0.02
glide,1,50,0.1
listener,1,50,0.01
sorting,1,55,0.12
group,1,67,0.03
drawable,1,49,0.04
widget,1,46,0.03
search,1,53,0.03
programs,1,40,0.1
searching,1,48,0.12
bar,1,41,0.03
database,1,40,0.02
container,1,38,0.03
intent,1,36,0.02
algo,1,32,0.05
manager,1,34,0.01
instance,1,44,0.01
algorithms,1,31,0.07
description,1,34,0.02
program,1,27,0.04
factory,1,252,0.07
distance,1,247,0.21
state,1,241,0.05
github,1,175,0.09
liblevenshtein,1,157,0.28
build,1,184,0.08
dawg,1,180,0.32
transducer,1,152,0.27
type,1,162,0.01
dictionary,1,134,0.17
exception,1,181,0.0
option,1,84,0.04
serializable,1,105,0.12
transition,1,95,0.1
term,1,100,0.12
,1,89,
non,1,88,0.04
builder,1,118,0.02
function,1,80,0.03
version,1,79,0.04
collection,1,77,0.04
options,1,67,0.03
lombok,1,80,0.05
put,1,130,0.03
algorithm,1,97,0.1
proto,1,54,0.07
path,1,65,0.01
key,1,98,0.01
positions,1,39,0.06
serial,1,53,0.06
candidate,1,55,0.06
uid,1,53,0.05
