keyword,doc_freq,total_freq,tfidf
get,13,10624,0.0
string,13,4146,0.0
set,12,5334,0.0
list,12,3556,0.0
image,12,6311,0.06
java,11,2179,0.0
height,9,3752,0.06
width,9,4126,0.06
type,8,3622,0.01
size,8,6500,0.02
opencv,7,2747,0.11
create,7,2244,0.02
exception,7,1936,0.0
util,7,1366,0.0
override,7,1520,0.0
color,7,4530,0.05
org,7,2284,0.0
text,7,1174,0.01
max,7,2401,0.02
mat,6,21851,0.78
com,6,1304,0.0
file,6,1624,0.0
length,6,1355,0.01
img,6,1557,0.06
data,6,1803,0.0
log,6,1829,0.01
core,5,2776,0.02
name,5,1618,0.0
mask,5,1213,0.04
array,5,1377,0.0
frame,5,1493,0.02
src,5,3345,0.09
channels,5,1069,0.04
camera,5,4037,0.1
input,4,2101,0.01
value,4,2375,0.0
output,4,1750,0.01
map,4,741,0.0
count,4,1271,0.01
min,4,1578,0.02
obj,4,24536,0.42
val,4,8698,0.17
ret,4,6036,0.15
view,4,2129,0.01
dst,4,3428,0.13
cap,4,2302,0.11
android,4,1357,0.01
point,4,1936,0.03
points,4,1786,0.04
prop,4,1681,0.05
vals,4,521,0.02
mats,4,252,0.01
addr,4,1390,0.05
out,4,1066,0.01
scale,4,1085,0.03
rect,4,1292,0.04
event,3,1088,0.01
result,3,1012,0.0
layout,3,926,0.01
num,3,1158,0.02
activity,3,546,0.01
context,3,834,0.0
vector,3,1421,0.03
threshold,3,1327,0.05
matrix,3,1168,0.02
buff,3,952,0.04
flags,3,994,0.03
dist,3,914,0.03
factory,2,1061,0.01
source,2,906,0.01
step,2,821,0.02
imgproc,2,625,0.03
javafx,2,435,0.01
settings,2,459,0.01
add,2,967,0.0
bytedeco,2,424,0.02
javacpp,2,379,0.02
row,2,1014,0.02
current,2,264,0.0
col,2,1216,0.03
config,2,138,0.0
mode,2,644,0.01
cols,2,262,0.01
zoom,2,69,0.0
put,2,558,0.0
options,2,94,0.0
net,2,535,0.01
buffered,2,221,0.0
button,2,559,0.01
rgb,2,513,0.03
pixel,2,271,0.01
gray,2,562,0.03
pixels,2,190,0.01
tag,2,877,0.01
face,2,452,0.02
detect,2,546,0.02
storage,2,142,0.0
start,2,554,0.0
application,2,110,0.0
utils,2,252,0.0
info,2,288,0.0
host,2,48,0.0
intent,2,222,0.0
manager,2,467,0.0
child,2,60,0.0
from,2,1170,0.02
converters,2,835,0.03
criteria,2,808,0.03
callback,2,713,0.01
object,2,1053,0.0
socket,1,4005,0.08
grip,1,1579,0.11
wpi,1,1383,0.09
hint,1,1315,0.07
edu,1,1391,0.05
sockets,1,490,0.03
operation,1,919,0.02
hints,1,270,0.02
google,1,535,0.01
inject,1,450,0.01
operations,1,253,0.01
controller,1,439,0.01
number,1,791,0.01
property,1,379,0.0
common,1,364,0.01
bus,1,343,0.01
grid,1,712,0.02
life,1,97,0.01
merge,1,293,0.01
stats,1,151,0.0
