keyword,doc_freq,total_freq,tfidf
string,9,10051,0.0
get,9,13468,0.0
java,8,4126,0.0
name,7,5235,0.02
list,7,4353,0.01
util,7,3587,0.01
exception,7,5874,0.01
file,7,4633,0.02
logger,7,1996,0.03
request,7,1735,0.03
set,6,3029,0.0
org,6,3107,0.02
value,6,1637,0.01
task,5,2418,0.1
configuration,5,1087,0.03
log,5,1263,0.02
result,5,1830,0.02
context,5,1414,0.02
build,4,3571,0.13
com,4,746,0.0
plugin,4,1360,0.07
config,4,902,0.02
run,4,1136,0.05
action,4,1064,0.03
object,4,1657,0.02
url,4,2037,0.04
map,4,1677,0.01
version,4,1631,0.06
repository,4,1468,0.07
artifact,4,1004,0.13
project,3,2410,0.14
plugins,3,583,0.05
job,3,1043,0.06
model,3,1692,0.02
path,3,1393,0.01
hudson,3,5236,0.72
add,3,1504,0.01
response,3,993,0.02
release,3,628,0.07
command,3,901,0.03
environment,3,328,0.03
api,3,993,0.02
message,3,696,0.01
jenkins,2,539,0.08
jenkinsci,2,230,0.04
tasks,2,664,0.06
override,2,1665,0.0
step,2,347,0.02
user,2,905,0.02
display,2,617,0.04
event,2,213,0.0
json,2,976,0.02
stream,2,2043,0.02
listener,2,1701,0.03
maven,2,1636,0.2
output,2,1104,0.02
extension,2,1026,0.07
array,2,999,0.01
type,2,846,0.0
dir,2,1121,0.06
notes,2,565,0.09
env,2,674,0.06
change,2,576,0.04
group,2,527,0.02
dependency,2,951,0.1
pull,2,622,0.09
git,2,1218,0.13
local,2,448,0.02
files,2,314,0.01
helper,2,181,0.01
info,2,598,0.01
source,2,400,0.01
utils,2,379,0.0
indix,2,122,0.03
gocd,2,122,0.03
put,2,567,0.01
destination,2,158,0.02
revision,2,216,0.03
hash,2,726,0.02
key,2,831,0.01
code,2,293,0.01
create,2,885,0.02
handle,2,111,0.01
thoughtworks,2,218,0.05
builder,2,802,0.01
serenitybdd,1,509,0.11
net,1,817,0.03
screenplay,1,425,0.09
actor,1,267,0.03
view,1,756,0.01
smartcodeltd,1,189,0.04
target,1,465,0.01
buildmonitor,1,136,0.03
test,1,735,0.02
monitor,1,452,0.06
builds,1,216,0.04
the,1,133,0.01
description,1,577,0.03
instrumented,1,100,0.01
duration,1,240,0.02
badges,1,89,0.02
failure,1,265,0.02
descriptor,1,1572,0.09
stapler,1,1507,0.26
item,1,1208,0.03
req,1,959,0.07
servlet,1,893,0.05
channel,1,917,0.04
node,1,978,0.02
instance,1,894,0.02
data,1,935,0.01
error,1,850,0.01
kohsuke,1,722,0.11
springframework,1,57,0.0
annotation,1,160,0.0
controller,1,7,0.0
method,1,375,0.01
web,1,84,0.0
bind,1,45,0.0
auto,1,48,0.0
kodcu,1,2,0.0
mapping,1,33,0.0
boot,1,6,0.0
spring,1,56,0.0
application,1,81,0.0
enable,1,45,0.0
component,1,252,0.01
scan,1,14,0.0
pipelines,1,4,0.0
starter,1,36,0.01
page,1,233,0.01
args,1,469,0.01
stereotype,1,1,0.0
welcome,1,5,0.0
autoconfigure,1,1,0.0
main,1,153,0.01
apk,1,48,0.01
testers,1,37,0.01
vars,1,320,0.04
crashlytics,1,29,0.01
fabric,1,29,0.0
beta,1,22,0.0
publisher,1,221,0.03
notify,1,77,0.01
print,1,460,0.02
input,1,796,0.01
zip,1,172,0.02
warnings,1,78,0.01
suppress,1,78,0.01
manifest,1,59,0.01
parameter,1,651,0.03
property,1,843,0.02
temp,1,73,0.01
interrupted,1,639,0.09
paths,1,79,0.01
form,1,638,0.05
tools,1,120,0.01
updatebot,1,409,0.09
changes,1,313,0.05
kind,1,318,0.04
github,1,253,0.01
issue,1,221,0.02
strings,1,98,0.01
dependencies,1,286,0.04
answer,1,179,0.02
commands,1,135,0.01
element,1,327,0.01
status,1,416,0.01
support,1,169,0.01
clone,1,186,0.02
versions,1,119,0.02
filter,1,674,0.02
bucket,1,105,0.01
prefix,1,327,0.02
metadata,1,108,0.01
store,1,166,0.01
stage,1,125,0.01
material,1,68,0.01
pipeline,1,145,0.02
constants,1,59,0.0
artifacts,1,139,0.02
objects,1,101,0.0
execution,1,211,0.02
mlflow,1,56,0.01
runs,1,89,0.01
tag,1,276,0.01
client,1,134,0.0
pattern,1,234,0.01
format,1,453,0.01
success,1,169,0.01
field,1,475,0.01
aws,1,45,0.01
experiment,1,22,0.0
promotion,1,137,0.03
staging,1,105,0.02
tokens,1,199,0.02
system,1,673,0.01
aether,1,89,0.02
password,1,282,0.02
promotor,1,49,0.01
println,1,339,0.01
eclipse,1,62,0.01
debug,1,135,0.01
skip,1,170,0.02
deletion,1,41,0.01
session,1,193,0.01
artifactpromotion,1,32,0.01
repo,1,273,0.03
append,1,568,0.01
secret,1,196,0.02
expanded,1,30,0.0
classifier,1,41,0.0
transfer,1,80,0.01
promoter,1,27,0.01
shipkit,1,1000,0.24
gradle,1,951,0.12
internal,1,706,0.04
hub,1,530,0.07
contributors,1,368,0.09
commit,1,324,0.04
exec,1,313,0.04
logging,1,519,0.04
branch,1,253,0.03
collection,1,602,0.03
previous,1,386,0.05
date,1,301,0.01
token,1,490,0.02
commits,1,113,0.02
