keyword,doc_freq,total_freq,tfidf
get,25,30325,0.0
string,24,20588,0.0
set,21,8528,0.0
list,17,10392,0.01
exception,17,9566,0.01
name,17,9926,0.02
org,17,4940,0.02
java,17,7160,0.0
util,17,5740,0.01
override,14,4418,0.01
value,12,3911,0.01
com,12,5452,0.02
file,12,8272,0.02
config,11,4651,0.05
path,11,4875,0.03
add,11,3810,0.01
map,11,3099,0.01
request,10,3504,0.04
log,10,2624,0.02
build,10,8855,0.18
context,10,3612,0.02
listener,9,3287,0.03
result,9,3338,0.02
job,8,4289,0.15
state,8,1688,0.02
url,8,3860,0.05
logger,8,3101,0.03
view,7,5466,0.06
type,7,3134,0.01
status,7,2632,0.05
repository,6,3681,0.1
data,6,2586,0.01
activity,6,1489,0.03
android,6,1543,0.02
text,6,2410,0.02
create,6,2456,0.03
test,6,1701,0.03
layout,6,1427,0.02
error,6,2737,0.03
json,6,2444,0.03
project,6,3165,0.1
run,6,2102,0.06
user,5,3059,0.05
common,5,1067,0.03
item,5,2571,0.03
annotation,5,907,0.02
github,5,1135,0.03
app,5,575,0.01
support,5,395,0.01
instance,5,1733,0.02
content,5,1256,0.02
api,5,1657,0.02
parameter,5,1360,0.03
model,5,2486,0.02
action,5,1735,0.02
commit,5,2376,0.19
version,5,1435,0.03
configuration,5,1334,0.02
info,5,1680,0.02
args,4,1005,0.02
find,4,1270,0.03
application,4,446,0.01
start,4,1467,0.02
button,4,323,0.01
utils,4,1498,0.01
main,4,591,0.01
object,4,2885,0.02
array,4,2075,0.01
pull,4,1712,0.14
git,4,2351,0.14
files,4,757,0.01
server,4,1842,0.04
client,4,999,0.02
stream,4,2903,0.02
event,4,2162,0.02
step,4,2661,0.1
service,3,1802,0.03
springframework,3,958,0.03
jenkins,3,1283,0.11
search,3,966,0.03
lombok,3,861,0.03
not,3,1607,0.03
count,3,872,0.01
javax,3,1595,0.03
saved,3,195,0.01
bundle,3,228,0.01
bind,3,345,0.01
click,3,603,0.01
core,3,2012,0.03
auto,3,594,0.03
page,3,1231,0.03
branch,3,1126,0.07
google,3,855,0.02
key,3,1794,0.01
execution,3,606,0.03
command,3,1130,0.02
results,3,459,0.02
builder,3,1962,0.01
parameters,3,692,0.02
system,3,1407,0.02
hudson,3,5622,0.45
builds,3,668,0.07
change,3,865,0.03
dir,3,1664,0.05
maven,3,2079,0.15
helper,3,915,0.03
fragment,3,537,0.01
task,3,1315,0.03
manager,3,1407,0.02
response,3,1508,0.02
auth,3,760,0.03
directory,3,829,0.03
paths,3,407,0.02
image,3,1457,0.02
plugin,3,1150,0.03
failure,3,716,0.04
process,3,1566,0.05
all,2,1581,0.04
users,2,304,0.01
light,2,663,0.05
mapper,2,667,0.02
presenter,2,143,0.01
details,2,468,0.02
intent,2,459,0.01
controller,2,276,0.01
callback,2,241,0.01
dialog,2,550,0.01
wait,2,268,0.02
crashlytics,2,42,0.01
demo,2,31,0.0
fabric,2,35,0.0
use,2,305,0.02
with,2,1087,0.02
param,2,1107,0.03
nullable,2,767,0.03
domain,2,1377,0.05
serialized,2,515,0.03
,2,1239,
from,2,1294,0.03
tools,2,321,0.02
component,2,531,0.01
element,2,894,0.01
out,2,855,0.01
sub,2,528,0.02
stapler,2,1762,0.18
cause,2,770,0.05
field,2,848,0.01
commands,2,328,0.01
kohsuke,2,887,0.08
dependency,2,843,0.05
kind,2,351,0.02
issue,2,577,0.04
artifact,2,978,0.07
source,2,1111,0.02
screenshot,2,583,0.05
network,2,305,0.01
repo,2,1475,0.08
adapter,2,803,0.02
travis,2,393,0.05
branches,2,184,0.02
calculator,2,36,0.0
equals,2,1492,0.02
code,2,1265,0.02
hash,2,1374,0.02
regex,2,154,0.01
launcher,2,1315,0.12
temp,2,840,0.03
current,2,1673,0.03
index,2,1177,0.01
node,2,1777,0.02
output,2,1511,0.02
extension,2,1026,0.04
net,2,1158,0.03
plugins,2,612,0.03
display,2,943,0.04
time,2,1675,0.02
apache,2,681,0.02
http,2,1457,0.03
backend,2,480,0.03
mode,2,807,0.02
jmeter,2,179,0.02
patch,2,647,0.05
properties,2,1365,0.03
env,2,877,0.05
warnings,2,350,0.02
group,2,1391,0.03
web,2,831,0.02
max,2,802,0.01
strategy,2,587,0.02
provider,2,593,0.01
agent,2,1385,0.06
dto,1,760,0.04
lamp,1,502,0.07
adesso,1,373,0.05
jenkinshue,1,373,0.05
team,1,415,0.03
bridge,1,332,0.02
scenario,1,268,0.02
constructor,1,574,0.02
hue,1,164,0.02
lamps,1,73,0.01
ldap,1,348,0.03
configs,1,109,0.01
update,1,951,0.02
serializable,1,324,0.02
bridges,1,33,0.0
counter,1,250,0.01
rockerhieu,1,33,0.0
increase,1,32,0.0
increased,1,19,0.0
mvvm,1,15,0.0
mvp,1,81,0.01
clicked,1,14,0.0
compat,1,137,0.01
imp,1,10,0.0
mvc,1,21,0.0
initial,1,161,0.01
observable,1,11,0.0
butterknife,1,41,0.0
testing,1,18,0.0
visible,1,147,0.01
butter,1,40,0.0
knife,1,40,0.0
binding,1,103,0.0
plastiv,1,2,0.0
crashlyticsdemo,1,2,0.0
runtime,1,403,0.01
handled,1,8,0.0
unhandled,1,1,0.0
sdk,1,79,0.0
bitbucket,1,1171,0.13
rest,1,1113,0.05
cdancy,1,724,0.09
errors,1,662,0.04
jclouds,1,388,0.05
names,1,546,0.01
throwable,1,618,0.03
fallback,1,218,0.02
fallbacks,1,167,0.02
media,1,306,0.01
hook,1,230,0.02
query,1,908,0.02
documentation,1,153,0.01
consumes,1,169,0.02
named,1,249,0.01
tool,1,893,0.04
grid,1,209,0.01
panel,1,198,0.01
label,1,892,0.02
aspectsecurity,1,118,0.01
pentest,1,118,0.01
window,1,251,0.01
alignment,1,113,0.01
astam,1,103,0.01
attack,1,96,0.01
box,1,123,0.0
center,1,523,0.03
append,1,789,0.01
contents,1,137,0.01
executor,1,622,0.03
cqf,1,57,0.01
capec,1,56,0.01
experiment,1,48,0.0
dynamic,1,904,0.06
groupon,1,418,0.06
parent,1,1331,0.04
backed,1,161,0.02
