keyword,doc_freq,total_freq,tfidf
get,26,19504,0.0
string,25,14069,0.0
exception,24,8575,0.0
java,21,5657,0.0
key,19,14633,0.07
set,15,6335,0.0
com,15,2616,0.01
util,15,2389,0.0
length,14,3060,0.02
value,13,5987,0.01
data,13,2674,0.01
org,11,3922,0.01
security,11,3084,0.08
override,11,2022,0.0
name,10,5544,0.01
size,10,1917,0.01
hash,10,1535,0.02
out,10,1413,0.01
add,9,3648,0.01
type,9,3725,0.01
cipher,9,2221,0.11
list,9,3334,0.0
random,9,1409,0.04
buffer,9,1333,0.02
state,9,1727,0.01
crypto,9,3766,0.19
context,8,3832,0.02
builder,8,1533,0.01
instance,8,1850,0.02
object,7,4124,0.02
integer,7,2747,0.03
javax,7,1553,0.02
spec,7,2106,0.06
array,7,2296,0.01
stream,7,1412,0.01
message,7,1708,0.01
max,7,926,0.01
algorithm,6,1925,0.07
digest,6,1253,0.06
output,6,976,0.01
input,6,1191,0.01
secure,6,1102,0.06
test,6,1318,0.01
equals,6,1593,0.02
keys,6,310,0.01
secret,6,813,0.03
len,6,1067,0.04
runtime,5,3841,0.09
put,5,3667,0.03
with,5,2069,0.03
offset,5,1284,0.02
ciphertext,5,357,0.03
system,5,1180,0.01
update,5,943,0.02
file,5,3524,0.01
read,5,1306,0.02
password,5,1546,0.04
request,5,1255,0.01
config,5,979,0.01
encryption,5,1065,0.05
box,5,616,0.01
init,5,1183,0.03
view,5,439,0.0
big,5,1350,0.04
error,4,2275,0.02
method,4,2406,0.03
aes,4,937,0.06
nonce,4,273,0.02
auth,4,1400,0.04
open,4,712,0.02
text,4,1859,0.01
utils,4,1183,0.01
generator,4,1369,0.04
mac,4,538,0.03
parameter,4,1580,0.03
arrays,4,427,0.01
generate,4,900,0.03
manager,4,747,0.01
provider,4,1761,0.03
factory,4,894,0.01
android,4,339,0.0
time,4,1003,0.01
result,4,1101,0.0
create,4,923,0.01
content,4,938,0.01
pair,4,2029,0.05
cert,3,2504,0.13
certificate,3,1714,0.09
rsa,3,1601,0.11
info,3,1180,0.01
bouncycastle,3,1160,0.08
block,3,662,0.01
arraycopy,3,151,0.01
illegal,3,612,0.02
enc,3,755,0.04
aead,3,155,0.01
such,3,1346,0.07
argument,3,363,0.01
code,3,1296,0.01
path,3,1827,0.01
rule,3,847,0.02
layout,3,704,0.01
store,3,2503,0.06
uri,3,775,0.01
version,3,1264,0.02
write,3,721,0.01
math,3,265,0.01
tmp,3,621,0.02
log,3,701,0.0
encoded,3,845,0.04
main,3,450,0.01
component,3,320,0.01
seed,3,805,0.04
client,3,413,0.0
activity,3,93,0.0
src,3,245,0.01
from,3,920,0.01
common,3,372,0.01
encrypt,3,562,0.03
channel,3,325,0.01
function,3,955,0.01
number,3,985,0.01
format,3,902,0.01
target,3,345,0.0
other,3,782,0.02
wallet,3,370,0.02
option,3,614,0.01
command,3,783,0.01
sign,3,749,0.03
encrypted,3,606,0.04
script,3,508,0.01
encode,3,319,0.02
multiply,3,227,0.02
decode,3,431,0.02
args,3,1133,0.01
check,3,957,0.02
alg,2,613,0.04
thread,2,654,0.01
plaintext,2,75,0.01
optional,2,159,0.0
extra,2,174,0.01
codahale,2,7,0.0
seal,2,23,0.0
cry,2,1768,0.13
constants,2,1287,0.02
core,2,833,0.01
node,2,1068,0.01
rules,2,547,0.02
unit,2,732,0.02
label,2,687,0.01
api,2,1495,0.02
user,2,1569,0.02
resource,2,1662,0.03
service,2,1378,0.01
types,2,1091,0.01
little,2,48,0.0
endian,2,53,0.0
engine,2,412,0.01
next,2,720,0.01
parameters,2,743,0.02
copy,2,460,0.01
hmac,2,370,0.02
invalid,2,919,0.04
ready,2,97,0.0
application,2,344,0.01
build,2,509,0.01
registry,2,221,0.01
mode,2,955,0.02
origin,2,122,0.01
decrypt,2,391,0.03
symbol,2,296,0.01
trade,2,274,0.01
trades,2,67,0.0
web,2,220,0.0
token,2,776,0.01
order,2,380,0.01
price,2,248,0.01
