keyword,doc_freq,total_freq,tfidf
view,9,1916,0.2
get,9,1588,0.0
set,9,1140,0.01
string,9,1302,0.0
item,8,596,0.08
android,8,818,0.1
binding,8,645,0.26
override,8,496,0.01
com,7,888,0.03
layout,7,330,0.05
type,7,483,0.01
listener,6,272,0.03
list,6,768,0.01
activity,6,447,0.08
model,6,528,0.04
adapter,5,355,0.09
support,5,235,0.06
context,5,397,0.03
text,5,308,0.02
drawable,4,524,0.18
position,4,227,0.05
holder,4,205,0.06
util,4,246,0.0
state,4,283,0.03
app,4,245,0.04
data,4,433,0.02
,4,199,
non,4,203,0.05
fragment,4,301,0.08
instance,4,206,0.03
name,4,730,0.01
color,3,265,0.05
recycler,3,169,0.07
builder,3,174,0.01
width,3,106,0.02
widget,3,132,0.04
api,3,218,0.03
manager,3,179,0.02
intent,3,169,0.04
response,3,318,0.04
field,3,368,0.05
exception,3,184,0.0
right,2,70,0.02
left,2,76,0.02
bitmap,2,141,0.05
touch,2,38,0.02
paint,2,57,0.03
callback,2,131,0.04
enabled,2,39,0.01
rect,2,64,0.03
main,2,104,0.02
image,2,177,0.03
status,2,153,0.03
date,2,78,0.01
rest,2,112,0.05
height,2,62,0.01
utils,2,96,0.01
items,2,75,0.02
count,2,138,0.02
menu,2,107,0.03
size,2,121,0.01
character,2,490,0.26
characters,2,68,0.05
element,2,109,0.02
click,2,142,0.03
error,2,432,0.04
value,2,384,0.01
add,2,263,0.01
message,2,178,0.02
androidx,2,128,0.06
changed,2,113,0.06
property,2,185,0.03
card,2,220,0.11
number,2,94,0.02
annotation,2,145,0.03
example,2,183,0.06
resources,2,70,0.03
event,2,82,0.01
observable,2,180,0.08
spec,2,123,0.04
method,2,94,0.02
swipe,1,82,0.07
helper,1,34,0.01
dirs,1,14,0.02
fueled,1,13,0.02
val,1,16,0.0
swipeablerecyclerview,1,13,0.02
graphics,1,69,0.03
canvas,1,32,0.02
swiped,1,8,0.01
drag,1,7,0.0
draw,1,24,0.01
temp,1,9,0.0
remove,1,41,0.02
snackbar,1,73,0.06
network,1,134,0.05
border,1,76,0.03
feed,1,67,0.04
paginglibrary,1,44,0.06
circle,1,50,0.04
sample,1,48,0.02
article,1,56,0.04
background,1,64,0.03
source,1,55,0.01
controller,1,35,0.01
live,1,47,0.04
scale,1,22,0.01
url,1,124,0.02
factory,1,66,0.01
parcel,1,51,0.04
shader,1,18,0.01
mutable,1,25,0.02
attraction,1,66,0.09
hlabexamples,1,38,0.05
databindingexample,1,38,0.05
visible,1,65,0.04
page,1,63,0.02
img,1,28,0.02
fav,1,27,0.03
last,1,68,0.02
browse,1,25,0.03
compat,1,97,0.04
footer,1,40,0.04
bundle,1,124,0.04
navigation,1,41,0.03
favourite,1,18,0.02
total,1,49,0.02
section,1,243,0.16
andremion,1,169,0.19
heroes,1,169,0.19
marvel,1,113,0.14
result,1,100,0.01
search,1,80,0.02
entries,1,79,0.05
presenter,1,75,0.05
show,1,118,0.04
offset,1,64,0.01
shared,1,63,0.02
test,1,122,0.02
attribution,1,57,0.05
views,1,27,0.01
wrapper,1,53,0.02
extra,1,75,0.03
vali,1,331,0.4
validator,1,202,0.11
res,1,173,0.05
nullable,1,204,0.07
length,1,136,0.01
validation,1,88,0.04
fields,1,51,0.01
mlykotom,1,83,0.1
delay,1,68,0.04
valifi,1,61,0.07
form,1,67,0.03
resource,1,78,0.02
validators,1,32,0.03
async,1,60,0.02
pattern,1,55,0.02
email,1,49,0.02
username,1,53,0.02
password,1,47,0.02
base,1,117,0.03
empty,1,63,0.02
phone,1,35,0.02
stock,1,167,0.14
lookup,1,108,0.07
entity,1,106,0.02
stocks,1,54,0.06
alfonz,1,70,0.08
quote,1,70,0.05
lifecycle,1,87,0.07
call,1,109,0.03
org,1,100,0.0
detail,1,68,0.04
symbol,1,50,0.02
create,1,176,0.02
http,1,87,0.02
load,1,120,0.04
inflater,1,136,0.06
properties,1,217,0.05
gradient,1,203,0.14
radius,1,150,0.07
auto,1,73,0.03
top,1,92,0.04
attribute,1,81,0.02
write,1,80,0.02
shape,1,48,0.02
center,1,49,0.03
corner,1,36,0.03
map,1,50,0.0
gradientdrawabletuner,1,32,0.04
bar,1,66,0.02
stack,1,44,0.01
java,1,180,0.0
read,1,49,0.01
dest,1,62,0.04
info,1,44,0.0
change,1,74,0.03
inner,1,28,0.02
expose,1,347,0.27
integer,1,398,0.05
serialized,1,347,0.17
gson,1,168,0.07
responses,1,103,0.09
google,1,142,0.03
quaggans,1,142,0.2
annotations,1,135,0.06
account,1,129,0.06
token,1,95,0.02
server,1,94,0.02
world,1,100,0.05
query,1,133,0.03
dialog,1,97,0.02
description,1,88,0.02
application,1,109,0.02
level,1,69,0.02
credit,1,94,0.09
submit,1,95,0.07
input,1,108,0.01
edit,1,50,0.02
animator,1,32,0.02
cvv,1,25,0.03
code,1,57,0.01
animation,1,31,0.02
expired,1,23,0.02
pager,1,91,0.05
focusable,1,20,0.02
action,1,86,0.01
editor,1,15,0.01
measure,1,22,0.01
gray,1,13,0.01
display,1,51,0.02
metrics,1,29,0.01
start,1,83,0.01
window,1,44,0.02
progress,1,112,0.04
object,1,53,0.0
out,1,27,0.0
soft,1,12,0.01
