keyword,doc_freq,total_freq,tfidf
get,14,7126,0.0
size,13,2750,0.01
input,11,2811,0.01
string,11,3405,0.0
exception,11,2489,0.0
java,11,1431,0.0
file,10,3586,0.0
stream,10,2001,0.01
set,10,2088,0.0
value,9,1796,0.0
length,9,1947,0.01
output,9,1175,0.01
out,8,13484,0.07
array,8,4757,0.01
override,8,1433,0.0
data,7,1876,0.0
type,7,1137,0.0
util,7,835,0.0
buffer,6,1263,0.01
name,6,1098,0.0
pos,5,3746,0.05
index,5,1079,0.0
com,5,323,0.0
list,5,1046,0.0
result,5,974,0.0
from,4,2175,0.02
current,4,2601,0.02
offset,4,2467,0.03
block,4,1187,0.02
bits,4,929,0.02
buf,4,816,0.01
compress,4,312,0.01
compressed,4,339,0.02
bitmap,4,564,0.01
format,4,588,0.0
integer,4,663,0.0
next,4,434,0.0
options,4,334,0.0
time,4,513,0.0
log,4,818,0.0
read,4,837,0.01
bit,3,899,0.02
codec,3,348,0.01
entry,3,355,0.0
tag,3,1590,0.01
image,3,563,0.0
width,3,351,0.0
height,3,229,0.0
create,3,211,0.0
key,3,669,0.0
android,3,152,0.0
info,3,637,0.0
start,3,539,0.0
map,3,477,0.0
net,3,489,0.01
len,3,882,0.02
path,3,2115,0.01
context,3,496,0.0
write,3,787,0.01
directory,3,463,0.01
add,3,928,0.0
vector,2,5275,0.09
mask,2,3039,0.08
val,2,1386,0.02
num,2,1040,0.01
arrays,2,165,0.0
system,2,577,0.0
exif,2,346,0.01
dict,2,219,0.01
matrix,2,76,0.0
property,2,124,0.0
factory,2,277,0.0
source,2,399,0.0
entries,2,19,0.0
,2,302,
media,2,356,0.01
frame,2,270,0.0
rate,2,245,0.01
encoder,2,363,0.01
strategy,2,257,0.0
surface,2,181,0.0
buffers,2,52,0.0
builder,2,227,0.0
record,2,385,0.0
append,2,726,0.0
tab,2,132,0.0
number,2,318,0.0
symbol,2,238,0.0
end,2,403,0.0
max,2,526,0.0
min,2,297,0.0
response,2,99,0.0
writer,2,291,0.0
line,2,175,0.0
files,2,242,0.0
host,2,17,0.0
chunk,2,296,0.01
compression,2,329,0.01
has,2,140,0.0
object,2,527,0.0
available,2,111,0.0
date,2,238,0.0
element,2,678,0.0
