keyword,doc_freq,total_freq,tfidf
get,8,106398,0.0
string,8,76647,0.0
set,8,43161,0.01
java,7,22048,0.0
exception,7,26854,0.0
util,7,18051,0.01
list,6,30843,0.01
name,5,39329,0.02
file,5,13501,0.01
add,5,14725,0.01
object,5,23203,0.03
array,5,14110,0.01
data,5,33120,0.03
value,5,27930,0.01
type,5,20753,0.01
map,4,17079,0.01
json,4,23717,0.07
org,4,14082,0.01
put,4,10648,0.02
logger,4,24125,0.05
com,4,7216,0.01
model,4,19294,0.04
index,4,10146,0.01
override,4,15825,0.01
config,4,8268,0.02
request,4,9742,0.02
size,4,12379,0.01
option,3,6599,0.04
result,3,11393,0.01
integer,3,10566,0.03
names,3,3597,0.02
path,3,6827,0.01
query,3,13366,0.06
builder,3,4753,0.01
error,3,15319,0.04
session,3,10712,0.05
label,3,8237,0.04
append,3,8086,0.02
system,2,2210,0.01
apache,2,6069,0.03
node,2,8417,0.02
options,2,2885,0.01
out,2,2663,0.01
key,2,6596,0.01
utils,2,3270,0.01
column,2,12972,0.06
test,2,6081,0.02
row,2,9100,0.05
rows,2,4957,0.05
database,2,7236,0.05
servlet,2,3967,0.03
writer,2,3016,0.02
response,2,6009,0.02
http,2,4881,0.02
count,2,4360,0.01
url,2,6451,0.02
user,2,14065,0.05
not,2,2975,0.01
source,2,14007,0.05
text,2,3396,0.01
log,2,7730,0.01
service,2,10444,0.03
stream,2,6897,0.01
target,2,2780,0.01
vector,2,7389,0.06
math,2,5774,0.04
min,2,5045,0.03
parameter,2,11801,0.06
max,2,6495,0.02
length,2,7333,0.01
values,2,6684,0.02
chemical,1,1589,0.04
act,1,1689,0.04
inchi,1,1543,0.04
hash,1,7379,0.02
plate,1,1431,0.04
results,1,1895,0.01
reaction,1,1292,0.03
well,1,1136,0.03
ion,1,988,0.03
format,1,4883,0.02
search,1,1928,0.01
scan,1,1141,0.01
molecule,1,894,0.02
has,1,4121,0.03
help,1,912,0.01
project,1,5637,0.04
refine,1,4921,0.11
google,1,4702,0.02
cell,1,5428,0.05
equals,1,10302,0.03
statement,1,4903,0.03
property,1,6964,0.02
recon,1,1972,0.04
wikidata,1,1836,0.04
columns,1,3680,0.03
datamodel,1,1615,0.03
cells,1,895,0.01
current,1,3198,0.01
snak,1,1518,0.03
edit,1,2092,0.02
entity,1,5253,0.03
expr,1,1558,0.02
crawl,1,531,0.01
web,1,444,0.0
github,1,171,0.0
peterbencze,1,163,0.0
serritor,1,163,0.0
candidate,1,607,0.01
api,1,1134,0.0
handler,1,2037,0.01
duration,1,392,0.0
delay,1,192,0.0
socket,1,171,0.0
event,1,2255,0.01
server,1,799,0.0
configuration,1,2062,0.01
validate,1,569,0.01
allowed,1,581,0.01
cookie,1,370,0.0
jwt,1,86,0.0
lock,1,202,0.0
millis,1,292,0.0
stats,1,274,0.0
internal,1,1530,0.01
filter,1,5310,0.02
domain,1,2171,0.02
pattern,1,1290,0.01
tweet,1,277,0.0
date,1,5368,0.02
tweets,1,172,0.0
pair,1,1902,0.02
counter,1,667,0.01
word,1,1040,0.01
println,1,786,0.0
mlnlp,1,89,0.0
twitter,1,83,0.0
time,1,3874,0.01
topic,1,113,0.0
neg,1,242,0.0
contains,1,2118,0.02
pos,1,1956,0.01
words,1,198,0.0
first,1,2046,0.02
intervals,1,186,0.0
day,1,407,0.01
negation,1,52,0.0
sample,1,1261,0.01
net,1,857,0.0
hibernate,1,2321,0.04
tds,1,59,0.0
second,1,966,0.01
romney,1,49,0.0
obama,1,49,0.0
clean,1,238,0.01
app,1,914,0.0
scenario,1,536,0.01
recognition,1,376,0.01
view,1,2027,0.0
message,1,4962,0.01
scenarios,1,141,0.0
image,1,1187,0.0
dialog,1,229,0.0
state,1,2352,0.0
activity,1,311,0.0
intent,1,173,0.0
progress,1,2193,0.02
click,1,232,0.0
cpu,1,162,0.0
files,1,732,0.0
button,1,466,0.0
android,1,151,0.0
uid,1,868,0.01
info,1,3394,0.01
publish,1,178,0.0
gpu,1,117,0.0
update,1,3647,0.02
listener,1,1102,0.0
camera,1,211,0.0
openscience,1,95,0.0
load,1,3953,0.03
elki,1,19449,0.39
distance,1,9968,0.09
relation,1,7071,0.1
iter,1,7580,0.12
dbid,1,6146,0.12
utilities,1,11118,0.16
number,1,6320,0.03
ids,1,4853,0.05
optionhandling,1,3046,0.06
tree,1,5721,0.04
cluster,1,2987,0.03
dbi,1,2991,0.06
visualization,1,3136,0.06
svg,1,3429,0.06
logging,1,3123,0.03
factory,1,7728,0.02
store,1,5487,0.04
dim,1,2629,0.04
knn,1,2397,0.05
clustering,1,2363,0.05
eng,1,22106,0.53
spagobi,1,15087,0.36
field,1,13335,0.04
sbi,1,12888,0.31
spago,1,10714,0.26
dao,1,10479,0.08
debug,1,11077,0.08
attribute,1,9479,0.05
engine,1,8533,0.07
obj,1,9688,0.06
profile,1,7561,0.07
meta,1,8396,0.08
dataset,1,6646,0.09
parameters,1,5986,0.04
constants,1,7748,0.05
table,1,7311,0.03
var,1,6210,0.05
rapaio,1,3075,0.07
vars,1,647,0.01
frame,1,1406,0.01
printer,1,1230,0.02
matrix,1,2324,0.02
param,1,3557,0.02
serial,1,1226,0.01
function,1,3986,0.02
arrays,1,1828,0.01
col,1,1882,0.02
cols,1,810,0.01
color,1,2905,0.01
from,1,4409,0.02
len,1,1443,0.02
range,1,2979,0.03
