keyword,doc_freq,total_freq,tfidf
get,19,4204,0.0
node,17,9118,0.24
add,16,1983,0.01
string,15,5593,0.0
list,15,6047,0.01
java,15,2689,0.0
array,13,4316,0.04
out,13,3250,0.09
next,13,3344,0.16
size,13,2914,0.03
length,13,3390,0.06
left,12,2492,0.18
system,12,3316,0.1
println,12,2104,0.1
value,12,2165,0.01
root,12,2601,0.19
set,12,1618,0.0
util,12,2184,0.01
index,11,2505,0.04
right,11,2370,0.19
current,10,1167,0.05
tree,10,2406,0.16
integer,10,2697,0.09
map,10,1593,0.01
max,10,1889,0.06
data,9,1544,0.02
key,9,2343,0.04
start,9,1089,0.03
stack,9,1259,0.08
queue,8,1184,0.12
linked,8,845,0.12
count,7,1708,0.05
com,7,949,0.01
override,7,771,0.0
exception,7,1439,0.0
element,7,1277,0.05
end,6,800,0.05
hash,6,1019,0.03
print,6,1516,0.08
child,6,634,0.05
number,6,1226,0.06
num,6,1093,0.06
head,6,1126,0.17
min,6,1821,0.11
temp,5,1128,0.11
nodes,5,302,0.03
args,5,854,0.03
find,5,787,0.04
remove,5,517,0.05
graph,5,799,0.07
sum,5,1100,0.14
first,5,729,0.06
main,4,842,0.04
empty,4,844,0.06
word,4,890,0.08
file,4,592,0.0
line,4,649,0.02
heap,4,1314,0.27
nums,4,1169,0.23
arrays,4,539,0.05
sort,3,964,0.14
result,3,880,0.01
capacity,3,538,0.1
time,3,703,0.02
parent,3,769,0.06
entry,3,651,0.03
words,3,345,0.04
reader,3,351,0.01
builder,3,626,0.01
stream,3,552,0.01
str,3,449,0.04
binary,3,555,0.08
sub,3,435,0.04
put,3,483,0.01
item,3,457,0.01
append,3,486,0.02
name,3,388,0.0
org,3,192,0.0
path,3,481,0.01
action,3,124,0.0
manager,3,81,0.0
edge,3,679,0.07
cur,3,519,0.1
iterator,3,364,0.03
res,3,475,0.03
test,3,348,0.01
scanner,3,761,0.1
interview,2,327,0.09
table,2,293,0.01
solution,2,692,0.14
row,2,489,0.03
removed,2,104,0.02
